bg-10
24 часа	24 часа	PRO	PRO-24-chasa
Асия Биби	Асия Биби	PER	PER-Asia-Bibi
БТА	БТА	ORG	ORG-Bulgarian-News-Agency
Биби	Биби	PER	PER-Asia-Bibi
Великобритания	Великобритания	LOC	GPE-Great-Britain
Исламабад	Исламабад	LOC	GPE-Islamabad
Канада	Канада	LOC	GPE-Canada
Медийна група България	Медийна група България	ORG	ORG-Media-Group-Bulgaria
Ройтерс	Ройтерс	ORG	ORG-Reuters
САЩ	САЩ	LOC	GPE-USA
Сайфул Мулок	Сайфул Мулок	PER	PER-Saif-Ul-Malook
Франс прес	Франс прес	ORG	ORG-AFP-Agence-France-Press
Франция	Франция	LOC	GPE-France
Холандия	Холандия	LOC	GPE-Holland
пакистанката	пакистанка	PER	GPE-Pakistan
