docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
cs-96,0,1,Manžel,,manžel,NNMS1-----A----,NOUN,O,
cs-96,0,2,pákistánské,,pákistánský,AAFS2----1A----,ADJ,O,
cs-96,0,3,křesťanky,,křesťanka,NNFS2-----A----,NOUN,O,
cs-96,0,4,Asie,Asia,Asie,NNFS2-----A----,PROPN,B-PER,PER-Asia-Bibi
cs-96,0,5,Bibiové,Bibiová,Bibiová,NNMS1-----A----,PROPN,I-PER,PER-Asia-Bibi
cs-96,0,6,požádal,,požádat,VpYS---XR-AA---,VERB,O,
cs-96,0,7,o,,o,RR--4----------,ADP,O,
cs-96,0,8,pomoc,,pomoc,NNFS4-----A----,NOUN,O,
cs-96,0,9,britskou,,britský,AAFS4----1A----,ADJ,O,
cs-96,0,10,premiérku,,premiérka,NNFS4-----A----,NOUN,O,
cs-96,0,11,Theresu,Theresa,Theres,NNFS4-----A----,PROPN,B-PER,PER-Theresa-May
cs-96,0,12,Mayovou,Mayová,Mayová,NNFS4-----A----,PROPN,I-PER,PER-Theresa-May
cs-96,0,13,a,,a,J^-------------,CCONJ,O,
cs-96,0,14,představitele,,představitel,NNMP4-----A----,NOUN,O,
cs-96,0,15,USA,USA,USA,NNIPX-----A----,PROPN,B-LOC,GPE-USA
cs-96,0,16,a,,a,J^-------------,CCONJ,O,
cs-96,0,17,Kanady,Kanada,Kanada,NNFS2-----A----,PROPN,B-LOC,GPE-Canada
cs-96,0,18,.,,.,Z:-------------,PUNCT,O,
cs-96,1,1,Bibiová,Bibiová,Bibiová,NNFS1-----A----,PROPN,B-PER,PER-Asia-Bibi
cs-96,1,2,si,,se,P7-X3----------,PRON,O,
cs-96,1,3,v,,v,RR--6----------,ADP,O,
cs-96,1,4,roce,,rok,NNIS6-----A---1,NOUN,O,
cs-96,1,5,2010,,2010,C=-------------,NUM,O,
cs-96,1,6,za,,za,RR--4----------,ADP,O,
cs-96,1,7,urážku,,urážka,NNFS4-----A----,NOUN,O,
cs-96,1,8,islámského,,islámský,AAMS2----1A----,ADJ,O,
cs-96,1,9,proroka,,prorok,NNMS2-----A----,NOUN,O,
cs-96,1,10,Mohameda,Mohamed,Mohamed,NNMS2-----A----,PROPN,B-PER,PER-Prophet-Muhammad
cs-96,1,11,vyslechla,,vyslechnout,VpQW---XR-AA--1,VERB,O,
cs-96,1,12,rozsudek,,rozsudek,NNIS4-----A----,NOUN,O,
cs-96,1,13,smrti,,smrt,NNFS2-----A----,NOUN,O,
cs-96,1,14,",",,",",Z:-------------,PUNCT,O,
cs-96,1,15,nejvyšší,,vysoký,AAIS1----3A----,ADJ,O,
cs-96,1,16,soud,,soud,NNIS1-----A----,NOUN,O,
cs-96,1,17,ji,,on,PPFS4--3-------,PRON,O,
cs-96,1,18,ale,,ale,J^-------------,CCONJ,O,
cs-96,1,19,tento,,tento,PDIS4----------,DET,O,
cs-96,1,20,týden,,týden,NNIS4-----A----,NOUN,O,
cs-96,1,21,prohlásil,,prohlásit,VpYS---XR-AA---,VERB,O,
cs-96,1,22,za,,za,RR--4----------,ADP,O,
cs-96,1,23,nevinnou,,vinný,AAFS4----1N----,ADJ,O,
cs-96,1,24,.,,.,Z:-------------,PUNCT,O,
cs-96,2,1,Křesťanka,,křesťanka,NNFS1-----A----,NOUN,O,
cs-96,2,2,chtěla,,chtít,VpQW---XR-AA---,VERB,O,
cs-96,2,3,ze,,z,RV--2----------,ADP,O,
cs-96,2,4,země,,země,NNFS2-----A----,NOUN,O,
cs-96,2,5,odjet,,odjet,Vf--------A----,VERB,O,
cs-96,2,6,",",,",",Z:-------------,PUNCT,O,
cs-96,2,7,úřady,,úřad,NNIP1-----A----,NOUN,O,
cs-96,2,8,ji,,on,PPFS4--3-------,PRON,O,
cs-96,2,9,ale,,ale,J^-------------,CCONJ,O,
cs-96,2,10,nemohly,,moci,VpTP---XR-NA---,VERB,O,
cs-96,2,11,pustit,,pustit,Vf--------A----,VERB,O,
cs-96,2,12,",",,",",Z:-------------,PUNCT,O,
cs-96,2,13,jelikož,,jelikož,"J,-------------",SCONJ,O,
cs-96,2,14,věřící,,věřící,AGMP1-----A----,ADJ,O,
cs-96,2,15,při,,při,RR--6----------,ADP,O,
cs-96,2,16,vyhrocených,,vyhrocený,AAFP6----1A----,ADJ,O,
cs-96,2,17,demonstracích,,demonstrace,NNFP6-----A----,NOUN,O,
cs-96,2,18,požadovali,,požadovat,VpMP---XR-AA---,VERB,O,
cs-96,2,19,její,,jeho,PSZS4FS3-------,DET,O,
cs-96,2,20,veřejné,,veřejný,AANS4----1A----,ADJ,O,
cs-96,2,21,oběšení,,oběšení,NNNS4-----A----,NOUN,O,
cs-96,2,22,a,,a,J^-------------,CCONJ,O,
cs-96,2,23,zabití,,zabití,NNNS4-----A----,NOUN,O,
cs-96,2,24,soudců,,soudce,NNMP2-----A----,NOUN,O,
cs-96,2,25,.,,.,Z:-------------,PUNCT,O,
