docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
cs-20xx-11,0,1,Děsivé,,děsivý,AAFP1----1A----,ADJ,O,
cs-20xx-11,0,2,a,,a,J^-------------,CCONJ,O,
cs-20xx-11,0,3,šokující,,šokující,AGFP1-----A----,ADJ,O,
cs-20xx-11,0,4,pákistánské,,pákistánský,AAFP1----1A----,ADJ,O,
cs-20xx-11,0,5,praktiky,,praktika,NNFP1-----A----,NOUN,O,
cs-20xx-11,0,6,?,,?,Z:-------------,PUNCT,O,
cs-20xx-11,1,1,Europoslanec,,Europoslanec,NNMS1-----A----,PROPN,O,
cs-20xx-11,1,2,prozradil,,prozradit,VpYS---XR-AA---,VERB,O,
cs-20xx-11,1,3,víc,,hodně,Dg-------2A---1,ADV,O,
cs-20xx-11,2,1,Vesničanky,,vesničanka,NNFP1-----A----,NOUN,O,
cs-20xx-11,2,2,tento,,tento,PDIS4----------,DET,O,
cs-20xx-11,2,3,čin,,čin,NNIS4-----A----,NOUN,O,
cs-20xx-11,2,4,to,,ten,PDNS4----------,DET,O,
cs-20xx-11,2,5,označily,,označit,VpTP---XR-AA---,VERB,O,
cs-20xx-11,2,6,za,,za,RR--4----------,ADP,O,
cs-20xx-11,2,7,rouhačství,,rouhačství,NNNS4-----A----,NOUN,O,
cs-20xx-11,2,8,",",,",",Z:-------------,PUNCT,O,
cs-20xx-11,2,9,resp,,respektive,Db------------8,ADV,O,
cs-20xx-11,2,10,.,,.,Z:-------------,PUNCT,O,
cs-20xx-11,2,11,urážku,,urážka,NNFS4-----A----,NOUN,O,
cs-20xx-11,2,12,proroka,,prorok,NNMS2-----A----,NOUN,O,
cs-20xx-11,2,13,Mohameda,Mohamed,Mohamed,NNMS2-----A----,PROPN,B-PER,PER-Prophet-Muhammad
cs-20xx-11,2,14,",",,",",Z:-------------,PUNCT,O,
cs-20xx-11,2,15,a,,a,J^-------------,CCONJ,O,
cs-20xx-11,2,16,ženě,,žena,NNFS3-----A----,NOUN,O,
cs-20xx-11,2,17,za,,za,RR--4----------,ADP,O,
cs-20xx-11,2,18,to,,ten,PDNS4----------,DET,O,
cs-20xx-11,2,19,hrozí,,hrozit,VB-S---3P-AA---,VERB,O,
cs-20xx-11,2,20,trest,,trest,NNIS1-----A----,NOUN,O,
cs-20xx-11,2,21,smrti,,smrt,NNFS2-----A----,NOUN,O,
cs-20xx-11,2,22,oběšením,,oběšení,NNNS7-----A----,NOUN,O,
cs-20xx-11,2,23,.,,.,Z:-------------,PUNCT,O,
cs-20xx-11,3,1,Jak,,jak,Db-------------,ADV,O,
cs-20xx-11,3,2,upozorňuje,,upozorňovat,VB-S---3P-AA---,VERB,O,
cs-20xx-11,3,3,Zdechovský,Zdechovský,Zdechovský,NNMS1-----A----,PROPN,B-PER,PER-Tomas-Zdechovsky
cs-20xx-11,3,4,",",,",",Z:-------------,PUNCT,O,
cs-20xx-11,3,5,zní,,znít,VB-S---3P-AA---,VERB,O,
cs-20xx-11,3,6,to,,ten,PDNS1----------,DET,O,
