docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
cs-2019-3,0,1,Nelegální,,legální,AAMP1----1N----,ADJ,O,
cs-2019-3,0,2,migranti,,migrant,NNMP1-----A----,NOUN,O,
cs-2019-3,0,3,jsou,,být,VB-P---3P-AA---,AUX,O,
cs-2019-3,0,4,jako,,jako,"J,-------------",SCONJ,O,
cs-2019-3,0,5,Ježíš,Ježíš,Ježíš,NNMS1-----A----,PROPN,B-PER,PER-Jesus-Christ
cs-2019-3,0,6,Kristus,Kristus,Kristus,NNMS1-----A----,PROPN,I-PER,PER-Jesus-Christ
cs-2019-3,0,7,?,,?,Z:-------------,PUNCT,O,
cs-2019-3,1,1,Katolický,,katolický,AAMS1----1A----,ADJ,O,
cs-2019-3,1,2,kněz,,kněz,NNMS1-----A----,NOUN,O,
cs-2019-3,1,3,drsně,,drsně,Dg-------1A----,ADV,O,
cs-2019-3,1,4,promluvil,,promluvit,VpYS---XR-AA---,VERB,O,
cs-2019-3,2,1,Mnoho,,mnoho,Ca--1----------,DET,O,
cs-2019-3,2,2,progresivních,,progresivní,AAFP2----1A----,ADJ,O,
cs-2019-3,2,3,a,,a,J^-------------,CCONJ,O,
cs-2019-3,2,4,levicových,,levicový,AAFP2----1A----,ADJ,O,
cs-2019-3,2,5,osobností,,osobnost,NNFP2-----A----,NOUN,O,
cs-2019-3,2,6,",",,",",Z:-------------,PUNCT,O,
cs-2019-3,2,7,včetně,,včetně,RR--2----------,ADP,O,
cs-2019-3,2,8,hlavy,,hlava,NNFS2-----A----,NOUN,O,
cs-2019-3,2,9,římskokatolické,,římskokatolický,AAFS2----1A----,ADJ,O,
cs-2019-3,2,10,církve,,církev,NNFS2-----A----,NOUN,O,
cs-2019-3,2,11,papež,,papež,NNMS1-----A----,NOUN,O,
cs-2019-3,2,12,František,František,František,NNMS1-----A----,PROPN,B-PER,PER-Pope-Francis
cs-2019-3,2,13,",",,",",Z:-------------,PUNCT,O,
cs-2019-3,2,14,srovnával,,srovnávat,VpYS---XR-AA---,VERB,O,
cs-2019-3,2,15,události,,událost,NNFP4-----A----,NOUN,O,
cs-2019-3,2,16,kolem,,kolem,RR--2----------,ADP,O,
cs-2019-3,2,17,narození,,narození,NNNS2-----A----,NOUN,O,
cs-2019-3,2,18,Ježíše,Ježíš,Ježíš,NNMS2-----A----,PROPN,B-PER,PER-Jesus-Christ
cs-2019-3,2,19,Krista,Kristus,Kristus,NNMS2-----A----,PROPN,I-PER,PER-Jesus-Christ
cs-2019-3,2,20,se,,se,P7-X4----------,PRON,O,
cs-2019-3,2,21,situace,,situace,NNFS2-----A----,NOUN,O,
cs-2019-3,2,22,nelegálních,,legální,AAMP2----1N----,ADJ,O,
cs-2019-3,2,23,migrantů,,migrant,NNMP2-----A----,NOUN,O,
cs-2019-3,2,24,",",,",",Z:-------------,PUNCT,O,
