docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
pl-asia-extra-1,0,1,Decyzja,,decyzja,subst:sg:nom:f,NOUN,O,
pl-asia-extra-1,0,2,Sądu,Sąd,sąd,subst:sg:gen:m3,NOUN,B-ORG,ORG-Supreme-Court-of-Pakistan
pl-asia-extra-1,0,3,Najwyższego,Najwyższy,wysoki,adj:sg:gen:m3:sup,ADJ,I-ORG,ORG-Supreme-Court-of-Pakistan
pl-asia-extra-1,0,4,Pakistanu,Pakistanu,Pakistan,subst:sg:gen:m3,PROPN,I-ORG,ORG-Supreme-Court-of-Pakistan
pl-asia-extra-1,0,5,o,,o,prep:loc,ADP,O,
pl-asia-extra-1,0,6,podtrzymaniu,,podtrzymać,ger:sg:loc:n:perf:aff,NOUN,O,
pl-asia-extra-1,0,7,wyroku,,wyrok,subst:sg:gen:m3,NOUN,O,
pl-asia-extra-1,0,8,uniewinniającego,,uniewinniać,pact:sg:gen:m3:imperf:aff,ADJ,O,
pl-asia-extra-1,0,9,Asię,Asia,Asia,subst:sg:acc:f,PROPN,B-PER,PER-Asia-Bibi
pl-asia-extra-1,0,10,Bibi,Bibi,Bibi,subst:sg:acc:f,PROPN,I-PER,PER-Asia-Bibi
pl-asia-extra-1,0,11,to,,to,pred,AUX,O,
pl-asia-extra-1,0,12,długo,,długo,adv:pos,ADV,O,
pl-asia-extra-1,0,13,oczekiwane,,oczekiwany,adj:sg:nom:n:pos,ADJ,O,
pl-asia-extra-1,0,14,pozytywne,,pozytywny,adj:sg:acc:n:pos,ADJ,O,
pl-asia-extra-1,0,15,zakończenie,,zakończenie,subst:sg:acc:n:ncol,NOUN,O,
pl-asia-extra-1,0,16,procesu,,proces,subst:sg:gen:m3,NOUN,O,
pl-asia-extra-1,0,17,–,,–,interp,PUNCT,O,
pl-asia-extra-1,0,18,powiedziała,,powiedzieć,praet:sg:f:perf,VERB,O,
pl-asia-extra-1,0,19,we,,w,prep:acc:wok,ADP,O,
pl-asia-extra-1,0,20,wtorek,,wtorek,subst:sg:acc:m3,NOUN,O,
pl-asia-extra-1,0,21,Federica,Frederica,Federica,subst:sg:nom:f,PROPN,B-PER,PER-Federica-Mogherini
pl-asia-extra-1,0,22,Mogherini,Mogherini,Mogherinia,subst:sg:nom:f,PROPN,I-PER,PER-Federica-Mogherini
pl-asia-extra-1,0,23,",",,",",interp,PUNCT,O,
pl-asia-extra-1,0,24,szefowa,,szefowa,subst:sg:nom:f,NOUN,O,
pl-asia-extra-1,0,25,unijnej,,unijny,adj:sg:gen:f:pos,ADJ,O,
pl-asia-extra-1,0,26,dyplomacji,,dyplomacja,subst:sg:gen:f,NOUN,O,
pl-asia-extra-1,0,27,.,,.,interp,PUNCT,O,
pl-asia-extra-1,1,1,Ponadto,,ponadto,part,PART,O,
pl-asia-extra-1,1,2,w,,w,prep:loc:nwok,ADP,O,
pl-asia-extra-1,1,3,imieniu,,imię,subst:sg:loc:n:ncol,NOUN,O,
pl-asia-extra-1,1,4,Wspólnoty,Wspólnota,wspólnota,subst:sg:gen:f,NOUN,B-ORG,ORG-European-Union
pl-asia-extra-1,1,5,wezwała,,wezwać,praet:sg:f:perf,VERB,O,
pl-asia-extra-1,1,6,władze,,władza,subst:pl:acc:f,NOUN,O,
pl-asia-extra-1,1,7,Pakistanu,Pakistan,Pakistan,subst:sg:gen:m3,PROPN,B-LOC,GPE-Pakistan
pl-asia-extra-1,1,8,do,,do,prep:gen,ADP,O,
