docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
ru-179,0,1,Избежавшая,,избегнуть,,VERB,O,
ru-179,0,2,казни,,казнь,,NOUN,O,
ru-179,0,3,христианка,,христианка,,NOUN,O,
ru-179,0,4,Асия,Асия,Асия,,PROPN,B-PER,PER-Asia-Bibi
ru-179,0,5,Биби,Биби,Биби,,PROPN,I-PER,PER-Asia-Bibi
ru-179,0,6,покинула,,покинуть,,VERB,O,
ru-179,0,7,пакистанскую,,пакистанский,,ADJ,O,
ru-179,0,8,тюрьму,,тюрьма,,NOUN,O,
ru-179,1,1,",",,",",,PUNCT,O,
ru-179,1,2,07,,07,,NUM,O,
ru-179,1,3,:,,:,,PUNCT,O,
ru-179,1,4,18,,18,,NUM,O,
ru-179,1,5,REGNUM,REGNUM,REGNUM,,PROPN,B-ORG,ORG-REGNUM-News-Agency
ru-179,1,6,В,,в,,ADP,O,
ru-179,1,7,Пакистане,Пакистан,Пакистан,,PROPN,B-LOC,GPE-Pakistan
ru-179,1,8,отпущена,,отпустить,,VERB,O,
ru-179,1,9,на,,на,,ADP,O,
ru-179,1,10,свободу,,свобода,,NOUN,O,
ru-179,1,11,христианка,,христианка,,NOUN,O,
ru-179,1,12,Асия,Асия,Асия,,PROPN,B-PER,PER-Asia-Bibi
ru-179,1,13,Биби,Биби,Биби,,PROPN,I-PER,PER-Asia-Bibi
ru-179,1,14,",",,",",,PUNCT,O,
ru-179,1,15,в,,в,,ADP,O,
ru-179,1,16,отношении,,отношение,,NOUN,O,
ru-179,1,17,которой,,который,,PRON,O,
ru-179,1,18,был,,быть,,AUX,O,
ru-179,1,19,отменен,,отменить,,VERB,O,
ru-179,1,20,смертный,,смертный,,ADJ,O,
ru-179,1,21,приговор,,приговор,,NOUN,O,
ru-179,1,22,за,,за,,ADP,O,
ru-179,1,23,богохульство,,богохульство,,NOUN,O,
ru-179,1,24,",",,",",,PUNCT,O,
ru-179,1,25,передает,,передавать,,VERB,O,
ru-179,1,26,телеканал,,телеканал,,NOUN,O,
