docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
ru-20xx-37,0,1,В,,в,,ADP,O,
ru-20xx-37,0,2,Пакистане,Пакистан,Пакистан,,PROPN,B-LOC,GPE-Pakistan
ru-20xx-37,0,3,приговорили,,приговорить,,VERB,O,
ru-20xx-37,0,4,к,,к,,ADP,O,
ru-20xx-37,0,5,смерти,,смерть,,NOUN,O,
ru-20xx-37,0,6,христианку,,христианка,,NOUN,O,
ru-20xx-37,0,7,за,,за,,ADP,O,
ru-20xx-37,0,8,высказывания,,высказывание,,NOUN,O,
ru-20xx-37,0,9,о,,о,,ADP,O,
ru-20xx-37,0,10,пророке,,пророк,,NOUN,O,
ru-20xx-37,0,11,Мухаммеде,Мухаммед,Мухаммед,,PROPN,B-PER,PER-Prophet-Muhammad
ru-20xx-37,1,1,Суд,,суд,,NOUN,O,
ru-20xx-37,1,2,в,,в,,ADP,O,
ru-20xx-37,1,3,Пакистане,Пакистан,Пакистан,,PROPN,B-LOC,GPE-Pakistan
ru-20xx-37,1,4,утвердил,,утвердить,,VERB,O,
ru-20xx-37,1,5,смертный,,смертный,,ADJ,O,
ru-20xx-37,1,6,приговор,,приговор,,NOUN,O,
ru-20xx-37,1,7,христианке,,христианка,,NOUN,O,
ru-20xx-37,1,8,Азии,Азия,Азия,,PROPN,B-PER,PER-Asia-Bibi
ru-20xx-37,1,9,Биби,Биби,Биби,,PROPN,I-PER,PER-Asia-Bibi
ru-20xx-37,1,10,за,,за,,ADP,O,
ru-20xx-37,1,11,то,,то,,PRON,O,
ru-20xx-37,1,12,",",,",",,PUNCT,O,
ru-20xx-37,1,13,что,,что,,SCONJ,O,
ru-20xx-37,1,14,она,,она,,PRON,O,
ru-20xx-37,1,15,сделала,,делать,,VERB,O,
ru-20xx-37,1,16,оскорбительные,,оскорбительный,,ADJ,O,
ru-20xx-37,1,17,замечания,,замечание,,NOUN,O,
ru-20xx-37,1,18,о,,о,,ADP,O,
ru-20xx-37,1,19,пророке,,пророк,,NOUN,O,
ru-20xx-37,1,20,Мухаммеде,Мухаммед,Мухаммед,,PROPN,B-PER,PER-Prophet-Muhammad
ru-20xx-37,1,21,в,,в,,ADP,O,
ru-20xx-37,1,22,споре,,спор,,NOUN,O,
ru-20xx-37,1,23,с,,с,,ADP,O,
ru-20xx-37,1,24,мусульманкой,,мусульманка,,NOUN,O,
ru-20xx-37,1,25,.,,.,,PUNCT,O,
ru-20xx-37,2,1,Биби,Биби,Биби,,PROPN,B-PER,PER-Asia-Bibi
ru-20xx-37,2,2,приговорили,,приговорить,,VERB,O,
ru-20xx-37,2,3,к,,к,,ADP,O,
ru-20xx-37,2,4,смертной,,смертный,,ADJ,O,
ru-20xx-37,2,5,казни,,казнь,,NOUN,O,
ru-20xx-37,2,6,еще,,еще,,ADV,O,
ru-20xx-37,2,7,в,,в,,ADP,O,
ru-20xx-37,2,8,2010,,2010,,NUM,O,
ru-20xx-37,2,9,году,,год,,NOUN,O,
ru-20xx-37,2,10,.,,.,,PUNCT,O,
ru-20xx-37,3,1,Тогда,,тогда,,ADV,O,
ru-20xx-37,3,2,вынесенный,,вынести,,VERB,O,
ru-20xx-37,3,3,ей,,она,,PRON,O,
ru-20xx-37,3,4,приговор,,приговор,,NOUN,O,
ru-20xx-37,3,5,вызвал,,вызвать,,VERB,O,
ru-20xx-37,3,6,осуждение,,осуждение,,NOUN,O,
ru-20xx-37,3,7,по,,по,,ADP,O,
ru-20xx-37,3,8,всему,,весь,,DET,O,
ru-20xx-37,3,9,миру,,мир,,NOUN,O,
ru-20xx-37,3,10,.,,.,,PUNCT,O,
ru-20xx-37,4,1,Двое,,двое,,NUM,O,
ru-20xx-37,4,2,известных,,известный,,ADJ,O,
ru-20xx-37,4,3,политиков,,политик,,NOUN,O,
ru-20xx-37,4,4,Пакистана,Пакистан,Пакистан,,PROPN,B-LOC,GPE-Pakistan
ru-20xx-37,4,5,-,,-,,PUNCT,O,
ru-20xx-37,4,6,губернатор,,губернатор,,NOUN,O,
ru-20xx-37,4,7,Пенджаба,Пенджаб,Пенджаб,,PROPN,B-LOC,GPE-Punjab
ru-20xx-37,4,8,Салман,Салман,Салман,,PROPN,B-PER,PER-Salmaan-Taseer
ru-20xx-37,4,9,Тасииар,Тасииар,Тасииар,,PROPN,I-PER,PER-Salmaan-Taseer
ru-20xx-37,4,10,и,,и,,CCONJ,O,
ru-20xx-37,4,11,министр,,министр,,NOUN,O,
ru-20xx-37,4,12,по,,по,,ADP,O,
ru-20xx-37,4,13,делам,,дело,,NOUN,O,
ru-20xx-37,4,14,меньшинств,,меньшинство,,NOUN,O,
ru-20xx-37,4,15,Шахбаз,Шахбаз,Шахбаз,,PROPN,B-PER,PER-Clement-Shahbaz-Bhatti
ru-20xx-37,4,16,Бхатти,Бхатти,Бхатти,,PROPN,I-PER,PER-Clement-Shahbaz-Bhatti
ru-20xx-37,4,17,-,,-,,PUNCT,O,
ru-20xx-37,4,18,были,,быть,,AUX,O,
ru-20xx-37,4,19,убиты,,убить,,VERB,O,
ru-20xx-37,4,20,",",,",",,PUNCT,O,
ru-20xx-37,4,21,после,,после,,ADP,O,
ru-20xx-37,4,22,того,,то,,PRON,O,
