bg-1265
Брекзит	Брекзит	EVT	EVT-Brexit
Британците	британци	PER	GPE-Great-Britain
Брюксел	Брюксел	LOC	GPE-Brussles
Българите	българи	PER	GPE-Bulgaria
Гардиън	Гардиън	PRO	PRO-The-Guardian
Ги Верхофстад	Ги Верхофстад	PER	PER-Guy-Verhofstadt
ЕС	ЕС	ORG	ORG-European-Union
Европа	Европа	LOC	LOC-Europe
Европарламента	европарламент	ORG	ORG-European-Parliament
Европейския съвет	Европейски съвет	ORG	ORG-European-Council
Ливърпул	Ливърпул	LOC	GPE-Liverpool
Лондон	Лондон	LOC	GPE-London
Май	Мей	PER	PER-Theresa-May
Мей	Мей	PER	PER-Theresa-May
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Партията на консерваторите	Партия на консерваторите	ORG	ORG-Conservative-and-Unionist-Party-UK
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
британското финансово министерство	британско финансово министерство	ORG	ORG-Ministry-of-Finance-UK
британците	британци	PER	GPE-Great-Britain
българите	българи	PER	GPE-Bulgaria
европейци	европейци	PER	PER-Europe
европейците	европейци	PER	LOC-Europe
източноевропейците	източноевропейци	PER	PER-Eastern-Europe
