bg-1633
Belfast Telegraph	Belfast Telegraph	PRO	PRO-Belfast-Telegraph
Ангела Меркел	Ангела Меркел	PER	PER-Angela-Merkel
Берлин	Берлин	LOC	GPE-Berlin
Брекзит	Брекзит	EVT	EVT-Brexit
Брюксел	Брюксел	LOC	GPE-Brussles
Варадкар	Варадкар	PER	PER-Leo-Varadkar
Великобритания	Великобритания	LOC	GPE-Great-Britain
Германия	Германия	LOC	GPE-Germany
ЕС	ЕС	ORG	ORG-European-Union
Европейския съвет	Европейски съвет	ORG	ORG-European-Council
Ейре	Ейре	LOC	GPE-Ireland
Лео Варадкар	Лео Варадкар	PER	PER-Leo-Varadkar
Лондон	Лондон	LOC	GPE-London
Мишел Барние	Мишел Барние	PER	PER-Michel-Barnier
Северна Ирландия	Северна Ирландия	LOC	GPE-Northern-Ireland
