bg-1791
БиБиСи	БиБиСи	PRO	PRO-BBC
Борис Джонсън	Борис Джонсън	PER	PER-Boris-Johnson
Брекзит	Брекзит	EVT	EVT-Brexit
Брюксел	Брюксел	LOC	GPE-Brussles
Великобритания	Великобритания	LOC	GPE-Great-Britain
Джонсън	Джонсън	PER	PER-Boris-Johnson
Доналд Тръмп	Доналд Тръмп	PER	PER-Donald-Trump
ЕС	ЕС	ORG	ORG-European-Union
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Никола Стърджън	Никола Стърджън	PER	PER-Nicola-Sturgeon
Стърджън	Стърджън	PER	PER-Nicola-Sturgeon
Филип Хамънд	Филип Хамънд	PER	PER-Philip-Hammond
Шотландия	Шотландия	LOC	GPE-Scotland
