bg-599
bnr.bg	bnr.bg	PRO	PRO-bnr.bg
Барние	Барние	PER	PER-Michel-Barnier
Брекзит	Брекзит	EVT	EVT-Brexit
Брюксел	Брюксел	LOC	GPE-Brussles
Великобритания	Великобритания	LOC	GPE-Great-Britain
Ги Верховстад	Ги Верховстад	PER	PER-Guy-Verhofstadt
Дейвид Дейвис	Дейвид Дейвис	PER	PER-David-Davis
Дейвис	Дейвис	PER	PER-David-Davis
Днес+	Днес+	ORG	ORG-DnesPlus
ЕС	ЕС	ORG	ORG-European-Union
Европейския банков орган	Европейски банков орган	ORG	ORG-EBA-European-Banking-Authority
Европейския парламент	Европейски парламент	ORG	ORG-European-Parliament
Консервативна партия	Консервативна партия	ORG	ORG-Conservative-and-Unionist-Party-UK
Лондон	Лондон	LOC	GPE-London
Мей	Мей	PER	PER-Theresa-May
Мишел Барние	Мишел Барние	PER	PER-Michel-Barnier
Париж	Париж	LOC	GPE-Paris
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
