bg-938
The Daily Express	The Daily Express	PRO	PRO-Daily-Express
Алън Хейстингс	Алън Хейстингс	PER	PER-Alan-Hastings
Брекзит	Брекзит	EVT	EVT-Brexit
Великобритания	Великобритания	LOC	GPE-Great-Britain
ЕС	ЕС	ORG	ORG-European-Union
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Иван Христов	Иван Христов	PER	PER-Ivan-Hristov
Информационна агенция "Фокус"	Информационна агенция Фокус	ORG	ORG-Focus-News-Agency
Кент	Кент	LOC	GPE-Kent
Лондон	Лондон	LOC	GPE-London
Найджъл Фараж	Найджъл Фараж	PER	PER-Nigel-Farage
Нюкасъл	Нюкасъл	LOC	GPE-Newcastle
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Плимут	Плимут	LOC	GPE-Plymouth
Рибари за излизане	Рибари за излизане	ORG	ORG-Fishing-for-Leave
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Хейстингс	Хейстингс	LOC	GPE-Hastings
ЮКИП	ЮКИП	ORG	ORG-UK-Independence-Party
