pl-1543
Brexitu	Brexit	EVT	EVT-Brexit
Irlandia Północna	Irlandia Północna	LOC	LOC-Irlends-countries
Irlandii Północnej	Irlandia Północna	LOC	LOC-Irlends-countries
Irlandii	Irlandia	LOC	GPE-Ireland
Irlandią Północną	Irlandia Północna	LOC	LOC-Irlends-countries
Irlandią	Irlandia	LOC	GPE-Ireland
Rada ds. Badań Gospodarczych i Społecznych	Rada ds. Badań Gospodarczych i Społecznych	ORG	ORG-Economic-and-Social-Research-Council-UK
UE	UE	ORG	ORG-European-Union
Unię Europejską	Unia Europejska	ORG	ORG-European-Union
Wielka Brytania	Wielka Brytania	LOC	GPE-Great-Britain
Wielkiej Brytanii	Wielka Brytania	LOC	GPE-Great-Britain
