pl-689
AOC	AOC	PRO	PRO-AOC-Air-Operators-Certificate
Brexitu	Brexit	EVT	EVT-Brexit
Brukselą	Bruksela	LOC	GPE-Brussles
CAA	CAA	ORG	ORG-CAA-Civil-Aviation-Authority
Dublina	Dublin	LOC	GPE-Dublin
Londynu	Londyn	LOC	GPE-London
Ryanair UK	Ryanair UK	ORG	ORG-Ryanair
Ryanair	Ryanair	ORG	ORG-Ryanair
Ryanaira	Ryanair	ORG	ORG-Ryanair
Unii	Unia	ORG	ORG-European-Union
Urzędu Lotnictwa Cywilnego	Urząd Lotnictwa Cywilnego	ORG	ORG-CAA-Civil-Aviation-Authority
W. Brytanii	W. Brytania	LOC	GPE-Great-Britain
WTO	WTO	ORG	ORG-WTO-World-Trade-Organization
Wizz Aira	Wizz Air	ORG	ORG-Wizz-Air
Zjednoczonym Królestwie	Zjednoczone Królestwo	LOC	GPE-Great-Britain
