docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
bg-1415,0,1,Преглед,,преглед,Ncmsi,NOUN,O,
bg-1415,0,2,на,,на,R,ADP,O,
bg-1415,0,3,основните,,основен,A-pd,ADJ,O,
bg-1415,0,4,теми,,тема,Ncfpi,NOUN,O,
bg-1415,0,5,в,,в,R,ADP,O,
bg-1415,0,6,британския,,британски,Amsh,ADJ,O,
bg-1415,0,7,печат,,печат,Ncmsi,NOUN,O,
bg-1415,0,8,(,,(,punct,PUNCT,O,
bg-1415,0,9,Агенция,,агенция,Ncfsi,NOUN,O,
bg-1415,1,1,Лондон,Лондон,лондон,Npmsi,PROPN,B-LOC,GPE-London
bg-1415,1,2,.,,.,punct,PUNCT,O,
bg-1415,2,1,Министърът,,министър,Ncmsf,NOUN,O,
bg-1415,2,2,на,,на,R,ADP,O,
bg-1415,2,3,финансите,,финанси,Nc-ld,NOUN,O,
bg-1415,2,4,на,,на,R,ADP,O,
bg-1415,2,5,Великобритания,Великобритания,великобритания,Npfsi,PROPN,B-LOC,GPE-Great-Britain
bg-1415,2,6,Филип,Филип,филип,Npmsi,PROPN,B-PER,PER-Philip-Hammond
bg-1415,2,7,Хамънд,Хамънд,хамънд,Hmsi,PROPN,I-PER,PER-Philip-Hammond
bg-1415,2,8,предупреждава,,предупреждавам,Vpitf-r3s,VERB,O,
bg-1415,2,9,",",,",",punct,PUNCT,O,
bg-1415,2,10,че,,че,Cs,SCONJ,O,
bg-1415,2,11,Великобритания,Великобритания,великобритания,Npfsi,PROPN,B-LOC,GPE-Great-Britain
bg-1415,2,12,може,,мога,Vpiif-r3s,VERB,O,
bg-1415,2,13,да,,да,Tx,AUX,O,
bg-1415,2,14,отхвърли,,отхвърля,Vpptf-r3s,VERB,O,
bg-1415,2,15,всяко,,всеки,Pce-os-n,DET,O,
bg-1415,2,16,търговско,,търговски,Ansi,ADJ,O,
bg-1415,2,17,споразумение,,споразумение,Ncnsi,NOUN,O,
bg-1415,2,18,",",,",",punct,PUNCT,O,
bg-1415,2,19,което,,който,Pre-os-n,PRON,O,
bg-1415,2,20,изключва,,изключвам,Vpitf-r3s,VERB,O,
