docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
cs-351,0,1,Britský,,britský,AAIS1----1A----,ADJ,O,
cs-351,0,2,rozvod,,rozvod,NNIS1-----A----,NOUN,O,
cs-351,0,3,s,,s,RR--7----------,ADP,O,
cs-351,0,4,EU,EU,EU,NNFXX-----A---8,PROPN,B-ORG,ORG-European-Union
cs-351,0,5,je,,být,VB-S---3P-AA---,VERB,O,
cs-351,0,6,v,,v,RR--6----------,ADP,O,
cs-351,0,7,půlce,,půlka,NNFS6-----A----,NOUN,O,
cs-351,0,8,",",,",",Z:-------------,PUNCT,O,
cs-351,0,9,diplomaté,,diplomat,NNMP1-----A----,NOUN,O,
cs-351,0,10,se,,se,P7-X4----------,PRON,O,
cs-351,0,11,přou,,přít,VB-P---3P-AA---,VERB,O,
cs-351,0,12,hlavně,,hlavně,Dg-------1A----,ADV,O,
cs-351,0,13,o,,o,RR--4----------,ADP,O,
cs-351,0,14,irskou,,irský,AAFS4----1A----,ADJ,O,
cs-351,0,15,hranici,,hranice,NNFS4-----A----,NOUN,O,
cs-351,1,1,„,,„,Z:-------------,PUNCT,O,
cs-351,1,2,Posunuli,,posunout,VpMP---XR-AA---,VERB,O,
cs-351,1,3,jsme,,být,VB-P---1P-AA---,AUX,O,
cs-351,1,4,se,,se,P7-X4----------,PRON,O,
cs-351,1,5,.,,.,Z:-------------,PUNCT,O,
cs-351,2,1,Teď,,teď,Db-------------,ADV,O,
cs-351,2,2,už,,už,Db-------------,ADV,O,
cs-351,2,3,existuje,,existovat,VB-S---3P-AA---,VERB,O,
cs-351,2,4,přinejmenším,,přinejmenším,Db-------------,ADV,O,
cs-351,2,5,obrys,,obrys,NNIS1-----A----,NOUN,O,
cs-351,2,6,toho,,ten,PDZS2----------,DET,O,
cs-351,2,7,",",,",",Z:-------------,PUNCT,O,
cs-351,2,8,jak,,jak,Db-------------,ADV,O,
cs-351,2,9,bude,,být,VB-S---3F-AA---,AUX,O,
cs-351,2,10,vypadat,,vypadat,Vf--------A----,VERB,O,
cs-351,2,11,třeba,,třeba,Db-------------,ADV,O,
cs-351,2,12,přechodné,,přechodný,AANS1----1A----,ADJ,O,
cs-351,2,13,období,,období,NNNS1-----A----,NOUN,O,
cs-351,2,14,",",,",",Z:-------------,PUNCT,O,
cs-351,2,15,“,,“,Z:-------------,PUNCT,O,
cs-351,2,16,říká,,říkat,VB-S---3P-AA---,VERB,O,
cs-351,2,17,Fabian,Fabian,Fabian,NNMS1-----A----,PROPN,B-PER,PER-Fabian-Zuleeg
cs-351,2,18,Zuleeg,Zuleeg,Zuleeg,NNMS1-----A----,PROPN,I-PER,PER-Fabian-Zuleeg
cs-351,2,19,z,,z,RR--2----------,ADP,O,
cs-351,2,20,bruselského,,bruselský,AANS2----1A----,ADJ,O,
cs-351,2,21,Střediska,Středisko,středisko,NNNS2-----A----,NOUN,B-ORG,ORG-European-Political-Community
cs-351,2,22,evropských,evropských,evropský,AAFP2----1A----,ADJ,I-ORG,ORG-European-Political-Community
cs-351,2,23,politik,politik,politik,NNFP2-----A----,NOUN,I-ORG,ORG-European-Political-Community
cs-351,2,24,.,,.,Z:-------------,PUNCT,O,
cs-351,3,1,Obě,,oba,ClHP1----------,NUM,O,
cs-351,3,2,strany,,strana,NNFP1-----A----,NOUN,O,
cs-351,3,3,nyní,,nyní,Db-------------,ADV,O,
cs-351,3,4,dohánějí,,dohánět,VB-P---3P-AA---,VERB,O,
cs-351,3,5,několik,,několik,Ca--4----------,DET,O,
cs-351,3,6,ztracených,,ztracený,AAIP2----1A----,ADJ,O,
cs-351,3,7,měsíců,,měsíc,NNIP2-----A----,NOUN,O,
cs-351,3,8,.,,.,Z:-------------,PUNCT,O,
cs-351,4,1,Britové,Britové,Brit,NNMP1-----A----,PROPN,B-PER,GPE-Great-Britain
cs-351,4,2,totiž,,totiž,Db-------------,ADV,O,
cs-351,4,3,po,,po,RR--6----------,ADP,O,
cs-351,4,4,loňském,,loňský,AANS6----1A----,ADJ,O,
cs-351,4,5,formálním,,formální,AANS6----1A----,ADJ,O,
cs-351,4,6,oznámení,,oznámení,NNNS6-----A----,NOUN,O,
cs-351,4,7,",",,",",Z:-------------,PUNCT,O,
cs-351,4,8,že,,že,"J,-------------",SCONJ,O,
cs-351,4,9,opouští,,opouštět,VB-S---3P-AA---,VERB,O,
cs-351,4,10,EU,EU,EU,NNFXX-----A---8,PROPN,B-ORG,ORG-European-Union
cs-351,4,11,v,,v,RR--6----------,ADP,O,
cs-351,4,12,souladu,,soulad,NNIS6-----A----,NOUN,O,
cs-351,4,13,s,,s,RR--7----------,ADP,O,
cs-351,4,14,článkem,článek,článek,NNIS7-----A----,NOUN,B-PRO,PRO-Article-50
cs-351,4,15,50,50,50,C=-------------,NUM,I-PRO,PRO-Article-50
cs-351,4,16,unijních,,unijní,AAFP2----1A----,ADJ,O,
cs-351,4,17,smluv,,smlouva,NNFP2-----A----,NOUN,O,
cs-351,4,18,",",,",",Z:-------------,PUNCT,O,
cs-351,4,19,řešili,,řešit,VpMP---XR-AA---,VERB,O,
cs-351,4,20,komplikovanou,,komplikovaný,AAFS4----1A----,ADJ,O,
cs-351,4,21,vnitropolitickou,,vnitropolitický,AAFS4----1A----,ADJ,O,
cs-351,4,22,situaci,,situace,NNFS4-----A----,NOUN,O,
cs-351,4,23,.,,.,Z:-------------,PUNCT,O,
cs-351,5,1,Vyjednavači,,vyjednavač,NNMP1-----A----,NOUN,O,
cs-351,5,2,EU,EU,EU,NNFXX-----A---8,PROPN,B-ORG,ORG-European-Union
cs-351,5,3,a,,a,J^-------------,CCONJ,O,
cs-351,5,4,Londýna,Londýn,Londýn,NNIS2-----A----,PROPN,B-LOC,GPE-London
cs-351,5,5,Michel,Michel,Michel,NNMS1-----A----,PROPN,B-PER,PER-Michel-Barnier
cs-351,5,6,Barnier,Barnier,Barnier,NNMS1-----A----,PROPN,I-PER,PER-Michel-Barnier
cs-351,5,7,a,,a,J^-------------,CCONJ,O,
cs-351,5,8,David,David,David,NNMS1-----A----,PROPN,B-PER,PER-David-Davis
cs-351,5,9,Davis,Davis,Davis,NNMS1-----A----,PROPN,I-PER,PER-David-Davis
cs-351,5,10,však,,však,J^-------------,CCONJ,O,
cs-351,5,11,před,,před,RR--7----------,ADP,O,
cs-351,5,12,deseti,,deset,Cn-P7----------,NUM,O,
cs-351,5,13,dny,,den,NNIP7-----A----,NOUN,O,
cs-351,5,14,oznámili,,oznámit,VpMP---XR-AA---,VERB,O,
cs-351,5,15,shodu,,shoda,NNFS4-----A----,NOUN,O,
cs-351,5,16,na,,na,RR--6----------,ADP,O,
cs-351,5,17,velké,,velký,AAFS6----1A----,ADJ,O,
cs-351,5,18,části,,část,NNFS6-----A----,NOUN,O,
cs-351,5,19,textu,,text,NNIS2-----A----,NOUN,O,
cs-351,5,20,",",,",",Z:-------------,PUNCT,O,
cs-351,5,21,„rozvodové,,trozvodový,AAFS2----1A----,ADJ,O,
cs-351,5,22,dohody,,dohoda,NNFS2-----A----,NOUN,O,
cs-351,5,23,“,,“,NNFS2-----A----,NOUN,O,
cs-351,5,24,",",,",",Z:-------------,PUNCT,O,
cs-351,5,25,jejíž,,jenž,P1ZS1FS3-------,DET,O,
cs-351,5,26,oficiální,,oficiální,AAIS1----1A----,ADJ,O,
cs-351,5,27,název,,název,NNIS1-----A----,NOUN,O,
cs-351,5,28,je,,být,VB-S---3P-AA---,AUX,O,
cs-351,5,29,Dohoda,Dohoda,dohoda,NNFS1-----A----,NOUN,B-PRO,PRO-Brexit-withdrawal-agreement
cs-351,5,30,o,o,o,RR--6----------,ADP,I-PRO,PRO-Brexit-withdrawal-agreement
cs-351,5,31,vystoupení,vystoupení,vystoupení,NNNS6-----A----,NOUN,I-PRO,PRO-Brexit-withdrawal-agreement
cs-351,5,32,Spojeného,Spojeného,spojený,AANS2----1A----,ADJ,I-PRO,PRO-Brexit-withdrawal-agreement
cs-351,5,33,království,království,království,NNNS2-----A----,NOUN,I-PRO,PRO-Brexit-withdrawal-agreement
cs-351,5,34,Velké,Velké,velký,AAFS2----1A----,ADJ,I-PRO,PRO-Brexit-withdrawal-agreement
cs-351,5,35,Británie,Británie,Británie,NNFS2-----A----,PROPN,I-PRO,PRO-Brexit-withdrawal-agreement
