docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
pl-610,0,1,"""",,"""",interp,PUNCT,O,
pl-610,0,2,Guardian,Guardian,Guardian,subst:sg:nom:m3,PROPN,B-PRO,PRO-The-Guardian
pl-610,0,3,"""",,"""",interp,PUNCT,O,
pl-610,0,4,:,,:,interp,PUNCT,O,
pl-610,0,5,Po,,po,prep:loc,ADP,O,
pl-610,0,6,Brexicie,Brexit,Brexita,subst:sg:loc:m3,PROPN,B-EVT,EVT-Brexit
pl-610,0,7,zmian,,zmiana,subst:pl:gen:f,NOUN,O,
pl-610,0,8,w,,w,prep:loc:nwok,ADP,O,
pl-610,0,9,umowach,,umowa,subst:pl:loc:f,NOUN,O,
pl-610,0,10,z,,z,prep:gen:nwok,ADP,O,
pl-610,0,11,UE,UE,UE,subst:sg:gen:f,PROPN,B-ORG,ORG-European-Union
pl-610,0,12,zażąda,,zażądać,fin:sg:ter:perf,VERB,O,
pl-610,0,13,Norwegia,Norwegia,Norwegia,subst:sg:nom:f,PROPN,B-LOC,GPE-Norway
pl-610,1,1,Norwegia,Norwegia,Norwegia,subst:sg:nom:f,PROPN,B-LOC,GPE-Norway
pl-610,1,2,może,,móc,fin:sg:ter:imperf,VERB,O,
pl-610,1,3,żądać,,żądać,inf:imperf,VERB,O,
pl-610,1,4,renegocjacji,,renegocjacja,subst:sg:gen:f,NOUN,O,
pl-610,1,5,swoich,,swój,adj:pl:gen:f:pos,DET,O,
pl-610,1,6,umów,,umowa,subst:pl:gen:f,NOUN,O,
pl-610,1,7,z,,z,prep:gen:nwok,ADP,O,
pl-610,1,8,UE,UE,UE,subst:sg:gen:f,PROPN,B-ORG,ORG-European-Union
pl-610,1,9,",",,",",interp,PUNCT,O,
pl-610,1,10,jeśli,,jeśli,comp,SCONJ,O,
pl-610,1,11,Bruksela,Bruksela,Bruksela,subst:sg:nom:f,PROPN,B-LOC,GPE-Brussles
pl-610,1,12,zgodzi,,zgodzić,fin:sg:ter:perf,VERB,O,
pl-610,1,13,się,,się,part,PRON,O,
pl-610,1,14,na,,na,prep:acc,ADP,O,
pl-610,1,15,wymagania,,wymaganie,subst:pl:acc:n:ncol,NOUN,O,
pl-610,1,16,Londynu,Londyn,Londyn,subst:sg:gen:m3,PROPN,B-LOC,GPE-London
pl-610,1,17,w,,w,prep:loc:nwok,ADP,O,
pl-610,1,18,sprawie,,sprawa,subst:sg:loc:f,NOUN,O,
pl-610,1,19,handlu,,handel,subst:sg:gen:m3,NOUN,O,
pl-610,1,20,ze,,z,prep:inst:wok,ADP,O,
pl-610,1,21,Wspólnotą,Wspólnota,wspólnota,subst:sg:inst:f,NOUN,B-ORG,ORG-European-Union
pl-610,1,22,po,,po,prep:loc,ADP,O,
pl-610,1,23,Brexicie,Brexit,Brexita,subst:sg:loc:m3,PROPN,B-EVT,EVT-Brexit
pl-610,1,24,-,,-,interp,PUNCT,O,
pl-610,1,25,podaje,,podawać,fin:sg:ter:imperf,VERB,O,
pl-610,1,26,we,,w,prep:acc:wok,ADP,O,
pl-610,1,27,wtorek,,wtorek,subst:sg:acc:m3,NOUN,O,
pl-610,1,28,brytyjski,,brytyjski,adj:sg:nom:m3:pos,ADJ,O,
pl-610,1,29,"""",,"""",interp,PUNCT,O,
pl-610,1,30,The,The,The,subst:sg:nom:m3,PROPN,B-PRO,PRO-The-Guardian
pl-610,1,31,Guardian,Guardian,Guardian,subst:sg:nom:m3,PROPN,I-PRO,PRO-The-Guardian
pl-610,1,32,"""",,"""",interp,PUNCT,O,
pl-610,1,33,.,,.,interp,PUNCT,O,
pl-610,2,1,Dziennik,,dziennik,subst:sg:nom:m3,NOUN,O,
pl-610,2,2,dowiedział,,dowiedzieć,praet:sg:m3:perf,VERB,O,
pl-610,2,3,się,,się,part,PRON,O,
pl-610,2,4,też,,też,part,PART,O,
pl-610,2,5,",",,",",interp,PUNCT,O,
pl-610,2,6,że,,że,comp,SCONJ,O,
pl-610,2,7,UE,UE,UE,subst:sg:nom:f,PROPN,B-ORG,ORG-European-Union
pl-610,2,8,negocjuje,,negocjować,fin:sg:ter:imperf,VERB,O,
pl-610,2,9,twarde,,twardy,adj:pl:acc:n:pos,ADJ,O,
pl-610,2,10,warunki,,warunki,subst:pl:acc:n:pt,NOUN,O,
pl-610,2,11,okresu,,okres,subst:sg:gen:m3,NOUN,O,
pl-610,2,12,przejściowego,,przejściowy,adj:sg:gen:m3:pos,ADJ,O,
pl-610,2,13,.,,.,interp,PUNCT,O,
pl-610,3,1,-,,-,interp,PUNCT,O,
pl-610,3,2,Theresa,Theresa,Theres,subst:sg:nom:f,PROPN,B-PER,PER-Theresa-May
pl-610,3,3,May,May,May,subst:sg:nom:f,PROPN,I-PER,PER-Theresa-May
pl-610,3,4,otrzymała,,otrzymać,praet:sg:f:perf,VERB,O,
pl-610,3,5,podwójny,,podwójny,adj:sg:acc:m3:pos,ADJ,O,
pl-610,3,6,cios,,cios,subst:sg:acc:m3,NOUN,O,
pl-610,3,7,w,,w,prep:loc:nwok,ADP,O,
pl-610,3,8,kwestii,,kwestia,subst:sg:loc:f,NOUN,O,
pl-610,3,9,Brexitu,Brexit,Brexit,subst:sg:gen:m3,PROPN,B-EVT,EVT-Brexit
pl-610,3,10,",",,",",interp,PUNCT,O,
pl-610,3,11,jako,,jako,comp,SCONJ,O,
pl-610,3,12,że,,że,comp,SCONJ,O,
pl-610,3,13,UE,UE,UE,subst:sg:nom:f,PROPN,B-ORG,ORG-European-Union
pl-610,3,14,zaostrzyła,,zaostrzyć,praet:sg:f:perf,VERB,O,
pl-610,3,15,swoje,,swój,adj:pl:acc:n:pos,DET,O,
pl-610,3,16,warunki,,warunki,subst:pl:acc:n:pt,NOUN,O,
pl-610,3,17,okresu,,okres,subst:sg:gen:m3,NOUN,O,
pl-610,3,18,przejściowego,,przejściowy,adj:sg:gen:m3:pos,ADJ,O,
pl-610,3,19,",",,",",interp,PUNCT,O,
pl-610,3,20,a,,a,conj,CCONJ,O,
pl-610,3,21,Norwegia,Norwegia,Norwegia,subst:sg:nom:f,PROPN,B-LOC,GPE-Norway
pl-610,3,22,nieoficjalnie,,nieoficjalnie,adv:pos,ADV,O,
pl-610,3,23,ostrzegła,,ostrzec,praet:sg:f:perf,VERB,O,
pl-610,3,24,Brukselę,Bruksela,Bruksela,subst:sg:acc:f,PROPN,B-LOC,GPE-Brussles
pl-610,3,25,",",,",",interp,PUNCT,O,
pl-610,3,26,że,,że,comp,SCONJ,O,
pl-610,3,27,przyjęcie,,przyjąć,ger:sg:nom:n:perf:aff,NOUN,O,
pl-610,3,28,żądania,,żądać,subst:sg:gen:n:ncol:aff,NOUN,O,
