docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
ru-1022,0,1,В,,в,,ADP,O,
ru-1022,0,2,Британии,Британия,Британия,,PROPN,B-LOC,GPE-Great-Britain
ru-1022,0,3,назначили,,назначить,,VERB,O,
ru-1022,0,4,нового,,новый,,ADJ,O,
ru-1022,0,5,министра,,министр,,NOUN,O,
ru-1022,0,6,по,,по,,ADP,O,
ru-1022,0,7,Brexit,Brexit,Brexit,,PROPN,B-EVT,EVT-Brexit
ru-1022,1,1,Новым,,новый,,ADJ,O,
ru-1022,1,2,министром,,министр,,NOUN,O,
ru-1022,1,3,Великобритании,Великобритания,Великобритания,,PROPN,B-LOC,GPE-Great-Britain
ru-1022,1,4,по,,по,,ADP,O,
ru-1022,1,5,выходу,,выход,,NOUN,O,
ru-1022,1,6,страны,,страна,,NOUN,O,
ru-1022,1,7,из,,из,,ADP,O,
ru-1022,1,8,Европейского,Европейский,Европейский,,PROPN,B-ORG,ORG-European-Union
ru-1022,1,9,Союза,Союз,Союз,,PROPN,I-ORG,ORG-European-Union
ru-1022,1,10,(,,(,,PUNCT,O,
ru-1022,1,11,Brexit,Brexit,Brexit,,PROPN,B-EVT,EVT-Brexit
ru-1022,1,12,),,),,PUNCT,O,
ru-1022,1,13,назначен,,назначить,,VERB,O,
ru-1022,1,14,44-летний,,44-летний,,ADJ,O,
ru-1022,1,15,Доминик,Доминик,Доминик,,PROPN,B-PER,PER-Dominic-Raab
ru-1022,1,16,Рааб,Рааб,Рааб,,PROPN,I-PER,PER-Dominic-Raab
ru-1022,1,17,.,,.,,PUNCT,O,
ru-1022,2,1,Об,,о,,ADP,O,
ru-1022,2,2,этом,,это,,PRON,O,
ru-1022,2,3,в,,в,,ADP,O,
ru-1022,2,4,понедельник,,понедельник,,NOUN,O,
ru-1022,2,5,",",,",",,PUNCT,O,
ru-1022,2,6,9,,9,,NUM,O,
ru-1022,2,7,июля,,июль,,NOUN,O,
ru-1022,2,8,",",,",",,PUNCT,O,
ru-1022,2,9,сообщает,,сообщать,,VERB,O,
ru-1022,2,10,пресс-служба,,пресс-служба,,NOUN,O,
ru-1022,2,11,британского,британское,британский,,ADJ,B-ORG,ORG-the-UK-Government
ru-1022,2,12,правительства,правительство,правительство,,NOUN,I-ORG,ORG-the-UK-Government
ru-1022,2,13,.,,.,,PUNCT,O,
ru-1022,3,1,Отмечено,,отметить,,VERB,O,
ru-1022,3,2,",",,",",,PUNCT,O,
ru-1022,3,3,что,,что,,SCONJ,O,
ru-1022,3,4,Рааб,Рааб,Рааб,,PROPN,B-PER,PER-Dominic-Raab
ru-1022,3,5,с,,с,,ADP,O,
ru-1022,3,6,января,,январь,,NOUN,O,
ru-1022,3,7,этого,,этот,,DET,O,
ru-1022,3,8,года,,год,,NOUN,O,
ru-1022,3,9,занимал,,занимать,,VERB,O,
ru-1022,3,10,пост,,пост,,NOUN,O,
ru-1022,3,11,министра,,министр,,NOUN,O,
ru-1022,3,12,жилищного,,жилищный,,ADJ,O,
ru-1022,3,13,строительства,,строительство,,NOUN,O,
ru-1022,3,14,",",,",",,PUNCT,O,
ru-1022,3,15,а,,а,,CCONJ,O,
ru-1022,3,16,до,,до,,ADP,O,
ru-1022,3,17,этого,,это,,PRON,O,
ru-1022,3,18,был,,быть,,AUX,O,
ru-1022,3,19,министром,,министр,,NOUN,O,
ru-1022,3,20,юстиции,,юстиция,,NOUN,O,
ru-1022,3,21,.,,.,,PUNCT,O,
ru-1022,4,1,Он,,он,,PRON,O,
ru-1022,4,2,является,,являться,,VERB,O,
ru-1022,4,3,членом,,член,,NOUN,O,
ru-1022,4,4,правящей,,править,,VERB,O,
ru-1022,4,5,Консервативной,Консервативная,консервативный,,ADJ,B-ORG,ORG-Conservative-and-Unionist-Party-UK
ru-1022,4,6,партии,партия,партия,,NOUN,I-ORG,ORG-Conservative-and-Unionist-Party-UK
ru-1022,4,7,.,,.,,PUNCT,O,
ru-1022,5,1,Напомним,,напомнить,,VERB,O,
ru-1022,5,2,",",,",",,PUNCT,O,
ru-1022,5,3,должность,,должность,,NOUN,O,
ru-1022,5,4,оказалась,,оказаться,,VERB,O,
ru-1022,5,5,вакантной,,вакантный,,ADJ,O,
ru-1022,5,6,с,,с,,ADP,O,
ru-1022,5,7,позднего,,поздний,,ADJ,O,
ru-1022,5,8,вечера,,вечер,,NOUN,O,
ru-1022,5,9,8,,8,,NUM,O,
ru-1022,5,10,июля,,июль,,NOUN,O,
ru-1022,5,11,",",,",",,PUNCT,O,
ru-1022,5,12,когда,,когда,,SCONJ,O,
ru-1022,5,13,в,,в,,ADP,O,
ru-1022,5,14,отставку,,отставка,,NOUN,O,
ru-1022,5,15,подал,,подать,,VERB,O,
ru-1022,5,16,занимавший,,занимать,,VERB,O,
ru-1022,5,17,эту,,этот,,DET,O,
ru-1022,5,18,должность,,должность,,NOUN,O,
ru-1022,5,19,с,,с,,ADP,O,
ru-1022,5,20,начала,,начало,,NOUN,O,
ru-1022,5,21,процедуры,,процедура,,NOUN,O,
ru-1022,5,22,выхода,,выход,,NOUN,O,
ru-1022,5,23,Дэвид,Дэвид,Дэвид,,PROPN,B-PER,PER-David-Davis
ru-1022,5,24,Дэвис,Дэвис,Дэвис,,PROPN,I-PER,PER-David-Davis
ru-1022,5,25,.,,.,,PUNCT,O,
ru-1022,6,1,Свое,,свой,,DET,O,
ru-1022,6,2,решение,,решение,,NOUN,O,
ru-1022,6,3,он,,он,,PRON,O,
ru-1022,6,4,объяснил,,объяснить,,VERB,O,
ru-1022,6,5,несогласием,,несогласие,,NOUN,O,
ru-1022,6,6,с,,с,,ADP,O,
ru-1022,6,7,позицией,,позиция,,NOUN,O,
ru-1022,6,8,правительства,,правительство,,NOUN,O,
ru-1022,6,9,во,,в,,ADP,O,
ru-1022,6,10,главе,,глава,,NOUN,O,
ru-1022,6,11,с,,с,,ADP,O,
ru-1022,6,12,премьером,,премьер,,NOUN,O,
ru-1022,6,13,Терезой,Тереза,Тереза,,PROPN,B-PER,PER-Theresa-May
ru-1022,6,14,Мэй,Мэй,Мэй,,PROPN,I-PER,PER-Theresa-May
ru-1022,6,15,.,,.,,PUNCT,O,
ru-1022,7,1,По,,по,,ADP,O,
ru-1022,7,2,словам,,слово,,NOUN,O,
ru-1022,7,3,Дэвиса,Дэвис,Дэвис,,PROPN,B-PER,PER-David-Davis
ru-1022,7,4,",",,",",,PUNCT,O,
ru-1022,7,5,кабинет,,кабинет,,NOUN,O,
ru-1022,7,6,в,,в,,ADP,O,
ru-1022,7,7,переговорах,,переговоры,,NOUN,O,
ru-1022,7,8,с,,с,,ADP,O,
ru-1022,7,9,Евросоюзом,Евросоюз,Евросоюз,,PROPN,B-ORG,ORG-European-Union
ru-1022,7,10,идет,,идти,,VERB,O,
ru-1022,7,11,на,,на,,ADP,O,
ru-1022,7,12,слишком,,слишком,,ADV,O,
ru-1022,7,13,большое,,большой,,ADJ,O,
ru-1022,7,14,число,,число,,NOUN,O,
ru-1022,7,15,уступок,,уступка,,NOUN,O,
ru-1022,7,16,.,,.,,PUNCT,O,
ru-1022,8,1,Отставка,,отставка,,NOUN,O,
ru-1022,8,2,Дэвиса,Дэвис,Дэвис,,PROPN,B-PER,PER-David-Davis
ru-1022,8,3,состоялась,,состояться,,VERB,O,
ru-1022,8,4,на,,на,,ADP,O,
ru-1022,8,5,следующий,,следующий,,ADJ,O,
ru-1022,8,6,день,,день,,NOUN,O,
ru-1022,8,7,после,,после,,ADP,O,
ru-1022,8,8,встречи,,встреча,,NOUN,O,
ru-1022,8,9,всего,,весь,,DET,O,
ru-1022,8,10,правительства,,правительство,,NOUN,O,
ru-1022,8,11,в,,в,,ADP,O,
ru-1022,8,12,загородной,,загородный,,ADJ,O,
ru-1022,8,13,резиденции,,резиденция,,NOUN,O,
ru-1022,8,14,британского,,британский,,ADJ,O,
ru-1022,8,15,премьера,,премьер,,NOUN,O,
ru-1022,8,16,",",,",",,PUNCT,O,
ru-1022,8,17,где,,где,,ADV,O,
ru-1022,8,18,все,,весь,,DET,O,
ru-1022,8,19,члены,,член,,NOUN,O,
ru-1022,8,20,кабинета,,кабинет,,NOUN,O,
ru-1022,8,21,договорились,,договориться,,VERB,O,
ru-1022,8,22,поддержать,,поддержать,,VERB,O,
ru-1022,8,23,правительственный,,правительственный,,ADJ,O,
ru-1022,8,24,план,,план,,NOUN,O,
ru-1022,8,25,по,,по,,ADP,O,
ru-1022,8,26,выходу,,выход,,NOUN,O,
ru-1022,8,27,из,,из,,ADP,O,
ru-1022,8,28,ЕС,ЕС,ЕС,,PROPN,B-ORG,ORG-European-Union
ru-1022,8,29,.,,.,,PUNCT,O,
ru-1022,9,1,Однако,,однако,,ADV,O,
ru-1022,9,2,",",,",",,PUNCT,O,
ru-1022,9,3,как,,как,,SCONJ,O,
ru-1022,9,4,пояснил,,пояснить,,VERB,O,
ru-1022,9,5,Дэвис,Дэвис,Дэвис,,PROPN,B-PER,PER-David-Davis
ru-1022,9,6,после,,после,,ADP,O,
ru-1022,9,7,отставки,,отставка,,NOUN,O,
ru-1022,9,8,",",,",",,PUNCT,O,
ru-1022,9,9,его,,его,,DET,O,
ru-1022,9,10,этот,,этот,,DET,O,
ru-1022,9,11,план,,план,,NOUN,O,
ru-1022,9,12,не,,не,,PART,O,
ru-1022,9,13,устроил,,устроить,,VERB,O,
ru-1022,9,14,",",,",",,PUNCT,O,
ru-1022,9,15,поэтому,,поэтому,,ADV,O,
ru-1022,9,16,он,,он,,PRON,O,
ru-1022,9,17,и,,и,,PART,O,
ru-1022,9,18,решил,,решить,,VERB,O,
ru-1022,9,19,подать,,подать,,VERB,O,
ru-1022,9,20,в,,в,,ADP,O,
ru-1022,9,21,отставку,,отставка,,NOUN,O,
ru-1022,9,22,.,,.,,PUNCT,O,
ru-1022,10,1,Новости,,новость,,NOUN,O,
ru-1022,10,2,от,,от,,ADP,O,
ru-1022,10,3,Корреспондент.net,Корреспондент.net,Корреспондент.net,,PROPN,B-PRO,PRO-Korrespondent-net
ru-1022,10,4,в,,в,,ADP,O,
ru-1022,10,5,Telegram,Telegram,Telegram,,PROPN,B-PRO,PRO-Telegram
ru-1022,10,6,.,,.,,PUNCT,O,
ru-1022,11,1,Подписывайтесь,,подписываться,,VERB,O,
ru-1022,11,2,на,,на,,ADP,O,
ru-1022,11,3,наш,,наш,,DET,O,
ru-1022,11,4,канал,,канал,,NOUN,O,
ru-1022,11,5,https://t.me/korrespondentnet.,,https://t.me/korrespondentnet.,,PROPN,O,
ru-1022,12,1,Источник,,источник,,NOUN,O,
ru-1022,12,2,:,,:,,PUNCT,O,
ru-1022,12,3,korrespondent.net,,korrespondent.net,,PROPN,O,
ru-1022,12,4,Подпишитесь,,подписаться,,VERB,O,
ru-1022,12,5,на,,на,,ADP,O,
ru-1022,12,6,наш,,наш,,DET,O,
ru-1022,12,7,канал,,канал,,NOUN,O,
ru-1022,12,8,в,,в,,ADP,O,
ru-1022,12,9,telegram,Telegram,telegram,,PROPN,B-PRO,PRO-Telegram
