docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
sl-146,0,1,Brexit,brexit,Brexit,Npmsn,PROPN,B-EVT,EVT-Brexit
sl-146,0,2,da,,dati,Vmer3s,VERB,O,
sl-146,0,3,ali,,ali,Cc,CCONJ,O,
sl-146,0,4,ne,,ne,Q,PART,O,
sl-146,0,5,?,,?,Z,PUNCT,O,
sl-146,1,1,Že,,že,Q,PART,O,
sl-146,1,2,Platon,Platon,Platon,Npmsn,PROPN,B-PER,PER-Plato
sl-146,1,3,je,,biti,Va-r3s-n,AUX,O,
sl-146,1,4,napovedal,,napovedati,Vmep-sm,VERB,O,
sl-146,1,5,paradoks,,paradoks,Ncmsan,NOUN,O,
sl-146,1,6,enotnost,,enotnost,Ncfsa,NOUN,O,
sl-146,1,7,nasprotij,,nasprotje,Ncnpg,NOUN,O,
sl-146,1,8,:,,:,Z,PUNCT,O,
sl-146,1,9,vsaki,,vsak,Pg-fsd,DET,O,
sl-146,1,10,tiraniji,,tiranija,Ncfsd,NOUN,O,
sl-146,1,11,",",,",",Z,PUNCT,O,
sl-146,1,12,diktaturi,,diktatura,Ncfsd,NOUN,O,
sl-146,1,13,sledi,,slediti,Vmpr3s,VERB,O,
sl-146,1,14,demokracija,,demokracija,Ncfsn,NOUN,O,
sl-146,1,15,in,,in,Cc,CCONJ,O,
sl-146,1,16,obratno,,obratno,Rgp,ADV,O,
sl-146,1,17,.,,.,Z,PUNCT,O,
sl-146,2,1,Ni,,biti,Va-r3s-y,AUX,O,
sl-146,2,2,zgolj,,zgolj,Q,PART,O,
sl-146,2,3,slučaj,,slučaj,Ncmsn,NOUN,O,
sl-146,2,4,",",,",",Z,PUNCT,O,
sl-146,2,5,da,,da,Cs,SCONJ,O,
sl-146,2,6,po,,po,Sl,ADP,O,
sl-146,2,7,demokratičnem,,demokratičen,Agpmsl,ADJ,O,
sl-146,2,8,liberalizmu,,liberalizem,Ncmsl,NOUN,O,
sl-146,2,9,prihajajo,,prihajati,Vmpr3p,VERB,O,
sl-146,2,10,na,,na,Sa,ADP,O,
sl-146,2,11,dan,,dan,Ncmsan,NOUN,O,
sl-146,2,12,konservativne,,konservativen,Agpfpn,ADJ,O,
sl-146,2,13,fašistične,,fašističen,Agpfpn,ADJ,O,
sl-146,2,14,struje,,struja,Ncfpn,NOUN,O,
sl-146,2,15,",",,",",Z,PUNCT,O,
sl-146,2,16,ki,,ki,Cs,SCONJ,O,
sl-146,2,17,želijo,,želeti,Vmpr3p,VERB,O,
sl-146,2,18,(,,(,Z,PUNCT,O,
sl-146,2,19,ob,,ob,Sl,ADP,O,
sl-146,2,20,),,),Z,PUNCT,O,
sl-146,2,21,vladati,,vladati,Vmpn,VERB,O,
sl-146,2,22,in,,in,Cc,CCONJ,O,
sl-146,2,23,(,,(,Z,PUNCT,O,
sl-146,2,24,za,,za,Sa,ADP,O,
sl-146,2,25,),,),Z,PUNCT,O,
sl-146,2,26,vladati,,vladati,Vmpn,VERB,O,
sl-146,2,27,posameznim,,posamezen,Agpfpd,ADJ,O,
sl-146,2,28,skupinam,,skupina,Ncfpd,NOUN,O,
sl-146,2,29,",",,",",Z,PUNCT,O,
sl-146,2,30,pa,,pa,Cc,CCONJ,O,
sl-146,2,31,tudi,,tudi,Q,PART,O,
sl-146,2,32,družbi,,družba,Ncfsd,NOUN,O,
sl-146,2,33,in,,in,Cc,CCONJ,O,
sl-146,2,34,državam,,država,Ncfpd,NOUN,O,
sl-146,2,35,.,,.,Z,PUNCT,O,
sl-146,3,1,Natanko,,natanko,Rgp,ADV,O,
sl-146,3,2,to,,ta,Pd-nsa,DET,O,
sl-146,3,3,pooseblja,,poosebljati,Vmpr3s,VERB,O,
sl-146,3,4,premierka,,premierka,Ncfsn,NOUN,O,
sl-146,3,5,Theresa,Theresa,Theresa,Npfsn,PROPN,B-PER,PER-Theresa-May
sl-146,3,6,May,May,May,Npfsn,PROPN,I-PER,PER-Theresa-May
sl-146,3,7,",",,",",Z,PUNCT,O,
sl-146,3,8,ki,,ki,Cs,SCONJ,O,
sl-146,3,9,avtoritarno,,avtoritarno,Rgp,ADV,O,
sl-146,3,10,",",,",",Z,PUNCT,O,
sl-146,3,11,brez,,brez,Sg,ADP,O,
sl-146,3,12,posvetovanja,,posvetovanje,Ncnsg,NOUN,O,
sl-146,3,13,in,,in,Cc,CCONJ,O,
sl-146,3,14,strokovnega,,strokoven,Agpnsg,ADJ,O,
sl-146,3,15,vodenja,,vodenje,Ncnsg,NOUN,O,
sl-146,3,16,",",,",",Z,PUNCT,O,
sl-146,3,17,skuša,,skušati,Vmpr3s,VERB,O,
sl-146,3,18,po,,po,Sa,ADP,O,
sl-146,3,19,svoje,,svoj,Px-nsa,DET,O,
