docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
ua-1041,0,1,Британські,,британський,Ao--pns,ADJ,O,
ua-1041,0,2,військові,,військовий,Ao-mpns,NOUN,O,
ua-1041,0,3,розробляють,,розробляти,Vmpip3p,VERB,O,
ua-1041,0,4,надзвичайний,,надзвичайний,Ao-msafn,ADJ,O,
ua-1041,0,5,план,,план,Ncmsan,NOUN,O,
ua-1041,0,6,на,,на,Spsa,ADP,O,
ua-1041,0,7,випадок,,випадок,Ncmsan,NOUN,O,
ua-1041,0,8,зриву,,зрив,Ncmsgn,NOUN,O,
ua-1041,0,9,угоди,,угода,Ncfsgn,NOUN,O,
ua-1041,0,10,щодо,,щодо,Spsg,ADP,O,
ua-1041,0,11,Brexit,Brexit,Brexit,X,X,B-EVT,EVT-Brexit
ua-1041,1,1,КИЇВ,Київ,КИЇВ,Npmsnn,PROPN,B-LOC,GPE-Kiev
ua-1041,1,2,.,,.,U,PUNCT,O,
ua-1041,2,1,18,,18,Mlonsg,ADJ,O,
ua-1041,2,2,листопада,,листопад,Ncmsgn,NOUN,O,
ua-1041,2,3,.,,.,U,PUNCT,O,
ua-1041,3,1,УНН,УНН,УНН,Y,PROPN,B-ORG,ORG-UNN
ua-1041,3,2,.,,.,U,PUNCT,O,
ua-1041,4,1,Британські,,британський,Ao--pns,ADJ,O,
ua-1041,4,2,фахівці,,фахівець,Ncmpny,NOUN,O,
ua-1041,4,3,з,,з,Spsg,ADP,O,
ua-1041,4,4,військового,,військовий,Ao-nsgf,ADJ,O,
ua-1041,4,5,планування,,планування,Ncnsgn,NOUN,O,
ua-1041,4,6,готуються,,готуватися,Vmpip3p,VERB,O,
ua-1041,4,7,до,,до,Spsg,ADP,O,
ua-1041,4,8,прийняття,,прийняття,Ncnsgn,NOUN,O,
ua-1041,4,9,надзвичайних,,надзвичайний,Ao--pgf,ADJ,O,
ua-1041,4,10,заходів,,захід,Ncmpgn,NOUN,O,
ua-1041,4,11,у,,у,Spsl,ADP,O,
ua-1041,4,12,разі,,раз,Ncmsln,NOUN,O,
ua-1041,4,13,виходу,,вихід,Ncmsgn,NOUN,O,
ua-1041,4,14,країни,,країна,Ncfsgn,NOUN,O,
ua-1041,4,15,з,,з,Spsg,ADP,O,
ua-1041,4,16,Європейського,Європейський,європейський,Ao-msgf,ADJ,B-ORG,ORG-European-Union
ua-1041,4,17,союзу,союз,союз,Ncmsgn,NOUN,I-ORG,ORG-European-Union
ua-1041,4,18,без,,без,Spsg,ADP,O,
ua-1041,4,19,угоди,,угода,Ncfsgn,NOUN,O,
ua-1041,4,20,щодо,,щодо,Spsg,ADP,O,
ua-1041,4,21,Brexit,Brexit,Brexit,X,X,B-EVT,EVT-Brexit
ua-1041,4,22,.,,.,U,PUNCT,O,
ua-1041,5,1,Про,,про,Spsa,ADP,O,
ua-1041,5,2,це,,це,Pd--nnsan,PRON,O,
ua-1041,5,3,в,,в,Spsa,ADP,O,
ua-1041,5,4,неділю,,неділя,Ncfsan,NOUN,O,
ua-1041,5,5,повідомила,,повідомити,Vmeis-sf,VERB,O,
ua-1041,5,6,газета,,газета,Ncfsnn,NOUN,O,
ua-1041,5,7,The,The,The,X,X,B-PRO,PRO-The-Sunday-Times
ua-1041,5,8,Sunday,Sunday,Sunday,X,X,I-PRO,PRO-The-Sunday-Times
ua-1041,5,9,Times,Times,Times,X,X,I-PRO,PRO-The-Sunday-Times
ua-1041,5,10,із,,із,Spsi,ADP,O,
ua-1041,5,11,посиланням,,посилання,Ncnsin,NOUN,O,
ua-1041,5,12,на,,на,Spsa,ADP,O,
ua-1041,5,13,джерело,,джерело,Ncnsan,NOUN,O,
ua-1041,5,14,в,,в,Spsl,ADP,O,
ua-1041,5,15,британській,,британський,Ao-fslf,ADJ,O,
ua-1041,5,16,армії,,армія,Ncfsln,NOUN,O,
ua-1041,5,17,",",,",",U,PUNCT,O,
ua-1041,5,18,інформує,,інформувати,Vmpip3s,VERB,O,
ua-1041,5,19,УНН,УНН,УНН,Y,NOUN,B-ORG,ORG-UNN
ua-1041,5,20,.,,.,U,PUNCT,O,
ua-1041,6,1,За,,за,Spsi,ADP,O,
ua-1041,6,2,даними,,дані,Ap--pif-,NOUN,O,
ua-1041,6,3,видання,,видання,Ncnsgn,NOUN,O,
ua-1041,6,4,",",,",",U,PUNCT,O,
ua-1041,6,5,близько,,близько,Spsg,ADP,O,
ua-1041,6,6,20,,20,Mlc-g,NUM,O,
ua-1041,6,7,офіцерів,,офіцер,Ncmpgy,NOUN,O,
ua-1041,6,8,",",,",",U,PUNCT,O,
ua-1041,6,9,які,,який,Pr----pna,DET,O,
ua-1041,6,10,зазвичай,,зазвичай,R,ADV,O,
ua-1041,6,11,контролюють,,контролювати,Vmpip3p,VERB,O,
ua-1041,6,12,хід,,хід,Ncmsan,NOUN,O,
ua-1041,6,13,операції,Операція,операція,Ncfsgn,NOUN,B-EVT,EVT-Operation-Temperer
ua-1041,6,14,Temperer,Temperer,Temperer,X,X,I-EVT,EVT-Operation-Temperer
ua-1041,6,15,",",,",",U,PUNCT,O,
ua-1041,6,16,у,,у,Spsl,ADP,O,
ua-1041,6,17,рамках,,рамка,Ncfpln,NOUN,O,
ua-1041,6,18,якої,,який,Pr--f-sga,DET,O,
ua-1041,6,19,військовослужбовці,,військовослужбовець,Ncmpny,NOUN,O,
ua-1041,6,20,надають,,надавати,Vmpip3p,VERB,O,
ua-1041,6,21,допомогу,,допомога,Ncfsan,NOUN,O,
ua-1041,6,22,поліції,,поліція,Ncfsgn,NOUN,O,
ua-1041,6,23,у,,у,Spsl,ADP,O,
ua-1041,6,24,разі,,раз,Ncmsln,NOUN,O,
ua-1041,6,25,терористичних,,терористичний,Ao--pgf,ADJ,O,
ua-1041,6,26,актів,,акт,Ncmpgn,NOUN,O,
ua-1041,6,27,",",,",",U,PUNCT,O,
ua-1041,6,28,отримали,,отримати,Vmeis-p,VERB,O,
ua-1041,6,29,наказ,,наказ,Ncmsan,NOUN,O,
ua-1041,6,30,прискорити,,прискорити,Vmen,VERB,O,
ua-1041,6,31,підготовку,,підготовка,Ncfsan,NOUN,O,
ua-1041,6,32,до,,до,Spsg,ADP,O,
ua-1041,6,33,можливого,,можливий,Ao-msgf,ADJ,O,
ua-1041,6,34,сценарію,,сценарія,Ncmsgn,NOUN,O,
ua-1041,6,35,Brexit,Brexit,Brexit,X,X,B-EVT,EVT-Brexit
ua-1041,6,36,без,,без,Spsg,ADP,O,
ua-1041,6,37,угоди,,угода,Ncfsgn,NOUN,O,
ua-1041,6,38,.,,.,U,PUNCT,O,
ua-1041,7,1,Група,,група,Ncfsnn,NOUN,O,
ua-1041,7,2,зосередить,,зосередити,Vmeif3s,VERB,O,
ua-1041,7,3,увагу,,увага,Ncfsan,NOUN,O,
