docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
120,0,1,Evropská,evropská,evropský,AAFS1----1A----,ADJ,B-ORG,1
120,0,2,komise,komise,komise,NNFS1-----A----,NOUN,I-ORG,1
120,0,3,obvinila,,obvinit,VpQW---XR-AA---,VERB,O,
120,0,4,Facebook,facebook,Facebook,NNIS1-----A----,PROPN,B-ORG,55
120,0,5,:,,:,Z:-------------,PUNCT,O,
120,0,6,Při,,při,RR--6----------,ADP,O,
120,0,7,nákupu,,nákup,NNIS6-----A----,NOUN,O,
120,0,8,WhatsAppu,whatsapp,Whatsapp,NNIS2-----A----,PROPN,B-ORG,56
120,0,9,jste,,být,VB-P---2P-AA---,AUX,O,
120,0,10,nás,,já,PP-P4--1-------,PRON,O,
120,0,11,podvedli,,podvést,VpMP---XR-AA---,VERB,O,
120,0,12,|,,|,Z:-------------,PUNCT,O,
120,0,13,Blesk,blesk,Blesk,NNMS1-----A----,PROPN,B-ORG,57
120,0,14,.,.,.,Z:-------------,PUNCT,I-ORG,57
120,1,1,cz,cz,cz,NNFSX-----A----,PROPN,I-ORG,57
120,1,2,Evropská,evropská,evropský,AAFS1----1A----,ADJ,B-ORG,1
120,1,3,komise,komise,komise,NNFS1-----A----,NOUN,I-ORG,1
120,1,4,obvinila,,obvinit,VpQW---XR-AA---,VERB,O,
120,1,5,Facebook,facebook,Facebook,NNIS4-----A----,PROPN,B-ORG,55
120,1,6,",",,",",Z:-------------,PUNCT,O,
120,1,7,že,,že,"J,-------------",SCONJ,O,
120,1,8,ji,,on,PPFS4--3-------,PRON,O,
120,1,9,při,,při,RR--6----------,ADP,O,
120,1,10,miliardové,,miliardový,AAFS6----1A----,ADJ,O,
120,1,11,akvizici,,akvizice,NNFS6-----A----,NOUN,O,
120,1,12,komunikátoru,,komunikátor,NNIS2-----A----,NOUN,O,
120,1,13,WhatsApp,whatsapp,WhatsApp,NNIS1-----A----,PROPN,B-ORG,56
120,1,14,tahal,,tahat,VpYS---XR-AA---,VERB,O,
120,1,15,za,,za,RR--4----------,ADP,O,
120,1,16,nos,,nos,NNIS4-----A----,NOUN,O,
120,1,17,.,,.,Z:-------------,PUNCT,O,
120,2,1,Podle,,podle,RR--2----------,ADP,O,
120,2,2,komisařů,,komisař,NNMP2-----A----,NOUN,O,
120,2,3,Facebook,facebook,Facebook,NNMS1-----A----,PROPN,B-ORG,55
120,2,4,slíbil,,slíbit,VpYS---XR-AA---,VERB,O,
120,2,5,",",,",",Z:-------------,PUNCT,O,
120,2,6,že,,že,"J,-------------",SCONJ,O,
120,2,7,po,,po,RR--6----------,ADP,O,
120,2,8,nákupu,,nákup,NNIS6-----A----,NOUN,O,
120,2,9,služby,,služba,NNFS2-----A----,NOUN,O,
120,2,10,nespojí,,spojit,VB-P---3P-NA---,VERB,O,
120,2,11,účty,,účet,NNIP4-----A----,NOUN,O,
120,2,12,jedné,,jeden,ClFS2----------,NUM,O,
120,2,13,osoby,,osoba,NNFS2-----A----,NOUN,O,
120,2,14,z,,z,RR--2----------,ADP,O,
120,2,15,obou,,oba,ClXP2----------,NUM,O,
120,2,16,služeb,,služba,NNFP2-----A----,NOUN,O,
120,2,17,",",,",",Z:-------------,PUNCT,O,
120,2,18,podle,,podle,RR--2----------,ADP,O,
120,2,19,zjištění,,zjištění,NNNS2-----A----,NOUN,O,
120,2,20,však,,však,J^-------------,CCONJ,O,
120,2,21,Facebook,facebook,Facebook,NNIS1-----A----,PROPN,B-ORG,55
120,2,22,takový,,takový,PDIS4----------,DET,O,
120,2,23,mechanizmus,,mechanizmus,NNIS4-----A----,NOUN,O,
120,2,24,vyvíjel,,vyvíjet,VpYS---XR-AA---,VERB,O,
120,2,25,už,,už,Db-------------,ADV,O,
120,2,26,v,,v,RR--6----------,ADP,O,
120,2,27,roce,,rok,NNIS6-----A---1,NOUN,O,
120,2,28,2014,,2014,C=-------------,NUM,O,
120,2,29,.,,.,Z:-------------,PUNCT,O,
120,3,1,Tato,,tento,PDFS1----------,DET,O,
120,3,2,praxe,,praxe,NNFS1-----A----,NOUN,O,
120,3,3,se,,se,P7-X4----------,PRON,O,
120,3,4,však,,však,J^-------------,CCONJ,O,
120,3,5,nelíbila,,líbit,VpQW---XR-NA---,VERB,O,
120,3,6,úřadům,,úřad,NNIP3-----A----,NOUN,O,
120,3,7,na,,na,RR--4----------,ADP,O,
120,3,8,ochranu,,ochrana,NNFS4-----A----,NOUN,O,
120,3,9,osobních,,osobní,AAIP2----1A----,ADJ,O,
120,3,10,údajů,,údaj,NNIP2-----A----,NOUN,O,
120,3,11,z,,z,RR--2----------,ADP,O,
120,3,12,členských,,členský,AAFP2----1A----,ADJ,O,
120,3,13,zemí,,země,NNFP2-----A----,NOUN,O,
120,3,14,EU,eu,EU,NNFXX-----A---8,PROPN,B-LOC,6
120,3,15,",",,",",Z:-------------,PUNCT,O,
120,3,16,a,,a,J^-------------,CCONJ,O,
120,3,17,tak,,tak,Db-------------,ADV,O,
120,3,18,si,,se,P7-X3----------,PRON,O,
120,3,19,na,,na,RR--4----------,ADP,O,
120,3,20,podzim,,podzim,NNIS4-----A----,NOUN,O,
120,3,21,v,,v,RR--6----------,ADP,O,
120,3,22,otevřeném,,otevřený,AAIS6----1A----,ADJ,O,
120,3,23,dopisu,,dopis,NNIS6-----A----,NOUN,O,
120,3,24,stěžovali,,stěžovat,VpMP---XR-AA---,VERB,O,
120,3,25,přímo,,přímo,Dg-------1A----,ADV,O,
120,3,26,u,,u,RR--2----------,ADP,O,
120,3,27,WhatsAppu,whatsapp,Whatsapp,NNIS2-----A----,PROPN,B-ORG,56
120,3,28,",",,",",Z:-------------,PUNCT,O,
120,3,29,který,,který,P4IS4----------,DET,O,
120,3,30,toto,,tento,PDNS4----------,DET,O,
120,3,31,propojení,,propojení,NNNS4-----A----,NOUN,O,
120,3,32,skrze,,skrz,RV--4----------,ADP,O,
120,3,33,shodu,,shoda,NNFS4-----A----,NOUN,O,
120,3,34,telefonního,,telefonní,AANS2----1A----,ADJ,O,
120,3,35,čísla,,číslo,NNNS2-----A----,NOUN,O,
120,3,36,přerušil,,přerušit,VpYS---XR-AA---,VERB,O,
120,3,37,.,,.,Z:-------------,PUNCT,O,
120,4,1,Mohlo,,moci,VpNS---XR-AA---,VERB,O,
120,4,2,by,,být,Vc-------------,AUX,O,
120,4,3,vás,,ty,PP-P4--2-------,PRON,O,
120,4,4,zajímat,,zajímat,Vf--------A----,VERB,O,
120,4,5,:,,:,Z:-------------,PUNCT,O,
120,4,6,WhatsApp,whatsapp,WhatsApp,NNIS1-----A----,PROPN,B-ORG,56
120,4,7,už,,už,Db-------------,ADV,O,
