docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
179,0,1,Europska,europska,europski,Agpfsny,ADJ,B-ORG,1
179,0,2,komisija,komisija,komisija,Ncfsn,NOUN,I-ORG,1
179,0,3,najavila,,najaviti,Vmp-sf,VERB,O,
179,0,4,strategiju,,strategija,Ncfsa,NOUN,O,
179,0,5,o,,o,Sl,ADP,O,
179,0,6,dobrobiti,,dobrobit,Ncfsl,NOUN,O,
179,0,7,životinja,,životinja,Ncfpg,NOUN,O,
179,0,8,-,,-,Z,PUNCT,O,
179,0,9,EU,eu,EU,Npmsn,PROPN,B-LOC,6
179,1,1,Europska,europska,europski,Agpfsny,ADJ,B-ORG,1
179,1,2,komisija,komisija,komisija,Ncfsn,NOUN,I-ORG,1
179,1,3,najavila,,najaviti,Vmp-sf,VERB,O,
179,1,4,strategiju,,strategija,Ncfsa,NOUN,O,
179,1,5,o,,o,Sl,ADP,O,
179,1,6,dobrobiti,,dobrobit,Ncfsl,NOUN,O,
179,1,7,životinja,,životinja,Ncfpg,NOUN,O,
179,1,8,.,,.,Z,PUNCT,O,
179,2,1,Europska,europska,europski,Agpfsny,ADJ,B-ORG,1
179,2,2,komisija,komisija,komisija,Ncfsn,NOUN,I-ORG,1
179,2,3,novim,,nov,Agpmsiy,ADJ,O,
179,2,4,planom,,plan,Ncmsi,NOUN,O,
179,2,5,želi,,željeti,Vmr3s,VERB,O,
179,2,6,popuniti,,popuniti,Vmn,VERB,O,
179,2,7,rupe,,rupa,Ncfpa,NOUN,O,
179,2,8,u,,u,Sl,ADP,O,
179,2,9,zakonima,,zakon,Ncmpl,NOUN,O,
179,2,10,EU,eu,EU,Npmsg,PROPN,B-LOC,6
179,2,11,u,,u,Sl,ADP,O,
179,2,12,vezi,,veza,Ncfsl,NOUN,O,
179,2,13,s,,sa,Si,ADP,O,
179,2,14,dobrobiti,,dobrobit,Ncfsi,NOUN,O,
179,2,15,životinja,,životinja,Ncfpg,NOUN,O,
179,2,16,",",,",",Z,PUNCT,O,
179,2,17,nudeći,,nudeći,Rr,ADV,O,
179,2,18,bolju,,dobar,Agcfsay,ADJ,O,
179,2,19,zaštitu,,zaštita,Ncfsa,NOUN,O,
179,2,20,životinjama,,životinja,Ncfpi,NOUN,O,
