docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
27,0,1,Komisja,komisja,komisja,subst:sg:nom:f,NOUN,B-ORG,1
27,0,2,Europejska,europejska,europejski,adj:sg:nom:f:pos,ADJ,I-ORG,1
27,0,3,chce,,chcieć,fin:sg:ter:imperf,VERB,O,
27,0,4,lepszych,,dobry,adj:pl:gen:n:com,ADJ,O,
27,0,5,zabezpieczeń,,zabezpieczenie,subst:pl:gen:n:ncol,NOUN,O,
27,0,6,handlowych,,handlowy,adj:pl:gen:n:pos,ADJ,O,
27,0,7,dla,,dla,prep:gen,ADP,O,
27,0,8,Europy,europa,Europa,subst:sg:gen:f,PROPN,B-LOC,9
27,0,9,–,,–,interp,PUNCT,O,
27,0,10,EurActiv.pl,euractiv.pl,Euractiv.pl,subst:sg:nom:n,PROPN,B-ORG,20036
27,0,11,Dziś,,dziś,adv,ADV,O,
27,0,12,(,,(,interp,PUNCT,O,
27,0,13,20,,20,adj:sg:gen:m3:pos,ADJ,O,
27,0,14,października,,październik,subst:sg:gen:m3,NOUN,O,
27,0,15,),,),interp,PUNCT,O,
27,0,16,w,,w,prep:loc:nwok,ADP,O,
27,0,17,Brukseli,bruksela,Bruksela,subst:sg:loc:f,PROPN,B-LOC,28
27,0,18,rozpoczyna,,rozpoczynać,fin:sg:ter:imperf,VERB,O,
27,0,19,się,,się,part,PRON,O,
27,0,20,przedostatni,,przedostatni,adj:sg:nom:m3:pos,ADJ,O,
27,0,21,w,,w,prep:loc:nwok,ADP,O,
27,0,22,tym,,ten,adj:sg:loc:m3:pos,DET,O,
27,0,23,roku,,rok,subst:sg:loc:m3,NOUN,O,
27,0,24,szczyt,,szczyt,subst:sg:nom:m3,NOUN,O,
27,0,25,Rady,rada,rada,subst:sg:gen:f,NOUN,B-ORG,42
27,0,26,Europejskiej,europejska,europejski,adj:sg:gen:f:pos,ADJ,I-ORG,42
27,0,27,.,,.,interp,PUNCT,O,
27,1,1,Komisja,komisja,komisja,subst:sg:nom:f,NOUN,B-ORG,1
27,1,2,Europejska,europejska,europejski,adj:sg:nom:f:pos,ADJ,I-ORG,1
27,1,3,chce,,chcieć,fin:sg:ter:imperf,VERB,O,
27,1,4,wykorzystać,,wykorzystać,inf:perf,VERB,O,
