docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
257,0,1,Европейская,европейская,европейский,,ADJ,B-ORG,1
257,0,2,комиссия,комиссия,комиссия,,NOUN,I-ORG,1
257,0,3,опубликовала,,опубликовать,,VERB,O,
257,0,4,измененные,,изменить,,VERB,O,
257,0,5,регламенты,,регламент,,NOUN,O,
257,0,6,ЕС,ес,ЕС,,PROPN,B-ORG,6
257,0,7,в,,в,,ADP,O,
257,0,8,отношении,,отношение,,NOUN,O,
257,0,9,продукции,,продукция,,NOUN,O,
257,0,10,из,,из,,ADP,O,
257,0,11,тюленя,,тюлень,,NOUN,O,
257,0,12,|,,|,,PUNCT,O,
257,0,13,IFAW,ifaw,IFAW,,PROPN,B-ORG,10162
257,0,14,-,,-,,PUNCT,O,
257,0,15,International,international,International,,PROPN,B-ORG,10162
257,0,16,Fund,fund,Fund,,PROPN,I-ORG,10162
257,0,17,for,for,for,,X,I-ORG,10162
257,0,18,Animal,animal,Animal,,PROPN,I-ORG,10162
257,0,19,Welfare,welfare,Welfare,,PROPN,I-ORG,10162
257,0,20,Европейская,европейская,Европейская,,PROPN,B-ORG,1
257,0,21,комиссия,комиссия,комиссия,,NOUN,I-ORG,1
257,0,22,сегодня,,сегодня,,ADV,O,
257,0,23,опубликовала,,опубликовать,,VERB,O,
257,0,24,измененный,,изменить,,VERB,O,
257,0,25,вариант,,вариант,,NOUN,O,
257,0,26,регламентов,,регламент,,NOUN,O,
257,0,27,Европейского,европейский,Европейский,,PROPN,B-ORG,6
257,0,28,Союза,союз,Союз,,PROPN,I-ORG,6
257,0,29,о,,о,,ADP,O,
257,0,30,продукции,,продукция,,NOUN,O,
257,0,31,из,,из,,ADP,O,
257,0,32,тюленя,,тюлень,,NOUN,O,
257,0,33,.,,.,,PUNCT,O,
257,1,1,Регламенты,,регламент,,NOUN,O,
257,1,2,ЕС,ес,ЕС,,PROPN,B-ORG,6
257,1,3,",",,",",,PUNCT,O,
257,1,4,касающиеся,,касаться,,VERB,O,
257,1,5,тюленей,,тюлень,,NOUN,O,
257,1,6,",",,",",,PUNCT,O,
257,1,7,было,,быть,,AUX,O,
257,1,8,необходимо,,необходимый,,ADJ,O,
257,1,9,отредактировать,,редактировать,,VERB,O,
257,1,10,с,,с,,ADP,O,
257,1,11,учетом,,учет,,NOUN,O,
257,1,12,выводов,,вывод,,NOUN,O,
257,1,13,недавнего,,недавний,,ADJ,O,
257,1,14,решения,,решение,,NOUN,O,
257,1,15,апелляционного,,апелляционный,,ADJ,O,
257,1,16,органа,,орган,,NOUN,O,
257,1,17,Всемирной,всемирная,всемирный,,ADJ,B-ORG,10161
257,1,18,торговой,торговая,торговый,,ADJ,I-ORG,10161
257,1,19,организации,организация,организация,,NOUN,I-ORG,10161
257,1,20,(,,(,,PUNCT,O,
257,1,21,ВТО,вто,ВТО,,PROPN,B-ORG,10161
257,1,22,),,),,PUNCT,O,
257,1,23,.,,.,,PUNCT,O,
257,2,1,Международный,международный,международный,,ADJ,B-ORG,10162
257,2,2,фонд,фонд,фонд,,NOUN,I-ORG,10162
257,2,3,защиты,защиты,защита,,NOUN,I-ORG,10162
