docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
483,0,1,Európska,európska,európsky,AAfs1x,ADJ,B-ORG,1
483,0,2,komisia,komisia,komisie,SSfs1,NOUN,I-ORG,1
483,0,3,udelila,,udeliť,VLdscf+,VERB,O,
483,0,4,trom,,tri,NNfp3,NUM,O,
483,0,5,bankám,,banka,SSfp3,NOUN,O,
483,0,6,pokutu,,pokut,SSfs4,NOUN,O,
483,0,7,485,,485,0,NUM,O,
483,0,8,miliónov,,milión,NSip2,NUM,O,
483,0,9,eur,,eur,W,PROPN,O,
483,0,10,-,,-,Z,PUNCT,O,
483,0,11,Ekonomika,,ekonomika,SSfs1:r,PROPN,O,
483,0,12,-,,-,Z,PUNCT,O,
483,0,13,TERAZ,teraz,teraz,Dx,ADV,B-ORG,194
483,0,14,.,.,.,Z,PUNCT,I-ORG,194
483,0,15,sk,sk,sk,W,PROPN,I-ORG,194
483,1,1,Brusel,brusel,brusel,SSms1:r,PROPN,B-LOC,28
483,1,2,7,,7,0,NUM,O,
483,1,3,.,,.,Z,PUNCT,O,
483,1,4,decembra,,december,SSis2,NOUN,O,
483,1,5,(,,(,ZIP,PUNCT,O,
483,1,6,TASR,tasr,tasr,%,X,B-ORG,195
483,1,7,),,),ZIP,PUNCT,O,
483,1,8,-,,-,ZIP,PUNCT,O,
483,1,9,Európska,európska,európsky,AAfs1x:r,ADJ,B-ORG,1
483,1,10,komisia,komisia,komisie,SSfs1,NOUN,I-ORG,1
483,1,11,(,,(,ZIP,PUNCT,O,
483,1,12,EK,ek,ek,W,PROPN,B-ORG,1
483,1,13,),,),Z,PUNCT,O,
483,1,14,udelila,,udeliť,VLdscf+,VERB,O,
483,1,15,bankám,,banka,SSfp3,NOUN,O,
483,1,16,Crédit,crédit,crédit,SSms2:r,PROPN,B-ORG,196
483,1,17,Agricole,agricole,agricol,SSms2:r,PROPN,I-ORG,196
483,1,18,",",,",",ZIP,PUNCT,O,
483,1,19,HSBC,hsbc,hsbc,%,X,B-ORG,197
483,1,20,a,,a,O,CCONJ,O,
483,1,21,JPMorgan,jpmorgan,jpmorgan,%,X,B-ORG,198
483,1,22,Chase,chase,chase,%,X,I-ORG,198
483,1,23,pokutu,,pokut,SSfs4,NOUN,O,
483,1,24,v,,v,Eu6,ADP,O,
483,1,25,celkovej,,celkový,AAfs6x,ADJ,O,
483,1,26,výške,,výška,SSfs6,NOUN,O,
483,1,27,485,,485,0,NUM,O,
483,1,28,miliónov,,milión,NSip2,NUM,O,
483,1,29,eur,,eur,W,PROPN,O,
483,1,30,",",,",",ZIP,PUNCT,O,
483,1,31,uviedla,,uviesť,VLdscf+,VERB,O,
483,1,32,dnes,,dnes,Dx,ADV,O,
483,1,33,komisia,,komisie,SSfs4,NOUN,O,
483,1,34,.,,.,ZIP,PUNCT,O,
483,2,1,Dôvodom,,dôvod,SSis7,NOUN,O,
483,2,2,bola,,byť,VLescf+,AUX,O,
483,2,3,manipulácia,,manipulácia,SSfs1,NOUN,O,
483,2,4,s,,s,Eu7,ADP,O,
483,2,5,referenčnou,,referenčný,AAfs7x,ADJ,O,
483,2,6,úrokovou,,úrokový,AAfs7x,ADJ,O,
483,2,7,sadzbou,,sadzba,SSfs7,NOUN,O,
483,2,8,Euro,,euro,W,X,O,
483,2,9,Interbank,,interbank,%,X,O,
483,2,10,Offered,,offered,%,X,O,
483,2,11,Rate,,rate,%,X,O,
