docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
419,0,1,Склад,,склад,Ncmsnn,NOUN,O,
419,0,2,і,,і,Ccs,CCONJ,O,
419,0,3,структура,,структура,Ncfsnn,NOUN,O,
419,0,4,Європейської,європейська,європейський,Ao-fsgf,ADJ,B-ORG,1
419,0,5,комісії,комісія,комісія,Ncfsgn,NOUN,I-ORG,1
419,0,6,Склад,,склад,Ncmsnn,NOUN,O,
419,0,7,і,,і,Ccs,CCONJ,O,
419,0,8,структура,,структура,Ncfsnn,NOUN,O,
419,0,9,Європейської,європейська,європейський,Ao-fsgf,ADJ,B-ORG,1
419,0,10,комісії,комісія,комісія,Ncfsgn,NOUN,I-ORG,1
419,0,11,.,,.,U,PUNCT,O,
419,1,1,Період,,період,Ncmsnn,NOUN,O,
419,1,2,повноважень,,повноваження,Ncnpgn,NOUN,O,
419,1,3,Комісії,комісія,комісія,Ncfsgn,NOUN,B-ORG,1
419,1,4,становить,,становити,Vmpip3s,VERB,O,
419,1,5,п’ять,,п’ять,Mlc-a,NUM,O,
419,1,6,років,,рік,Ncmpgn,NOUN,O,
419,1,7,.,,.,U,PUNCT,O,
419,2,1,Члени,,член,Ncmpny,NOUN,O,
419,2,2,Комісії,комісія,комісія,Ncfsgn,NOUN,B-ORG,1
419,2,3,обираються,,обиратися,Vmpip3p,VERB,O,
419,2,4,на,,на,Spsl,ADP,O,
419,2,5,підставі,,підстава,Ncfsln,NOUN,O,
419,2,6,їхньої,,їхній,Pps3f-sga,DET,O,
419,2,7,загальної,,загальний,Afpfsgf,ADJ,O,
419,2,8,компетенції,,компетенція,Ncfsgn,NOUN,O,
419,2,9,та,,та,Ccs,CCONJ,O,
419,2,10,відданості,,відданість,Ncfsgn,NOUN,O,
419,2,11,європейській,,європейський,Ao-fsdf,ADJ,O,
419,2,12,справі,,справа,Ncfsdn,NOUN,O,
419,2,13,з-поміж,,з-поміж,Spsg,ADP,O,
419,2,14,осіб,,особа,Ncfpgy,NOUN,O,
419,2,15,",",,",",U,PUNCT,O,
419,2,16,чия,,чий,Pp--f-sna,DET,O,
419,2,17,незалежність,,незалежність,Ncfsnn,NOUN,O,
419,2,18,є,,бути,Vapip3s,AUX,O,
419,2,19,поза,,поза,Spsi,ADP,O,
419,2,20,сумнівом,,сумнів,Ncmsin,NOUN,O,
419,2,21,.,,.,U,PUNCT,O,
419,3,1,Під,,під,Spsa,ADP,O,
419,3,2,час,,час,Ncmsan,NOUN,O,
419,3,3,виконання,,виконання,Ncnsgn,NOUN,O,
419,3,4,своїх,,свій,Pps---pga,DET,O,
419,3,5,обов’язків,,обов’язок,Ncmpgn,NOUN,O,
419,3,6,Комісія,комісія,комісія,Ncfsnn,NOUN,B-ORG,1
419,3,7,є,,бути,Vapip3s,AUX,O,
419,3,8,абсолютно,,абсолютно,R,ADV,O,
419,3,9,незалежною,,незалежний,Afpfsif,ADJ,O,
419,3,10,.,,.,U,PUNCT,O,
419,4,1,Починаючи,,починати,Vmpgp,VERB,O,
419,4,2,з,,з,Spsg,ADP,O,
419,4,3,1,,1,Mlonsg,ADJ,O,
419,4,4,листопада,,листопад,Ncmsgn,NOUN,O,
419,4,5,2014,,2014,Mlomsg,ADJ,O,
419,4,6,р,,р.,Y,NOUN,O,
419,4,7,.,,.,U,PUNCT,O,
419,4,8,",",,",",U,PUNCT,O,
419,4,9,Європейська,європейська,європейський,Ao-fsns,ADJ,B-ORG,1
419,4,10,Комісія,комісія,комісія,Ncfsnn,NOUN,I-ORG,1
419,4,11,складатиметься,,складатися,Vmpif3s,VERB,O,
419,4,12,з,,з,Spsg,ADP,O,
419,4,13,кількості,,кількість,Ncfsgn,NOUN,O,
419,4,14,членів,,член,Ncmpgy,NOUN,O,
419,4,15,(,,(,U,PUNCT,O,
419,4,16,у,,у,Spsl,ADP,O,
419,4,17,тому,,той,Pd--n-sla,DET,O,
419,4,18,числі,,число,Ncnsln,NOUN,O,
419,4,19,й,,й,Ccs,CCONJ,O,
419,4,20,Голови,,голова,Ncmsgy,NOUN,O,
419,4,21,",",,",",U,PUNCT,O,
419,4,22,Верховного,,верховний,Ao-msgf,ADJ,O,
419,4,23,представника,,представник,Ncmsgy,NOUN,O,
419,4,24,з,,з,Spsg,ADP,O,
419,4,25,питань,,питання,Ncnpgn,NOUN,O,
419,4,26,закордонних,,закордонний,Ao--pgf,ADJ,O,
419,4,27,справ,,справа,Ncfpgn,NOUN,O,
419,4,28,і,,і,Ccs,CCONJ,O,
419,4,29,політики,,політика,Ncfsgn,NOUN,O,
419,4,30,безпеки,,безпека,Ncfsgn,NOUN,O,
419,4,31,),,),U,PUNCT,O,
419,4,32,",",,",",U,PUNCT,O,
419,4,33,яка,,який,Pr--f-sna,DET,O,
419,4,34,відповідатиме,,відповідати,Vmpif3s,VERB,O,
419,4,35,/,,/,U,PUNCT,O,
419,4,36,кількості,,кількість,Ncfsgn,NOUN,O,
419,4,37,країн,,країна,Ncfpgn,NOUN,O,
419,4,38,-,,-,U,PUNCT,O,
419,4,39,членів,,член,Ncmpgy,NOUN,O,
419,4,40,ЄС,єс,ЄС,Y,PROPN,B-ORG,6
419,4,41,.,,.,U,PUNCT,O,
419,5,1,Термін,,термін,Ncmsnn,NOUN,O,
419,5,2,службових,,службовий,Ao--pgf,ADJ,O,
419,5,3,повноважень,,повноваження,Ncnpgn,NOUN,O,
419,5,4,членів,,член,Ncmpgy,NOUN,O,
419,5,5,Європейської,європейська,європейський,Ao-fsgf,ADJ,B-ORG,1
419,5,6,Комісії,комісія,комісія,Ncfsgn,NOUN,I-ORG,1
419,5,7,становить,,становити,Vmpip3s,VERB,O,
419,5,8,п'ять,,п’ять,Mlc-a,NUM,O,
419,5,9,років,,рік,Ncmpgn,NOUN,O,
419,5,10,",",,",",U,PUNCT,O,
419,5,11,після,,після,Spsg,ADP,O,
419,5,12,чого,,що,Pr--nnsgn,PRON,O,
419,5,13,перебування,,перебування,Ncnsnn,NOUN,O,
419,5,14,їх,,вони,Pp-3--pan,PRON,O,
419,5,15,на,,на,Spsl,ADP,O,
419,5,16,посаді,,посада,Ncfsln,NOUN,O,
419,5,17,може,,могти,Vmpip3s,VERB,O,
419,5,18,бути,,бути,Vapn,AUX,O,
419,5,19,продовжене,,продовжений,Ap-nsns-ep,ADJ,O,
419,5,20,на,,на,Spsa,ADP,O,
419,5,21,наступний,,наступний,Ao-msafn,ADJ,O,
419,5,22,термін,,термін,Ncmsan,NOUN,O,
419,5,23,.,,.,U,PUNCT,O,
419,6,1,Порядок,,порядок,Ncmsnn,NOUN,O,
419,6,2,обрання,,обрання,Ncnsgn,NOUN,O,
419,6,3,членів,,член,Ncmpgy,NOUN,O,
419,6,4,Європейської,європейська,європейський,Ao-fsgf,ADJ,B-ORG,1
419,6,5,Комісії,комісія,комісія,Ncfsgn,NOUN,I-ORG,1
419,6,6,визначається,,визначатися,Vmpip3s,VERB,O,
419,6,7,кожною,,кожний,Pg--f-sia,DET,O,
419,6,8,країною,,країна,Ncfsin,NOUN,O,
419,6,9,самостійно,,самостійно,Rp,ADV,O,
419,6,10,.,,.,U,PUNCT,O,
419,7,1,Обраним,,обраний,Ao-msif,ADJ,O,
419,7,2,членом,,член,Ncmsiy,NOUN,O,
419,7,3,Єврокомісії,єврокомісія,єврокомісія,Ncfsgn,NOUN,B-ORG,1
419,7,4,може,,могти,Vmpip3s,VERB,O,
419,7,5,бути,,бути,Vapn,AUX,O,
419,7,6,тільки,,тільки,Q,PART,O,
419,7,7,особа,,особа,Ncfsny,NOUN,O,
419,7,8,",",,",",U,PUNCT,O,
419,7,9,яка,,який,Pr--f-sna,DET,O,
419,7,10,є,,бути,Vapip3s,AUX,O,
419,7,11,громадянином,,громадянин,Ncmsiy,NOUN,O,
419,7,12,однієї,,один,Pi--f-sga,DET,O,
419,7,13,з,,з,Spsg,ADP,O,
419,7,14,держав,,держава,Ncfpgn,NOUN,O,
419,7,15,-,,-,U,PUNCT,O,
419,7,16,учасниць,,учасниця,Ncfpgy,NOUN,O,
419,7,17,ЄС,єс,ЄС,Y,PROPN,B-ORG,6
419,7,18,.,,.,U,PUNCT,O,
419,8,1,Крім,,крім,Spsg,ADP,O,
419,8,2,того,,те,Pd--nnsgn,PRON,O,
419,8,3,",",,",",U,PUNCT,O,
419,8,4,на,,на,Spsa,ADP,O,
419,8,5,посаду,,посада,Ncfsan,NOUN,O,
419,8,6,членів,,член,Ncmpgy,NOUN,O,
419,8,7,Єврокомісії,єврокомісія,Єврокомісія,Npfsgn,PROPN,B-ORG,1
419,8,8,",",,",",U,PUNCT,O,
419,8,9,як,,як,Css,SCONJ,O,
419,8,10,правило,,правило,Ncnsnn,NOUN,O,
419,8,11,",",,",",U,PUNCT,O,
419,8,12,обираються,,обиратися,Vmpip3p,VERB,O,
419,8,13,особи,,особа,Ncfpny,NOUN,O,
419,8,14,з,,з,Spsg,ADP,O,
419,8,15,числа,,число,Ncnsgn,NOUN,O,
419,8,16,політиків,,політик,Ncmpgy,NOUN,O,
419,8,17,високого,,високий,Afpmsgf,ADJ,O,
419,8,18,рангу,,ранг,Ncmsgn,NOUN,O,
419,8,19,",",,",",U,PUNCT,O,
419,8,20,які,,який,Pr----pna,DET,O,
419,8,21,мають,,мати,Vmpip3p,VERB,O,
419,8,22,значний,,значний,Afpmsafn,ADJ,O,
419,8,23,досвід,,досвід,Ncmsan,NOUN,O,
419,8,24,управлінської,,управлінський,Ao-fsgf,ADJ,O,
419,8,25,роботи,,робота,Ncfsgn,NOUN,O,
419,8,26,та,,та,Ccs,CCONJ,O,
419,8,27,високий,,високий,Afpmsafn,ADJ,O,
419,8,28,професійний,,професійний,Afpmsafn,ADJ,O,
419,8,29,рівень,,рівень,Ncmsan,NOUN,O,
419,8,30,.,,.,U,PUNCT,O,
419,9,1,Неофіційно,,неофіційно,R,ADV,O,
419,9,2,призначений,,призначений,Ap-msnf-ep,ADJ,O,
419,9,3,член,,член,Ncmsny,NOUN,O,
419,9,4,Комісії,комісія,комісія,Ncfsgn,NOUN,B-ORG,1
419,9,5,називається,,називатися,Vmpip3s,VERB,O,
419,9,6,«,,«,U,PUNCT,O,
419,9,7,комісаром,,комісар,Ncmsiy,NOUN,O,
419,9,8,»,,»,U,PUNCT,O,
419,9,9,.,,.,U,PUNCT,O,
419,10,1,Процедура,,процедура,Ncfsnn,NOUN,O,
419,10,2,формування,,формування,Ncnsgn,NOUN,O,
419,10,3,складу,,склад,Ncmsgn,NOUN,O,
419,10,4,Комісії,комісія,комісія,Ncfsgn,NOUN,B-ORG,1
419,10,5,:,,:,U,PUNCT,O,
