pl-622
Departamentu Stanu USA	Departament Stanu USA	ORG	ORG-Department-of-State-USA
Europa	Europa	LOC	LOC-Europe
Europy	Europa	LOC	LOC-Europe
Heather Nauert	Heather Nauert	PER	PER-Heather-Nauert
Konrad Szymański	Konrad Szymański	PER	PER-Konrad-Szymański
Merkel	Merkel	PER	PER-Angela-Merkel
Niemcami	Niemcy	LOC	GPE-Germany
Niemcy	Niemcy	LOC	GPE-Germany
Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
Nord Stream	Nord Stream	PRO	PRO-Nord-Stream-1
Polska	Polska	LOC	GPE-Poland
Polski	Polska	LOC	GPE-Poland
Rosji	Rosja	LOC	GPE-Russia
Stany Zjednoczone	Stany Zjednoczone	LOC	GPE-USA
Szymański	Szymański	PER	PER-Konrad-Szymański
TVN24	TVN24	PRO	PRO-TVN24
Ukraina	Ukraina	LOC	GPE-Ukraine
Ukrainy	Ukraina	LOC	GPE-Ukraine
