docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
cs-226,0,1,Nord,Nord,Nord,NNIS1-----A----,PROPN,B-PRO,PRO-Nord-Stream-2
cs-226,0,2,Stream,Stream,Stream,NNIS1-----A----,PROPN,I-PRO,PRO-Nord-Stream-2
cs-226,0,3,2,2,2,C=-------------,NUM,I-PRO,PRO-Nord-Stream-2
cs-226,0,4,je,,být,VB-S---3P-AA---,AUX,O,
cs-226,0,5,pro,,pro,RR--4----------,ADP,O,
cs-226,0,6,EU,EU,EU,NNFXX-----A---8,PROPN,B-ORG,ORG-European-Union
cs-226,0,7,hrozbou,,hrozba,NNFS7-----A----,NOUN,O,
cs-226,0,8,",",,",",Z:-------------,PUNCT,O,
cs-226,0,9,zvýší,,zvýšit,VB-S---3P-AA---,VERB,O,
cs-226,0,10,závislost,,závislost,NNFS4-----A----,NOUN,O,
cs-226,0,11,na,,na,RR--6----------,ADP,O,
cs-226,0,12,Rusku,Rusko,Rusko,NNNS6-----A----,PROPN,B-LOC,GPE-Russia
cs-226,0,13,",",,",",Z:-------------,PUNCT,O,
cs-226,0,14,varoval,,varovat,VpYS---XR-AA---,VERB,O,
cs-226,0,15,v,,v,RR--6----------,ADP,O,
cs-226,0,16,Bruselu,Brusel,Brusel,NNIS6-----A----,PROPN,B-LOC,GPE-Brussles
cs-226,0,17,Porošenko,Porošenko,Porošenko,NNMS1-----A----,PROPN,B-PER,PER-Petro-Poroshenko
cs-226,1,1,Tusk,Tusk,Tusk,NNIS1-----A----,PROPN,B-PER,PER-Donald-Tusk
cs-226,1,2,:,,:,Z:-------------,PUNCT,O,
cs-226,1,3,Unijní,,unijní,AAIS1----1A----,ADJ,O,
cs-226,1,4,postoj,,postoj,NNIS1-----A----,NOUN,O,
cs-226,1,5,k,,k,RR--3----------,ADP,O,
cs-226,1,6,dění,,dění,NNNS3-----A----,NOUN,O,
cs-226,1,7,na,,na,RR--6----------,ADP,O,
cs-226,1,8,východě,,východ,NNIS6-----A----,NOUN,O,
cs-226,1,9,Ukrajiny,Ukrajina,Ukrajina,NNFS2-----A----,PROPN,B-LOC,GPE-Ukraine
cs-226,1,10,se,,se,P7-X4----------,PRON,O,
cs-226,1,11,nemění,,měnit,VB-S---3P-NA---,VERB,O,
cs-226,1,12,.,,.,Z:-------------,PUNCT,O,
cs-226,2,1,Tusk,Tusk,Tusk,NNMS1-----A----,PROPN,B-PER,PER-Donald-Tusk
cs-226,2,2,k,,k,RR--3----------,ADP,O,
cs-226,2,3,již,,již,Db-------------,ADV,O,
cs-226,2,4,dvacátému,,dvacátý,CrIS3----------,ADJ,O,
cs-226,2,5,„summitu,,tsummit,NNIS3-----A----,NOUN,O,
cs-226,2,6,EU,EU,EU,NNFXX-----A---8,PROPN,B-ORG,ORG-European-Union
cs-226,2,7,–,,–,Z:-------------,PUNCT,O,
cs-226,2,8,Ukrajina“,Ukrajina,Ukrajina“,NNMS1-----A----,PROPN,B-LOC,GPE-Ukraine
cs-226,2,9,řekl,,říci,VpYS---XR-AA---,VERB,O,
