docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
pl-nord-stream-2-extra-wiki,0,1,Gazociąg,Gazociąg,gazociąg,subst:sg:nom:m3,NOUN,B-PRO,PRO-Nord-Stream-1
pl-nord-stream-2-extra-wiki,0,2,Północny,Północny,północny,adj:sg:nom:m3:pos,ADJ,I-PRO,PRO-Nord-Stream-1
pl-nord-stream-2-extra-wiki,0,3,–,,–,interp,PUNCT,O,
pl-nord-stream-2-extra-wiki,0,4,oficjalna,,oficjalny,adj:sg:nom:f:pos,ADJ,O,
pl-nord-stream-2-extra-wiki,0,5,nazwa,,nazwa,subst:sg:nom:f,NOUN,O,
pl-nord-stream-2-extra-wiki,0,6,Nord,Nord,Nord,subst:sg:gen:n,PROPN,B-ORG,ORG-Nord-Stream-AG
pl-nord-stream-2-extra-wiki,0,7,Stream,Stream,Stream,subst:sg:nom:n,PROPN,I-ORG,ORG-Nord-Stream-AG
pl-nord-stream-2-extra-wiki,0,8,–,,–,interp,PUNCT,O,
pl-nord-stream-2-extra-wiki,0,9,gazociąg,,gazociąg,subst:sg:nom:m3,NOUN,O,
pl-nord-stream-2-extra-wiki,0,10,do,,do,prep:gen,ADP,O,
pl-nord-stream-2-extra-wiki,0,11,transportu,,transport,subst:sg:gen:m3,NOUN,O,
pl-nord-stream-2-extra-wiki,0,12,gazu,,gaz,subst:sg:gen:m3,NOUN,O,
pl-nord-stream-2-extra-wiki,0,13,ziemnego,,ziemny,adj:sg:gen:m3:pos,ADJ,O,
pl-nord-stream-2-extra-wiki,0,14,z,,z,prep:gen:nwok,ADP,O,
pl-nord-stream-2-extra-wiki,0,15,Wyborgu,Wyborg,Wyborg,subst:sg:gen:m3,PROPN,B-LOC,GPE-Vyborg
pl-nord-stream-2-extra-wiki,0,16,w,,w,prep:loc:nwok,ADP,O,
pl-nord-stream-2-extra-wiki,0,17,Rosji,Rosja,Rosja,subst:sg:loc:f,PROPN,B-LOC,GPE-Russia
pl-nord-stream-2-extra-wiki,0,18,do,,do,prep:gen,ADP,O,
pl-nord-stream-2-extra-wiki,0,19,Greifswaldu,Greifswald,Greifswald,subst:sg:gen:m3,PROPN,B-LOC,GPE-Greifswald
pl-nord-stream-2-extra-wiki,0,20,w,,w,prep:loc:nwok,ADP,O,
pl-nord-stream-2-extra-wiki,0,21,Niemczech,Niemcy,Niemcy,subst:pl:loc:n:pt,PROPN,B-LOC,GPE-Germany
pl-nord-stream-2-extra-wiki,0,22,.,,.,interp,PUNCT,O,
pl-nord-stream-2-extra-wiki,1,1,Gazociąg,,gazociąg,subst:sg:nom:m3,NOUN,O,
pl-nord-stream-2-extra-wiki,1,2,poprowadzony,,poprowadzić,ppas:sg:nom:m3:perf:aff,ADJ,O,
pl-nord-stream-2-extra-wiki,1,3,jest,,być,fin:sg:ter:imperf,AUX,O,
pl-nord-stream-2-extra-wiki,1,4,po,,po,prep:loc,ADP,O,
pl-nord-stream-2-extra-wiki,1,5,dnie,,dno,subst:sg:loc:n:ncol,NOUN,O,
pl-nord-stream-2-extra-wiki,1,6,Morza,Morze,morze,subst:sg:gen:n:ncol,NOUN,B-LOC,LOC-Baltic-Sea
pl-nord-stream-2-extra-wiki,1,7,Bałtyckiego,Bałtyckie,Bałtycki,adj:sg:gen:n:pos,ADJ,I-LOC,LOC-Baltic-Sea
pl-nord-stream-2-extra-wiki,1,8,",",,",",interp,PUNCT,O,
pl-nord-stream-2-extra-wiki,1,9,omijając,,omijać,pcon:imperf,VERB,O,
pl-nord-stream-2-extra-wiki,1,10,naturalne,,naturalny,adj:pl:acc:m3:pos,ADJ,O,
pl-nord-stream-2-extra-wiki,1,11,kraje,,kraj,subst:pl:acc:m3,NOUN,O,
pl-nord-stream-2-extra-wiki,1,12,tranzytowe,,tranzytowy,adj:pl:acc:m3:pos,ADJ,O,
pl-nord-stream-2-extra-wiki,1,13,–,,–,interp,PUNCT,O,
pl-nord-stream-2-extra-wiki,1,14,Polskę,Polska,Polska,subst:sg:acc:f,PROPN,B-LOC,GPE-Poland
pl-nord-stream-2-extra-wiki,1,15,i,,i,conj,CCONJ,O,
pl-nord-stream-2-extra-wiki,1,16,republiki,,republika,subst:pl:acc:f,NOUN,O,
pl-nord-stream-2-extra-wiki,1,17,bałtyckie,,bałtycki,adj:pl:acc:f:pos,ADJ,O,
pl-nord-stream-2-extra-wiki,1,18,.,,.,interp,PUNCT,O,
pl-nord-stream-2-extra-wiki,2,1,Jego,,on,ppron3:sg:gen:m1:ter:akc:npraep,PRON,O,
pl-nord-stream-2-extra-wiki,2,2,długość,,długość,subst:sg:nom:f,NOUN,O,
pl-nord-stream-2-extra-wiki,2,3,wynosi,,wynosić,fin:sg:ter:imperf,VERB,O,
pl-nord-stream-2-extra-wiki,2,4,1222,,1222,num:pl:acc:m3:rec,NUM,O,
pl-nord-stream-2-extra-wiki,2,5,km,,kilometr,brev:npun,X,O,
pl-nord-stream-2-extra-wiki,2,6,",",,",",interp,PUNCT,O,
pl-nord-stream-2-extra-wiki,2,7,co,,co,subst:sg:nom:n:ncol,PRON,O,
pl-nord-stream-2-extra-wiki,2,8,czyni,,czynić,fin:sg:ter:imperf,VERB,O,
pl-nord-stream-2-extra-wiki,2,9,go,,on,ppron3:sg:acc:m1:ter:nakc:npraep,PRON,O,
pl-nord-stream-2-extra-wiki,2,10,najdłuższym,,długi,adj:sg:inst:m3:sup,ADJ,O,
pl-nord-stream-2-extra-wiki,2,11,gazociągiem,,gazociąg,subst:sg:inst:m3,NOUN,O,
pl-nord-stream-2-extra-wiki,2,12,morskim,,morski,adj:sg:inst:m3:pos,ADJ,O,
pl-nord-stream-2-extra-wiki,2,13,na,,na,prep:loc,ADP,O,
pl-nord-stream-2-extra-wiki,2,14,świecie,,świat,subst:sg:loc:m3,NOUN,O,
pl-nord-stream-2-extra-wiki,2,15,.,,.,interp,PUNCT,O,
pl-nord-stream-2-extra-wiki,3,1,Nazwa,,nazwa,subst:sg:nom:f,NOUN,O,
pl-nord-stream-2-extra-wiki,3,2,Gazociąg,Gazociąg,gazociąg,subst:sg:nom:m3,NOUN,B-PRO,PRO-Nord-Stream-1
pl-nord-stream-2-extra-wiki,3,3,Północny,Północny,północny,adj:sg:nom:m3:pos,ADJ,I-PRO,PRO-Nord-Stream-1
pl-nord-stream-2-extra-wiki,3,4,czasami,,czas,subst:pl:inst:m3,NOUN,O,
pl-nord-stream-2-extra-wiki,3,5,bywa,,bywać,fin:sg:ter:imperf,AUX,O,
pl-nord-stream-2-extra-wiki,3,6,stosowana,,stosować,ppas:sg:nom:f:imperf:aff,ADJ,O,
pl-nord-stream-2-extra-wiki,3,7,w,,w,prep:loc:nwok,ADP,O,
pl-nord-stream-2-extra-wiki,3,8,szerszym,,szeroki,adj:sg:loc:n:com,ADJ,O,
pl-nord-stream-2-extra-wiki,3,9,znaczeniu,,znaczenie,subst:sg:loc:n:ncol,NOUN,O,
pl-nord-stream-2-extra-wiki,3,10,wliczając,,wliczać,pcon:imperf,VERB,O,
pl-nord-stream-2-extra-wiki,3,11,naziemne,,naziemny,adj:pl:acc:m3:pos,ADJ,O,
pl-nord-stream-2-extra-wiki,3,12,odcinki,,odcinek,subst:pl:acc:m3,NOUN,O,
pl-nord-stream-2-extra-wiki,3,13,znajdujące,,znajdować,pact:pl:acc:m3:imperf:aff,ADJ,O,
pl-nord-stream-2-extra-wiki,3,14,się,,się,part,PRON,O,
pl-nord-stream-2-extra-wiki,3,15,w,,w,prep:loc:nwok,ADP,O,
pl-nord-stream-2-extra-wiki,3,16,Rosji,Rosja,Rosja,subst:sg:loc:f,PROPN,B-LOC,GPE-Russia
pl-nord-stream-2-extra-wiki,3,17,oraz,,oraz,conj,CCONJ,O,
pl-nord-stream-2-extra-wiki,3,18,dalsze,,daleki,adj:pl:acc:n:com,ADJ,O,
pl-nord-stream-2-extra-wiki,3,19,połączenia,,połączyć,subst:pl:acc:n:ncol,NOUN,O,
pl-nord-stream-2-extra-wiki,3,20,z,,z,prep:gen:nwok,ADP,O,
pl-nord-stream-2-extra-wiki,3,21,Niemiec,Niemcy,Niemcy,subst:pl:gen:n:pt,PROPN,B-LOC,GPE-Germany
pl-nord-stream-2-extra-wiki,3,22,do,,do,prep:gen,ADP,O,
pl-nord-stream-2-extra-wiki,3,23,państw,,państwo,subst:pl:gen:n:ncol,NOUN,O,
pl-nord-stream-2-extra-wiki,3,24,Europy,Europa,Europa,subst:sg:gen:f,PROPN,B-LOC,LOC-Western-Europe
pl-nord-stream-2-extra-wiki,3,25,Zachodniej,Zachodnia,Zachodni,adj:sg:gen:f:pos,ADJ,I-LOC,LOC-Western-Europe
pl-nord-stream-2-extra-wiki,3,26,.,,.,interp,PUNCT,O,
pl-nord-stream-2-extra-wiki,4,1,Pierwsza,,pierwszy,adj:sg:nom:f:pos,ADJ,O,
pl-nord-stream-2-extra-wiki,4,2,nitka,,nitka,subst:sg:nom:f,NOUN,O,
pl-nord-stream-2-extra-wiki,4,3,gazociągu,,gazociąg,subst:sg:gen:m3,NOUN,O,
pl-nord-stream-2-extra-wiki,4,4,została,,zostać,praet:sg:f:perf,AUX,O,
pl-nord-stream-2-extra-wiki,4,5,oddana,,oddać,ppas:sg:nom:f:perf:aff,ADJ,O,
pl-nord-stream-2-extra-wiki,4,6,do,,do,prep:gen,ADP,O,
pl-nord-stream-2-extra-wiki,4,7,użytku,,użytek,subst:sg:gen:m3,NOUN,O,
pl-nord-stream-2-extra-wiki,4,8,8,,8,adj:sg:gen:m3:pos,ADJ,O,
pl-nord-stream-2-extra-wiki,4,9,listopada,,listopad,subst:sg:gen:m3,NOUN,O,
pl-nord-stream-2-extra-wiki,4,10,2011,,2011,adj:sg:gen:m3:pos,ADJ,O,
pl-nord-stream-2-extra-wiki,4,11,roku,,rok,subst:sg:gen:m3,NOUN,O,
pl-nord-stream-2-extra-wiki,4,12,.,,.,interp,PUNCT,O,
pl-nord-stream-2-extra-wiki,5,1,Druga,,drugi,adj:sg:nom:f:pos,ADJ,O,
pl-nord-stream-2-extra-wiki,5,2,została,,zostać,praet:sg:f:perf,AUX,O,
pl-nord-stream-2-extra-wiki,5,3,oddana,,oddać,ppas:sg:nom:f:perf:aff,ADJ,O,
pl-nord-stream-2-extra-wiki,5,4,8,,8,adj:sg:gen:m3:pos,ADJ,O,
pl-nord-stream-2-extra-wiki,5,5,października,,październik,subst:sg:gen:m3,NOUN,O,
pl-nord-stream-2-extra-wiki,5,6,2012,,2012,adj:sg:gen:m3:pos,ADJ,O,
pl-nord-stream-2-extra-wiki,5,7,roku,,rok,subst:sg:gen:m3,NOUN,O,
pl-nord-stream-2-extra-wiki,5,8,.,,.,interp,PUNCT,O,
pl-nord-stream-2-extra-wiki,6,1,29,,29,adj:sg:gen:m3:pos,ADJ,O,
pl-nord-stream-2-extra-wiki,6,2,sierpnia,,sierpień,subst:sg:gen:m3,NOUN,O,
pl-nord-stream-2-extra-wiki,6,3,2006,,2006,adj:sg:gen:m3:pos,ADJ,O,
pl-nord-stream-2-extra-wiki,6,4,r,,rok,brev:pun,X,O,
pl-nord-stream-2-extra-wiki,6,5,.,,.,interp,PUNCT,O,
pl-nord-stream-2-extra-wiki,6,6,rosyjska,,rosyjski,adj:sg:nom:f:pos,ADJ,O,
pl-nord-stream-2-extra-wiki,6,7,firma,,firma,subst:sg:nom:f,NOUN,O,
pl-nord-stream-2-extra-wiki,6,8,Gazprom,Gazprom,Gazprom,subst:sg:nom:m3,PROPN,B-ORG,ORG-Gazprom
pl-nord-stream-2-extra-wiki,6,9,oraz,,oraz,conj,CCONJ,O,
pl-nord-stream-2-extra-wiki,6,10,niemieckie,,niemiecki,adj:pl:nom:f:pos,ADJ,O,
pl-nord-stream-2-extra-wiki,6,11,firmy,,firma,subst:pl:nom:f,NOUN,O,
pl-nord-stream-2-extra-wiki,6,12,E,E,E,brev:pun,X,B-ORG,ORG-E.ON-Ruhrgas
pl-nord-stream-2-extra-wiki,6,13,.,.,.,interp,PUNCT,I-ORG,ORG-E.ON-Ruhrgas
pl-nord-stream-2-extra-wiki,6,14,ON,ON,on,ppron3:sg:nom:m1:ter:akc:npraep,PRON,I-ORG,ORG-E.ON-Ruhrgas
