docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
ru-21,0,1,В,,в,,ADP,O,
ru-21,0,2,Германии,Германия,Германия,,PROPN,B-LOC,GPE-Germany
ru-21,0,3,снова,,снова,,ADV,O,
ru-21,0,4,заявили,,заявить,,VERB,O,
ru-21,0,5,",",,",",,PUNCT,O,
ru-21,0,6,что,,что,,SCONJ,O,
ru-21,0,7,не,,не,,PART,O,
ru-21,0,8,собираются,,собираться,,VERB,O,
ru-21,0,9,отказываться,,отказываться,,VERB,O,
ru-21,0,10,от,,от,,ADP,O,
ru-21,0,11,строительства,,строительство,,NOUN,O,
ru-21,0,12,"""",,"""",,PUNCT,O,
ru-21,0,13,Северного,Северный,Северный,,PROPN,B-PRO,PRO-Nord-Stream-2
ru-21,0,14,потока,поток,поток,,NOUN,I-PRO,PRO-Nord-Stream-2
ru-21,0,15,-,-,-,,PUNCT,I-PRO,PRO-Nord-Stream-2
ru-21,0,16,2,2,2,,NUM,I-PRO,PRO-Nord-Stream-2
ru-21,0,17,"""",,"""",,PUNCT,O,
ru-21,1,1,Как,,как,,SCONJ,O,
ru-21,1,2,информирует,,информировать,,VERB,O,
ru-21,1,3,со,,с,,ADP,O,
ru-21,1,4,ссылкой,,ссылка,,NOUN,O,
ru-21,1,5,на,,на,,ADP,O,
ru-21,1,6,ZN.UA,,ZN.UA,,PROPN,O,
ru-21,1,7,",",,",",,PUNCT,O,
ru-21,1,8,об,,о,,ADP,O,
ru-21,1,9,этом,,это,,PRON,O,
ru-21,1,10,в,,в,,ADP,O,
ru-21,1,11,понедельник,,понедельник,,NOUN,O,
ru-21,1,12,",",,",",,PUNCT,O,
ru-21,1,13,24,,24,,NUM,O,
ru-21,1,14,сентября,,сентябрь,,NOUN,O,
ru-21,1,15,",",,",",,PUNCT,O,
ru-21,1,16,сообщает,,сообщать,,VERB,O,
ru-21,1,17,газета,,газета,,NOUN,O,
ru-21,1,18,Süddeutsche,Süddeutsche,Süddeutsche,,PROPN,B-PRO,PRO-SUddeutsche-Zeitung
ru-21,1,19,Zeitung,Zeitung,Zeitung,,PROPN,I-PRO,PRO-SUddeutsche-Zeitung
ru-21,1,20,",",,",",,PUNCT,O,
ru-21,1,21,цитирующая,,цитировать,,VERB,O,
ru-21,1,22,главу,,глава,,NOUN,O,
ru-21,1,23,Федерального,Федеральное,федеральный,,ADJ,B-ORG,ORG-BDI-Bundesverband-der-Deutschen-Industrie
ru-21,1,24,объединения,объединение,объединение,,NOUN,I-ORG,ORG-BDI-Bundesverband-der-Deutschen-Industrie
ru-21,1,25,немецкой,немецкой,немецкий,,ADJ,I-ORG,ORG-BDI-Bundesverband-der-Deutschen-Industrie
ru-21,1,26,промышленности,промышленности,промышленность,,NOUN,I-ORG,ORG-BDI-Bundesverband-der-Deutschen-Industrie
ru-21,1,27,BDI,BDI,BDI,,PROPN,B-ORG,ORG-BDI-Bundesverband-der-Deutschen-Industrie
ru-21,1,28,Дитера,Дитер,Дитер,,PROPN,B-PER,PER-Dieter-Kempf
ru-21,1,29,Кемпфа,Кемпф,Кемпфа,,PROPN,I-PER,PER-Dieter-Kempf
ru-21,1,30,.,,.,,PUNCT,O,
ru-21,2,1,По,,по,,ADP,O,
ru-21,2,2,его,,его,,DET,O,
ru-21,2,3,словам,,слово,,NOUN,O,
ru-21,2,4,",",,",",,PUNCT,O,
ru-21,2,5,"""",,"""",,PUNCT,O,
ru-21,2,6,из-за,,из-за,,ADP,O,
ru-21,2,7,вопроса,,вопрос,,NOUN,O,
ru-21,2,8,надежности,,надежность,,NOUN,O,
ru-21,2,9,поставок,,поставка,,NOUN,O,
ru-21,2,10,газа,,газ,,NOUN,O,
ru-21,2,11,экономика,,экономика,,NOUN,O,
ru-21,2,12,выступает,,выступать,,VERB,O,
ru-21,2,13,за,,за,,ADP,O,
ru-21,2,14,второй,,второй,,ADJ,O,
ru-21,2,15,канал,,канал,,NOUN,O,
ru-21,2,16,"""",,"""",,PUNCT,O,
ru-21,2,17,.,,.,,PUNCT,O,
ru-21,3,1,Глава,,глава,,NOUN,O,
ru-21,3,2,BDI,BDI,BDI,,PROPN,B-ORG,ORG-BDI-Bundesverband-der-Deutschen-Industrie
ru-21,3,3,раскритиковал,,раскритиковать,,VERB,O,
ru-21,3,4,"""",,"""",,PUNCT,O,
ru-21,3,5,вмешательство,,вмешательство,,NOUN,O,
ru-21,3,6,третьих,,третий,,ADJ,O,
ru-21,3,7,стран,,страна,,NOUN,O,
ru-21,3,8,в,,в,,ADP,O,
ru-21,3,9,энергоснабжение,,энергоснабжение,,NOUN,O,
ru-21,3,10,"""",,"""",,PUNCT,O,
ru-21,3,11,Германии,Германия,Германия,,PROPN,B-LOC,GPE-Germany
ru-21,3,12,.,,.,,PUNCT,O,
ru-21,4,1,Именно,,именно,,PART,O,
ru-21,4,2,государство,,государство,,NOUN,O,
ru-21,4,3,"""",,"""",,PUNCT,O,
ru-21,4,4,решает,,решать,,VERB,O,
ru-21,4,5,необходимость,,необходимость,,NOUN,O,
ru-21,4,6,наличия,,наличие,,NOUN,O,
ru-21,4,7,второго,,второй,,ADJ,O,
ru-21,4,8,источника,,источник,,NOUN,O,
ru-21,4,9,"""",,"""",,PUNCT,O,
ru-21,4,10,",",,",",,PUNCT,O,
ru-21,4,11,отметил,,отметить,,VERB,O,
ru-21,4,12,Кемпф,Кемпф,Кемпф,,PROPN,B-PER,PER-Dieter-Kempf
ru-21,4,13,.,,.,,PUNCT,O,
ru-21,5,1,По,,по,,ADP,O,
ru-21,5,2,его,,его,,DET,O,
ru-21,5,3,мнению,,мнение,,NOUN,O,
ru-21,5,4,",",,",",,PUNCT,O,
ru-21,5,5,низкая,,низкий,,ADJ,O,
ru-21,5,6,цена,,цена,,NOUN,O,
ru-21,5,7,предлагаемого,,предлагать,,VERB,O,
ru-21,5,8,США,США,США,,PROPN,B-LOC,GPE-USA
ru-21,5,9,сжиженного,,сжизить,,VERB,O,
ru-21,5,10,газа,,газ,,NOUN,O,
ru-21,5,11,"""",,"""",,PUNCT,O,
ru-21,5,12,ничего,,ничто,,PRON,O,
ru-21,5,13,не,,не,,PART,O,
ru-21,5,14,значит,,значить,,VERB,O,
ru-21,5,15,"""",,"""",,PUNCT,O,
ru-21,5,16,",",,",",,PUNCT,O,
ru-21,5,17,поскольку,,поскольку,,SCONJ,O,
ru-21,5,18,его,,он,,PRON,O,
ru-21,5,19,еще,,еще,,ADV,O,
ru-21,5,20,необходимо,,необходимый,,ADJ,O,
ru-21,5,21,доставить,,доставить,,VERB,O,
ru-21,5,22,через,,через,,ADP,O,
ru-21,5,23,Атлантику,Атлантика,Атлантика,,PROPN,B-LOC,LOC-Atlantic-Ocean
ru-21,5,24,.,,.,,PUNCT,O,
ru-21,6,1,На,,на,,ADP,O,
ru-21,6,2,данный,,данный,,ADJ,O,
ru-21,6,3,момент,,момент,,NOUN,O,
ru-21,6,4,постройка,,постройка,,NOUN,O,
ru-21,6,5,"""",,"""",,PUNCT,O,
ru-21,6,6,Северного,Северный,Северный,,PROPN,B-PRO,PRO-Nord-Stream-2
ru-21,6,7,потока,поток,поток,,NOUN,I-PRO,PRO-Nord-Stream-2
ru-21,6,8,-,-,-,,PUNCT,I-PRO,PRO-Nord-Stream-2
ru-21,6,9,2,2,2,,NUM,I-PRO,PRO-Nord-Stream-2
ru-21,6,10,"""",,"""",,PUNCT,O,
ru-21,6,11,осуществляется,,осуществлять,,VERB,O,
ru-21,6,12,международным,,международный,,ADJ,O,
ru-21,6,13,консорциумом,,консорциум,,NOUN,O,
ru-21,6,14,",",,",",,PUNCT,O,
ru-21,6,15,в,,в,,ADP,O,
ru-21,6,16,котором,,который,,PRON,O,
ru-21,6,17,50,,50,,NUM,O,
ru-21,6,18,процентов,,процент,,NOUN,O,
ru-21,6,19,принадлежат,,принадлежать,,VERB,O,
ru-21,6,20,российскому,,российский,,ADJ,O,
ru-21,6,21,Газпрому,Газпром,Газпром,,PROPN,B-ORG,ORG-Gazprom
ru-21,6,22,.,,.,,PUNCT,O,
ru-21,7,1,Среди,,среди,,ADP,O,
ru-21,7,2,участников,,участник,,NOUN,O,
ru-21,7,3,консорциума,,консорциум,,NOUN,O,
ru-21,7,4,-,,-,,PUNCT,O,
ru-21,7,5,дочка,,дочка,,NOUN,O,
ru-21,7,6,BASF,BASF,BASF,,PROPN,B-ORG,ORG-Wintershall
ru-21,7,7,Wintershall,Wintershall,Wintershall,,PROPN,I-ORG,ORG-Wintershall
ru-21,7,8,",",,",",,PUNCT,O,
ru-21,7,9,Uniper,Uniper,Uniper,,PROPN,B-ORG,ORG-Uniper
ru-21,7,10,и,,и,,CCONJ,O,
ru-21,7,11,Shell,Shell,Shell,,PROPN,B-ORG,ORG-Royal-Dutch-Shell-BG-Group
ru-21,7,12,.,,.,,PUNCT,O,
ru-21,8,1,Читайте,,читать,,VERB,O,
ru-21,8,2,на,,на,,ADP,O,
ru-21,8,3,"""",,"""",,PUNCT,O,
ru-21,8,4,Цензор.НЕТ,,Цензор.НЕТ,,PROPN,O,
ru-21,8,5,"""",,"""",,PUNCT,O,
ru-21,8,6,:,,:,,PUNCT,O,
ru-21,8,7,Россия,Россия,Россия,,PROPN,B-LOC,GPE-Russia
ru-21,8,8,обещает,,обещать,,VERB,O,
ru-21,8,9,Германии,Германия,Германия,,PROPN,B-LOC,GPE-Germany
ru-21,8,10,взять,,брать,,VERB,O,
ru-21,8,11,на,,на,,ADP,O,
ru-21,8,12,себя,,себя,,PRON,O,
ru-21,8,13,все,,весь,,DET,O,
ru-21,8,14,финансирование,,финансирование,,NOUN,O,
ru-21,8,15,"""",,"""",,PUNCT,O,
ru-21,8,16,Северного,Северный,Северный,,PROPN,B-PRO,PRO-Nord-Stream-2
ru-21,8,17,потока,поток,поток,,NOUN,I-PRO,PRO-Nord-Stream-2
ru-21,8,18,-,-,-,,PUNCT,I-PRO,PRO-Nord-Stream-2
ru-21,8,19,2,2,2,,NUM,I-PRO,PRO-Nord-Stream-2
ru-21,8,20,"""",,"""",,PUNCT,O,
ru-21,9,1,Ранее,,ранее,,ADV,O,
ru-21,9,2,сообщалось,,сообщать,,VERB,O,
ru-21,9,3,",",,",",,PUNCT,O,
ru-21,9,4,что,,что,,SCONJ,O,
ru-21,9,5,в,,в,,ADP,O,
ru-21,9,6,конце,,конец,,NOUN,O,
ru-21,9,7,июля,,июль,,NOUN,O,
ru-21,9,8,начались,,начаться,,VERB,O,
ru-21,9,9,работы,,работа,,NOUN,O,
ru-21,9,10,по,,по,,ADP,O,
