docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
sl-47,0,1,Moskva,Moskva,Moskva,Npfsn,PROPN,B-LOC,GPE-Moscow
sl-47,0,2,in,,in,Cc,CCONJ,O,
sl-47,0,3,Kijev,Kijev,Kijev,Npmsn,PROPN,B-LOC,GPE-Kiev
sl-47,0,4,dosegla,,doseči,Vmep-sf,VERB,O,
sl-47,0,5,plinski,,plinski,Agpmsay,ADJ,O,
sl-47,0,6,preboj,,preboj,Ncmsan,NOUN,O,
sl-47,0,7,",",,",",Z,PUNCT,O,
sl-47,0,8,oskrba,,oskrba,Ncfsn,NOUN,O,
sl-47,0,9,EU,EU,EU,Npfsg,PROPN,B-ORG,ORG-European-Union
sl-47,0,10,ni,,biti,Va-r3s-y,AUX,O,
sl-47,0,11,ogrožena,,ogrožen,Appfsn,ADJ,O,
sl-47,1,1,Iz,,iz,Sg,ADP,O,
sl-47,1,2,nemške,,nemški,Agpfsg,ADJ,O,
sl-47,1,3,prestolnice,,prestolnica,Ncfsg,NOUN,O,
sl-47,1,4,je,,biti,Va-r3s-n,AUX,O,
sl-47,1,5,v,,v,Sl,ADP,O,
sl-47,1,6,noči,,noč,Ncfsl,NOUN,O,
sl-47,1,7,na,,na,Sa,ADP,O,
sl-47,1,8,petek,,petek,Ncmsan,NOUN,O,
sl-47,1,9,za,,za,Sa,ADP,O,
sl-47,1,10,Evropsko,Evropska,evropski,Agpfsa,ADJ,B-ORG,ORG-European-Union
sl-47,1,11,unijo,unija,unija,Ncfsa,NOUN,I-ORG,ORG-European-Union
sl-47,1,12,prišla,,priti,Vmep-sf,VERB,O,
sl-47,1,13,dobra,,dober,Agpfsn,ADJ,O,
sl-47,1,14,novica,,novica,Ncfsn,NOUN,O,
sl-47,1,15,.,,.,Z,PUNCT,O,
sl-47,2,1,Čeprav,,čeprav,Cs,SCONJ,O,
sl-47,2,2,je,,biti,Va-r3s-n,AUX,O,
sl-47,2,3,EU,EU,EU,Npfsn,PROPN,B-ORG,ORG-European-Union
sl-47,2,4,od,,od,Sg,ADP,O,
sl-47,2,5,zadnje,,zadnji,Agpfsg,ADJ,O,
sl-47,2,6,plinske,,plinski,Agpfsg,ADJ,O,
sl-47,2,7,krize,,kriza,Ncfsg,NOUN,O,
sl-47,2,8,pred,,pred,Si,ADP,O,
sl-47,2,9,desetimi,,deset,Mlc-pi,NUM,O,
sl-47,2,10,leti,,leto,Ncnpi,NOUN,O,
sl-47,2,11,diverzificirala,,diverzificirati,Vmbp-sf,VERB,O,
sl-47,2,12,svoje,,svoj,Px-mpa,DET,O,
sl-47,2,13,dobavne,,dobaven,Agpmpa,ADJ,O,
sl-47,2,14,vire,,vir,Ncmpa,NOUN,O,
sl-47,2,15,zemeljskega,,zemeljski,Agpmsg,ADJ,O,
sl-47,2,16,plina,,plin,Ncmsg,NOUN,O,
sl-47,2,17,in,,in,Cc,CCONJ,O,
sl-47,2,18,izboljšala,,izboljšati,Vmep-sf,VERB,O,
sl-47,2,19,plinovodsko,,plinovodski,Agpfsa,ADJ,O,
sl-47,2,20,povezanost,,povezanost,Ncfsa,NOUN,O,
sl-47,2,21,med,,med,Si,ADP,O,
sl-47,2,22,državami,,država,Ncfpi,NOUN,O,
sl-47,2,23,članicami,,članica,Ncfpi,NOUN,O,
sl-47,2,24,",",,",",Z,PUNCT,O,
sl-47,2,25,je,,biti,Va-r3s-n,AUX,O,
sl-47,2,26,načelni,,načelen,Agpmsny,ADJ,O,
sl-47,2,27,dogovor,,dogovor,Ncmsn,NOUN,O,
sl-47,2,28,o,,o,Sl,ADP,O,
sl-47,2,29,nadaljevanju,,nadaljevanje,Ncnsl,NOUN,O,
sl-47,2,30,tranzita,,tranzit,Ncmsg,NOUN,O,
sl-47,2,31,ruskega,,ruski,Agpmsg,ADJ,O,
sl-47,2,32,plina,,plin,Ncmsg,NOUN,O,
sl-47,2,33,čez,,čez,Sa,ADP,O,
