docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
uk-37,0,1,19,,19,Mlc-n,NUM,O,
uk-37,0,2,:,,:,U,PUNCT,O,
uk-37,0,3,46,,46,Mlc-n,NUM,O,
uk-37,0,4,Суд,,суд,Ncmsnn,NOUN,O,
uk-37,0,5,у,,у,Spsl,ADP,O,
uk-37,0,6,Швейцарії,Швейцарія,Швейцарія,Npfsln,PROPN,B-LOC,GPE-Switzerland
uk-37,0,7,відновив,,відновити,Vmeis-sm,VERB,O,
uk-37,0,8,арешт,,арешт,Ncmsan,NOUN,O,
uk-37,0,9,активів,,актив,Ncmpgn,NOUN,O,
uk-37,0,10,"""",,"""",U,PUNCT,O,
uk-37,0,11,Газпрому,Газпром,Газпром,Npmsgn,PROPN,B-ORG,ORG-Gazprom
uk-37,0,12,"""",,"""",U,PUNCT,O,
uk-37,1,1,Вищий,Вищий,вищий,Afcmsnf,ADJ,B-ORG,ORG-Supreme-Court-Canton-Zug
uk-37,1,2,суд,суд,суд,Ncmsnn,NOUN,I-ORG,ORG-Supreme-Court-Canton-Zug
uk-37,1,3,швейцарського,швейцарського,швейцарський,Ao-msgf,ADJ,I-ORG,ORG-Supreme-Court-Canton-Zug
uk-37,1,4,кантону,кантону,кантон,Ncmsgn,NOUN,I-ORG,ORG-Supreme-Court-Canton-Zug
uk-37,1,5,Цуг,Цуг,Цуг,Npmsnn,PROPN,I-ORG,ORG-Supreme-Court-Canton-Zug
uk-37,1,6,прийняв,,прийняти,Vmeis-sm,VERB,O,
uk-37,1,7,рішення,,рішення,Ncnsan,NOUN,O,
uk-37,1,8,відновити,,відновити,Vmen,VERB,O,
uk-37,1,9,арешт,,арешт,Ncmsan,NOUN,O,
uk-37,1,10,акцій,,акція,Ncfpgn,NOUN,O,
uk-37,1,11,компаній,,компанія,Ncfpgn,NOUN,O,
uk-37,1,12,Nord,Nord,Nord,X,X,B-ORG,ORG-Nord-Stream-AG
uk-37,1,13,Stream,Stream,Stream,X,X,I-ORG,ORG-Nord-Stream-AG
uk-37,1,14,і,,і,Ccs,CCONJ,O,
uk-37,1,15,Nord,Nord,Nord,X,X,B-ORG,ORG-Nord-Stream-2-AG
uk-37,1,16,Stream,Stream,Stream,X,X,I-ORG,ORG-Nord-Stream-2-AG
uk-37,1,17,2,2,2,Mlc-sn,NUM,I-ORG,ORG-Nord-Stream-2-AG
uk-37,1,18,",",,",",U,PUNCT,O,
uk-37,1,19,які,,який,Pr----pna,DET,O,
uk-37,1,20,належать,,належати,Vmpip3p,VERB,O,
uk-37,1,21,російському,,російський,Ao-msdf,ADJ,O,
uk-37,1,22,газовому,,газовий,Ao-msdf,ADJ,O,
uk-37,1,23,монополістові,,монополіст,Ncmsdn,NOUN,O,
uk-37,1,24,"""",,"""",U,PUNCT,O,
uk-37,1,25,Газпром,Газпром,Газпром,Npmsnn,PROPN,B-ORG,ORG-Gazprom
uk-37,1,26,"""",,"""",U,PUNCT,O,
uk-37,1,27,",",,",",U,PUNCT,O,
uk-37,1,28,У,,у,Spsl,ADP,O,
uk-37,1,29,суді,,суд,Ncmsln,NOUN,O,
uk-37,1,30,заявили,,заявити,Vmeis-p,VERB,O,
uk-37,1,31,",",,",",U,PUNCT,O,
uk-37,1,32,що,,що,Css,SCONJ,O,
uk-37,1,33,акції,,акція,Ncfpnn,NOUN,O,
uk-37,1,34,залишаться,,залишитися,Vmpif3p,VERB,O,
uk-37,1,35,під,,під,Spsi,ADP,O,
uk-37,1,36,арештом,,арешт,Ncmsin,NOUN,O,
uk-37,1,37,до,,до,Spsg,ADP,O,
uk-37,1,38,тих,,той,Pd----pga,DET,O,
uk-37,1,39,пір,,пір,Ncfpgn,NOUN,O,
uk-37,1,40,",",,",",U,PUNCT,O,
uk-37,1,41,поки,,поки,Pr------r,ADV,O,
uk-37,1,42,буде,,бути,Vapif3s,AUX,O,
uk-37,1,43,розглядатися,,розглядатися,Vmpn,VERB,O,
uk-37,1,44,апеляція,,апеляція,Ncfsnn,NOUN,O,
uk-37,1,45,"""",,"""",U,PUNCT,O,
uk-37,1,46,Нафтогазу,Нафтогаз,Нафтогаз,Npmsgn,PROPN,B-ORG,ORG-Naftogaz
uk-37,1,47,"""",,"""",U,PUNCT,O,
uk-37,1,48,на,,на,Spsa,ADP,O,
uk-37,1,49,рішення,,рішення,Ncnsan,NOUN,O,
uk-37,1,50,про,,про,Spsa,ADP,O,
uk-37,1,51,зняття,,зняття,Ncnsan,NOUN,O,
uk-37,1,52,арешту,,арешт,Ncmsgn,NOUN,O,
uk-37,1,53,з,,з,Spsg,ADP,O,
uk-37,1,54,цих,,цей,Pd----pga,DET,O,
uk-37,1,55,акцій,,акція,Ncfpgn,NOUN,O,
uk-37,1,56,",",,",",U,PUNCT,O,
uk-37,1,57,яке,,який,Pr--n-saa,DET,O,
uk-37,1,58,раніше,,раніше,Rc,ADV,O,
uk-37,1,59,було,,бути,Vapis-sn,AUX,O,
uk-37,1,60,прийнято,,прийняти,Vmeo,VERB,O,
uk-37,1,61,місцевим,,місцевий,Ao-msif,ADJ,O,
uk-37,1,62,органом,,орган,Ncmsin,NOUN,O,
uk-37,1,63,по,,по,Spsl,ADP,O,
uk-37,1,64,стягненню,,стягнення,Ncnsln,NOUN,O,
uk-37,1,65,боргів,,борг,Ncmpgn,NOUN,O,
uk-37,1,66,.,,.,U,PUNCT,O,
uk-37,2,1,Раніше,,раніше,Rc,ADV,O,
uk-37,2,2,акції,,акція,Ncfpnn,NOUN,O,
uk-37,2,3,були,,бути,Vapis-p,AUX,O,
uk-37,2,4,звільнені,,звільнений,Ap--pns-ep,ADJ,O,
uk-37,2,5,з-під,,з-під,Spcg,ADP,O,
uk-37,2,6,арешту,,арешт,Ncmsgn,NOUN,O,
uk-37,2,7,на,,на,Spsl,ADP,O,
uk-37,2,8,підставі,,підстава,Ncfsln,NOUN,O,
uk-37,2,9,заяви,,заява,Ncfsgn,NOUN,O,
uk-37,2,10,компаній,,компанія,Ncfpgn,NOUN,O,
uk-37,2,11,",",,",",U,PUNCT,O,
uk-37,2,12,що,,що,Css,SCONJ,O,
uk-37,2,13,вони,,вони,Pp-3--pnn,PRON,O,
uk-37,2,14,перебувають,,перебувати,Vmpip3p,VERB,O,
uk-37,2,15,за,,за,Spsi,ADP,O,
uk-37,2,16,межами,,межа,Ncfpin,NOUN,O,
uk-37,2,17,кантону,,кантон,Ncmsgn,NOUN,O,
