sl-92
737-800 max	737-800 max	PRO	PRO-Boeing-737-800
Air China	Air China	ORG	ORG-Air-China
Baidu	Baidu	ORG	ORG-Baidu
Bela hiša	Bela hiša	ORG	ORG-White-House
Boeinga	Boeing	ORG	ORG-Boeing
Boeingovih	Boeing	ORG	ORG-Boeing
China Southern Airlines	China Southern Airlines	ORG	ORG-China-Southern-Airlines
Daimlerja	Daimler	ORG	ORG-Daimler
Hikvision	Hikvision	ORG	ORG-Hikvision
Huaweija	Huawei	ORG	ORG-Huawei
IFO	IFO	ORG	ORG-IFO-Institute-for-Economic-Research
OECD	OECD	ORG	ORG-OECD-Organisation-for-Economic-Co-operation-and-Development
Ryanair	Ryanair	ORG	ORG-Ryanair
Trumpovo	Trump	PER	PER-Donald-Trump
ZDA	ZDA	LOC	GPE-USA
