docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
sl-34,0,1,Kam,,kam,Rgp,ADV,O,
sl-34,0,2,naj,,naj,Q,PART,O,
sl-34,0,3,gre,,iti,Vmbr3s,VERB,O,
sl-34,0,4,558,,558,Mdc,NUM,O,
sl-34,0,5,brezposelnih,,brezposeln,Agpmpg,ADJ,O,
sl-34,0,6,delavcev,,delavec,Ncmpg,NOUN,O,
sl-34,0,7,?,,?,Z,PUNCT,O,
sl-34,1,1,Zavod,,zavod,Ncmsn,NOUN,O,
sl-34,1,2,ponuja,,ponujati,Vmpr3s,VERB,O,
sl-34,1,3,...,,...,Y,X,O,
sl-34,2,1,NASVET,,nasvet,Ncmsn,NOUN,O,
sl-34,3,1,Zavod,zavod,zavod,Ncmsn,NOUN,B-ORG,ORG-Employment-Service-of-Slovenia
sl-34,3,2,za,za,za,Sa,ADP,I-ORG,ORG-Employment-Service-of-Slovenia
sl-34,3,3,zaposlovanje,zaposlovanje,zaposlovanje,Ncnsa,NOUN,I-ORG,ORG-Employment-Service-of-Slovenia
sl-34,3,4,na,,na,Sa,ADP,O,
sl-34,3,5,pomoč,,pomoč,Ncfsa,NOUN,O,
sl-34,3,6,zaposlenim,,zaposlen,Appmpd,ADJ,O,
sl-34,3,7,v,,v,Sl,ADP,O,
sl-34,3,8,Adrii,Adria,Adria,Npfsl,PROPN,B-ORG,ORG-Adria-Airways
sl-34,3,9,Airways,Airways,Airways,Npmsn,PROPN,I-ORG,ORG-Adria-Airways
sl-34,3,10,.,,.,Z,PUNCT,O,
sl-34,4,1,LJUBLJANA,Ljubljana,Ljubljana,Npfsn,PROPN,B-LOC,GPE-Ljubljana
sl-34,4,2,–,,–,Z,PUNCT,O,
sl-34,4,3,Začetek,,začetek,Ncmsn,NOUN,O,
sl-34,4,4,stečaja,,stečaj,Ncmsg,NOUN,O,
sl-34,4,5,letalskega,,letalski,Agpmsg,ADJ,O,
sl-34,4,6,prevoznika,,prevoznik,Ncmsg,NOUN,O,
sl-34,4,7,Adrie,Adria,Adria,Npfsg,PROPN,B-ORG,ORG-Adria-Airways
sl-34,4,8,Airways,Airwys,Airways,Npmsn,PROPN,I-ORG,ORG-Adria-Airways
sl-34,4,9,je,,biti,Va-r3s-n,AUX,O,
sl-34,4,10,najbolj,,najbolj,Rgs,ADV,O,
sl-34,4,11,boleč,,boleč,Appmsnn,ADJ,O,
sl-34,4,12,za,,za,Sa,ADP,O,
sl-34,4,13,558,,558,Mdc,NUM,O,
sl-34,4,14,zaposlenih,,zaposlen,Appmpg,ADJ,O,
sl-34,4,15,.,,.,Z,PUNCT,O,
sl-34,5,1,Da,,da,Cs,SCONJ,O,
sl-34,5,2,bi,,biti,Va-c,AUX,O,
sl-34,5,3,bili,,biti,Va-p-pm,AUX,O,
sl-34,5,4,ustrezno,,ustrezno,Rgp,ADV,O,
sl-34,5,5,informirani,,informiran,Appmpn,ADJ,O,
sl-34,5,6,in,,in,Cc,CCONJ,O,
sl-34,5,7,bi,,biti,Va-c,AUX,O,
sl-34,5,8,čim,,čim,Rgp,ADV,O,
sl-34,5,9,lažje,,lahko,Rgc,ADV,O,
sl-34,5,10,prešli,,preiti,Vmep-pm,VERB,O,
sl-34,5,11,v,,v,Sa,ADP,O,
sl-34,5,12,odkrito,,odkrit,Agpfsa,ADJ,O,
sl-34,5,13,brezposelnost,,brezposelnost,Ncfsa,NOUN,O,
sl-34,5,14,",",,",",Z,PUNCT,O,
sl-34,5,15,bodo,,biti,Va-f3p-n,AUX,O,
sl-34,5,16,predstavniki,,predstavnik,Ncmpn,NOUN,O,
sl-34,5,17,Zavoda,Zavoda,zavod,Ncmsg,NOUN,B-ORG,ORG-Employment-Service-of-Slovenia
sl-34,5,18,RS,RS,RS,Npfsg,PROPN,I-ORG,ORG-Employment-Service-of-Slovenia
sl-34,5,19,za,za,za,Sa,ADP,I-ORG,ORG-Employment-Service-of-Slovenia
sl-34,5,20,zaposlovanje,zaposlovanje,zaposlovanje,Ncnsa,NOUN,I-ORG,ORG-Employment-Service-of-Slovenia
sl-34,5,21,stopili,,stopiti,Vmep-pm,VERB,O,
sl-34,5,22,v,,v,Sa,ADP,O,
sl-34,5,23,kontakt,,kontakt,Ncmsan,NOUN,O,
sl-34,5,24,s,,z,Si,ADP,O,
sl-34,5,25,stečajnim,,stečajen,Agpmsi,ADJ,O,
sl-34,5,26,upraviteljem,,upravitelj,Ncmsi,NOUN,O,
sl-34,5,27,ter,,ter,Cc,CCONJ,O,
sl-34,5,28,z,,z,Si,ADP,O,
sl-34,5,29,njim,,on,Pp3msi,PRON,O,
sl-34,5,30,dogovorili,,dogovoriti,Vmep-pm,VERB,O,
sl-34,5,31,možnosti,,možnost,Ncfpa,NOUN,O,
sl-34,5,32,",",,",",Z,PUNCT,O,
sl-34,5,33,kako,,kako,Rgp,ADV,O,
sl-34,5,34,tem,,ta,Pd-mpd,DET,O,
sl-34,5,35,delavcem,,delavec,Ncmpd,NOUN,O,
sl-34,5,36,pomagati,,pomagati,Vmbn,VERB,O,
sl-34,5,37,v,,v,Sl,ADP,O,
sl-34,5,38,Sloveniji,Slovenija,Slovenija,Npfsl,PROPN,B-LOC,GPE-Slovenia
sl-34,5,39,in,,in,Cc,CCONJ,O,
sl-34,5,40,EU,EU,EU,Npfsl,PROPN,B-ORG,ORG-European-Union
sl-34,5,41,.,,.,Z,PUNCT,O,
sl-34,6,1,Na,,na,Sl,ADP,O,
sl-34,6,2,zavodu,zavod,zavod,Ncmsl,NOUN,B-ORG,ORG-Employment-Service-of-Slovenia
sl-34,6,3,za,za,za,Sa,ADP,I-ORG,ORG-Employment-Service-of-Slovenia
sl-34,6,4,zaposlovanje,zaposlovanje,zaposlovanje,Ncnsa,NOUN,I-ORG,ORG-Employment-Service-of-Slovenia
sl-34,6,5,želijo,,želeti,Vmpr3p,VERB,O,
sl-34,6,6,s,,z,Si,ADP,O,
sl-34,6,7,stečajnim,,stečajen,Agpmsi,ADJ,O,
sl-34,6,8,upraviteljem,,upravitelj,Ncmsi,NOUN,O,
sl-34,6,9,Janezom,Janez,Janez,Npmsi,PROPN,B-PER,PER-Janez-Pustatičnik
sl-34,6,10,Pustatičnikom,Pustatičnik,Pustatičnik,Npmsi,PROPN,I-PER,PER-Janez-Pustatičnik
sl-34,6,11,spregovoriti,,spregovoriti,Vmen,VERB,O,
sl-34,6,12,o,,o,Sl,ADP,O,
sl-34,6,13,vseh,,ves,Pg-fpl,DET,O,
sl-34,6,14,posebnostih,,posebnost,Ncfpl,NOUN,O,
sl-34,6,15,prijave,,prijava,Ncfsg,NOUN,O,
sl-34,6,16,Adrijinih,Adria,Adrijin,Aspmpg,ADJ,B-ORG,ORG-Adria-Airways
sl-34,6,17,kadrov,,kader,Ncmpg,NOUN,O,
sl-34,6,18,v,,v,Sa,ADP,O,
sl-34,6,19,evidenco,,evidenca,Ncfsa,NOUN,O,
sl-34,6,20,brezposelnih,,brezposeln,Agpfpg,ADJ,O,
sl-34,6,21,",",,",",Z,PUNCT,O,
sl-34,6,22,možnostih,,možnost,Ncfpl,NOUN,O,
sl-34,6,23,njihove,,njihov,Ps3fsgp,DET,O,
sl-34,6,24,vključitve,,vključitev,Ncfsg,NOUN,O,
sl-34,6,25,v,,v,Sa,ADP,O,
sl-34,6,26,izobraževalne,,izobraževalen,Agpmpa,ADJ,O,
sl-34,6,27,programe,,program,Ncmpa,NOUN,O,
sl-34,6,28,preko,,preko,Sg,ADP,O,
sl-34,6,29,projekta,,projekt,Ncmsg,NOUN,O,
sl-34,6,30,SPIN,SPIN,SPIN,Npmsn,PROPN,B-ORG,ORG-SPIN
sl-34,6,31,in,,in,Cc,CCONJ,O,
sl-34,6,32,potrebni,,potreben,Agpfsd,ADJ,O,
sl-34,6,33,dokumentaciji,,dokumentacija,Ncfsd,NOUN,O,
sl-34,6,34,.,,.,Z,PUNCT,O,
sl-34,7,1,Poleg,,poleg,Sg,ADP,O,
sl-34,7,2,tega,,ta,Pd-nsg,DET,O,
sl-34,7,3,nameravajo,,nameravati,Vmpr3p,VERB,O,
sl-34,7,4,zaposlenim,,zaposlen,Appmpd,ADJ,O,
sl-34,7,5,v,,v,Sl,ADP,O,
sl-34,7,6,Adrii,Adria,Adria,Npfsl,PROPN,B-ORG,ORG-Adria-Airways
sl-34,7,7,posredovati,,posredovati,Vmbn,VERB,O,
sl-34,7,8,informacije,,informacija,Ncfpa,NOUN,O,
sl-34,7,9,o,,o,Sl,ADP,O,
sl-34,7,10,prostih,,prost,Agpnpl,ADJ,O,
sl-34,7,11,delovnih,,deloven,Agpnpl,ADJ,O,
sl-34,7,12,mestih,,mesto,Ncnpl,NOUN,O,
sl-34,7,13,tako,,tako,Cc,CCONJ,O,
sl-34,7,14,v,,v,Sl,ADP,O,
sl-34,7,15,Sloveniji,Slovenija,Slovenija,Npfsl,PROPN,B-LOC,GPE-Slovenia
sl-34,7,16,kot,,kot,Cs,SCONJ,O,
sl-34,7,17,EU,EU,EU,Npfsn,PROPN,B-ORG,ORG-European-Union
sl-34,7,18,.,,.,Z,PUNCT,O,
sl-34,8,1,V,,v,Sl,ADP,O,
sl-34,8,2,primeru,,primer,Ncmsl,NOUN,O,
sl-34,8,3,interesa,,interes,Ncmsg,NOUN,O,
sl-34,8,4,bodo,,biti,Va-f3p-n,AUX,O,
sl-34,8,5,organizirali,,organizirati,Vmbp-pm,VERB,O,
sl-34,8,6,tudi,,tudi,Q,PART,O,
sl-34,8,7,prijavo,,prijava,Ncfsa,NOUN,O,
sl-34,8,8,v,,v,Sl,ADP,O,
sl-34,8,9,času,,čas,Ncmsl,NOUN,O,
sl-34,8,10,neuradnih,,neuraden,Agpfpg,ADJ,O,
sl-34,8,11,ur,,ura,Ncfpg,NOUN,O,
sl-34,8,12,zavoda,,zavod,Ncmsg,NOUN,O,
sl-34,8,13,",",,",",Z,PUNCT,O,
sl-34,8,14,je,,biti,Va-r3s-n,AUX,O,
sl-34,8,15,za,,za,Sa,ADP,O,
sl-34,8,16,STA,STA,biti,Va-r3d-n,AUX,B-ORG,ORG-Slovenian-Press-Agency
sl-34,8,17,povedala,,povedati,Vmep-dm,VERB,O,
sl-34,8,18,direktorica,,direktorica,Ncfsn,NOUN,O,
sl-34,8,19,ljubljanske,,ljubljanski,Agpfsg,ADJ,O,
sl-34,8,20,območne,,območen,Agpfsg,ADJ,O,
sl-34,8,21,službe,,služba,Ncfsg,NOUN,O,
sl-34,8,22,zavoda,,zavod,Ncmsg,NOUN,O,
sl-34,8,23,Barbara,Barbara,Barbara,Npfsn,PROPN,B-PER,PER-Barbara-Vrtačnik
sl-34,8,24,Vrtačnik,Vrtačnik,Vrtačnik,Npfsn,PROPN,I-PER,PER-Barbara-Vrtačnik
sl-34,8,25,.,,.,Z,PUNCT,O,
sl-34,9,1,Adrijini,Adria,Adrijin,Aspmpn,ADJ,B-ORG,ORG-Adria-Airways
sl-34,9,2,delavci,,delavec,Ncmpn,NOUN,O,
sl-34,9,3,lahko,,lahko,Rgp,ADV,O,
sl-34,9,4,sicer,,sicer,Q,PART,O,
sl-34,9,5,postopek,,postopek,Ncmsan,NOUN,O,
sl-34,9,6,prijave,,prijava,Ncfsg,NOUN,O,
sl-34,9,7,na,,na,Sa,ADP,O,
sl-34,9,8,zavod,,zavod,Ncmsan,NOUN,O,
sl-34,9,9,opravijo,,opraviti,Vmer3p,VERB,O,
sl-34,9,10,osebno,,osebno,Rgp,ADV,O,
sl-34,9,11,na,,na,Sl,ADP,O,
sl-34,9,12,najbližjem,,blizek,Agsmsl,ADJ,O,
sl-34,9,13,območnem,,območen,Agpmsl,ADJ,O,
sl-34,9,14,uradu,,urad,Ncmsl,NOUN,O,
sl-34,9,15,",",,",",Z,PUNCT,O,
sl-34,9,16,elektronsko,,elektronski,Agpfsa,ADJ,O,
sl-34,9,17,",",,",",Z,PUNCT,O,
sl-34,9,18,po,,po,Sl,ADP,O,
sl-34,9,19,pošti,,pošta,Ncfsl,NOUN,O,
sl-34,9,20,ali,,ali,Cc,CCONJ,O,
sl-34,9,21,po,,po,Sl,ADP,O,
sl-34,9,22,pooblaščencu,,pooblaščenec,Ncmsl,NOUN,O,
sl-34,9,23,.,,.,Z,PUNCT,O,
sl-34,10,1,Za,,za,Sa,ADP,O,
sl-34,10,2,prijavo,,prijava,Ncfsa,NOUN,O,
sl-34,10,3,potrebujejo,,potrebovati,Vmpr3p,VERB,O,
sl-34,10,4,osebni,,oseben,Agpmsay,ADJ,O,
sl-34,10,5,dokument,,dokument,Ncmsan,NOUN,O,
sl-34,10,6,",",,",",Z,PUNCT,O,
sl-34,10,7,delovno,,deloven,Agpfsa,ADJ,O,
sl-34,10,8,knjižico,,knjižica,Ncfsa,NOUN,O,
sl-34,10,9,(,,(,Z,PUNCT,O,
sl-34,10,10,če,,če,Cs,SCONJ,O,
sl-34,10,11,jo,,on,Pp3fsa--y,PRON,O,
sl-34,10,12,imajo,,imeti,Vmpr3p-n,VERB,O,
sl-34,10,13,),,),Z,PUNCT,O,
sl-34,10,14,in,,in,Cc,CCONJ,O,
sl-34,10,15,številko,,številka,Ncfsa,NOUN,O,
sl-34,10,16,osebnega,,oseben,Agpmsg,ADJ,O,
sl-34,10,17,transakcijskega,,transakcijski,Agpmsg,ADJ,O,
sl-34,10,18,računa,,račun,Ncmsg,NOUN,O,
sl-34,10,19,.,,.,Z,PUNCT,O,
sl-34,11,1,Za,,za,Sa,ADP,O,
sl-34,11,2,nadomestilo,,nadomestilo,Ncnsa,NOUN,O,
sl-34,11,3,:,,:,Z,PUNCT,O,
sl-34,11,4,vloga,,vloga,Ncfsn,NOUN,O,
sl-34,11,5,najkasneje,,kasno,Rgs,ADV,O,
sl-34,11,6,30,,30,Mdc,NUM,O,
sl-34,11,7,dni,,dan,Ncmpg,NOUN,O,
sl-34,11,8,po,,po,Sl,ADP,O,
sl-34,11,9,koncu,,konec,Ncmsl,NOUN,O,
sl-34,11,10,delovnega,,deloven,Agpnsg,ADJ,O,
sl-34,11,11,razmerja,,razmerje,Ncnsg,NOUN,O,
sl-34,12,1,Postopek,,postopek,Ncmsan,NOUN,O,
sl-34,12,2,lahko,,lahko,Rgp,ADV,O,
sl-34,12,3,po,,po,Sl,ADP,O,
sl-34,12,4,besedah,,beseda,Ncfpl,NOUN,O,
sl-34,12,5,Vrtačnikove,Vrtačnik,Vrtačnikov,Aspfsg,ADJ,B-PER,PER-Barbara-Vrtačnik
sl-34,12,6,sprožijo,,sprožiti,Vmer3p,VERB,O,
sl-34,12,7,kadarkoli,,kadarkoli,Rgp,ADV,O,
sl-34,12,8,po,,po,Sl,ADP,O,
sl-34,12,9,prenehanju,,prenehanje,Ncnsl,NOUN,O,
sl-34,12,10,zavarovanja,,zavarovanje,Ncnsg,NOUN,O,
sl-34,12,11,na,,na,Sl,ADP,O,
sl-34,12,12,podlagi,,podlaga,Ncfsl,NOUN,O,
sl-34,12,13,delovnega,,deloven,Agpnsg,ADJ,O,
sl-34,12,14,razmerja,,razmerje,Ncnsg,NOUN,O,
sl-34,12,15,oz.,,oz.,Y,X,O,
sl-34,12,16,po,,po,Sl,ADP,O,
sl-34,12,17,poteku,,potek,Ncmsl,NOUN,O,
sl-34,12,18,odpovednega,,odpoveden,Agpmsg,ADJ,O,
sl-34,12,19,roka,,rok,Ncmsg,NOUN,O,
sl-34,12,20,",",,",",Z,PUNCT,O,
sl-34,12,21,če,,če,Cs,SCONJ,O,
sl-34,12,22,želijo,,želeti,Vmpr3p,VERB,O,
sl-34,12,23,vložiti,,vložiti,Vmen,VERB,O,
sl-34,12,24,zahtevek,,zahtevek,Ncmsan,NOUN,O,
sl-34,12,25,za,,za,Sa,ADP,O,
sl-34,12,26,denarno,,denaren,Agpnsa,ADJ,O,
sl-34,12,27,nadomestilo,,nadomestilo,Ncnsa,NOUN,O,
sl-34,12,28,",",,",",Z,PUNCT,O,
sl-34,12,29,pa,,pa,Cc,CCONJ,O,
sl-34,12,30,se,,se,Px------y,PRON,O,
sl-34,12,31,morajo,,morati,Vmpr3p,VERB,O,
sl-34,12,32,prijaviti,,prijaviti,Vmen,VERB,O,
sl-34,12,33,in,,in,Cc,CCONJ,O,
sl-34,12,34,zahtevek,,zahtevek,Ncmsan,NOUN,O,
sl-34,12,35,vložiti,,vložiti,Vmen,VERB,O,
sl-34,12,36,najpozneje,,pozno,Rgs,ADV,O,
sl-34,12,37,v,,v,Sl,ADP,O,
sl-34,12,38,roku,,rok,Ncmsl,NOUN,O,
sl-34,12,39,30,,30,Mdc,NUM,O,
sl-34,12,40,dni,,dan,Ncmpg,NOUN,O,
sl-34,12,41,po,,po,Sl,ADP,O,
sl-34,12,42,prenehanju,,prenehanje,Ncnsl,NOUN,O,
sl-34,12,43,delovnega,,deloven,Agpnsg,ADJ,O,
sl-34,12,44,razmerja,,razmerje,Ncnsg,NOUN,O,
sl-34,12,45,.,,.,Z,PUNCT,O,
sl-34,13,1,Kdor,,kdor,Pr-msn,PRON,O,
sl-34,13,2,bo,,biti,Va-f3s-n,AUX,O,
sl-34,13,3,ta,,ta,Pd-msa,DET,O,
sl-34,13,4,rok,,rok,Ncmsan,NOUN,O,
sl-34,13,5,zamudil,,zamuditi,Vmep-sm,VERB,O,
sl-34,13,6,",",,",",Z,PUNCT,O,
sl-34,13,7,se,,se,Px------y,PRON,O,
sl-34,13,8,mu,,on,Pp3msd--y,PRON,O,
sl-34,13,9,bo,,biti,Va-f3s-n,AUX,O,
sl-34,13,10,skupna,,skupen,Agpfsn,ADJ,O,
sl-34,13,11,dolžina,,dolžina,Ncfsn,NOUN,O,
sl-34,13,12,prejemanja,,prejemanje,Ncnsg,NOUN,O,
sl-34,13,13,nadomestila,,nadomestilo,Ncnsg,NOUN,O,
sl-34,13,14,skrajšala,,skrajšati,Vmep-sf,VERB,O,
sl-34,13,15,za,,za,Sa,ADP,O,
