pl-106
Bankier.pl	Bankier.pl	PRO	PRO-Bankier.pl
EASA	EASA	ORG	ORG-EASA-European-Aviation-Safety-Agency
Europie	Europa	LOC	LOC-Europe
ITF	ITF	ORG	ORG-ITF-International-Transport-Workers-Federation
Irlandii	Irlandia	LOC	GPE-Ireland
Liz Blackshaw	Liz Blackshaw	PER	PER-Liz-Blackshaw
Międzynarodowej Federacji Pracowników Transportu	Międzynarodowa Federacja Pracowników Transportu	ORG	ORG-ITF-International-Transport-Workers-Federation
Ryanair	Ryanair	ORG	ORG-Ryanair
Ryanaira	Ryanair	ORG	ORG-Ryanair
Ryanairze	Ryanair	ORG	ORG-Ryanair
Weronika Szkwarek	Weronika Szkwarek	PER	PER-Weronika-Szkwarek
