docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
bg-1299,0,1,Президентът,,президент,Ncmsf,NOUN,O,
bg-1299,0,2,на,,на,R,ADP,O,
bg-1299,0,3,Ryanair,Ryanair,ryanair,Npmsi,PROPN,B-ORG,ORG-Ryanair
bg-1299,0,4,остава,,оставам,Vpiif-r3s,VERB,O,
bg-1299,0,5,начело,,начело,Dl,ADV,O,
bg-1299,0,6,на,,на,R,ADP,O,
bg-1299,0,7,компанията,,компания,Ncfsd,NOUN,O,
bg-1299,1,1,Акционерите,,акционер,Ncmpd,NOUN,O,
bg-1299,1,2,на,,на,R,ADP,O,
bg-1299,1,3,Ryanair,Ryanair,ryanair,Npmsi,PROPN,B-ORG,ORG-Ryanair
bg-1299,1,4,нанесоха,,нанеса-(се),Vpptf-o3p,VERB,O,
bg-1299,1,5,удар,,удар,Ncmsi,NOUN,O,
bg-1299,1,6,на,,на,R,ADP,O,
bg-1299,1,7,президента,,президент,Ncmsh,NOUN,O,
bg-1299,1,8,на,,на,R,ADP,O,
bg-1299,1,9,компанията,,компания,Ncfsd,NOUN,O,
bg-1299,1,10,",",,",",punct,PUNCT,O,
bg-1299,1,11,който,,който,Pre-os-m,PRON,O,
bg-1299,1,12,бе,,съм,Vxitf-t3s,AUX,O,
bg-1299,1,13,преизбран,,преизбера,Vpptcv--smi,VERB,O,
bg-1299,1,14,на,,на,R,ADP,O,
bg-1299,1,15,годишното,,годишен,Ansd,ADJ,O,
bg-1299,1,16,общо,,общ,Ansi,ADJ,O,
bg-1299,1,17,събрание,,събрание,Ncnsi,NOUN,O,
bg-1299,1,18,на,,на,R,ADP,O,
bg-1299,1,19,акционерите,,акционер,Ncmpd,NOUN,O,
bg-1299,1,20,",",,",",punct,PUNCT,O,
bg-1299,1,21,протекло,,протека-(се),Vppicao-sni,VERB,O,
bg-1299,1,22,в,,в,R,ADP,O,
bg-1299,1,23,обтегната,,обтеген,Vpptcv--sfi,ADJ,O,
bg-1299,1,24,обстановка,,обстановка,Ncfsi,NOUN,O,
bg-1299,1,25,заради,,заради,R,ADP,O,
bg-1299,1,26,безпрецедентните,,безпрецедентен,A-pd,ADJ,O,
bg-1299,1,27,стачки,,стачка,Ncfpi,NOUN,O,
bg-1299,1,28,в,,в,R,ADP,O,
bg-1299,1,29,авиокомпанията,,авиокомпания,Ncfsd,NOUN,O,
bg-1299,1,30,",",,",",punct,PUNCT,O,
bg-1299,1,31,съобщава,,съобщавам,Vpitf-r3s,VERB,O,
bg-1299,1,32,",",,",",punct,PUNCT,O,
bg-1299,1,33,позовавайки,,позовавам-(се),Vpitg,ADV,O,
bg-1299,1,34,се,,се,Ppxta,PRON,O,
bg-1299,1,35,на,,на,R,ADP,O,
