docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
cz-69,0,1,Piloti,,pilot,NNMP1-----A----,NOUN,O,
cz-69,0,2,Ryanairu,Ryanair,Ryanair,NNIS2-----A----,PROPN,B-ORG,ORG-Ryanair
cz-69,0,3,celý,,celý,AAIS4----1A----,ADJ,O,
cz-69,0,4,den,,den,NNIS4-----A----,NOUN,O,
cz-69,0,5,stávkují,,stávkovat,VB-P---3P-AA---,VERB,O,
cz-69,1,1,Největší,,velký,AAIS4----3A----,ADJ,O,
cz-69,1,2,dopad,,dopad,NNIS4-----A----,NOUN,O,
cz-69,1,3,má,,mít,VB-S---3P-AA---,VERB,O,
cz-69,1,4,stávka,,stávka,NNFS1-----A----,NOUN,O,
cz-69,1,5,pilotů,,pilot,NNMP2-----A----,NOUN,O,
cz-69,1,6,v,,v,RR--6----------,ADP,O,
cz-69,1,7,Německu,Německo,Německo,NNNS6-----A----,PROPN,B-LOC,GPE-Germany
cz-69,1,8,",",,",",Z:-------------,PUNCT,O,
cz-69,1,9,kde,,kde,Db-------------,ADV,O,
cz-69,1,10,bylo,,být,VpNS---XR-AA---,AUX,O,
cz-69,1,11,zrušeno,,zrušený,VsNS---XX-AP---,ADJ,O,
cz-69,1,12,250,,250,C=-------------,NUM,O,
cz-69,1,13,letů,,let,NNIP2-----A----,NOUN,O,
cz-69,1,14,.,,.,Z:-------------,PUNCT,O,
cz-69,2,1,Znamená,,znamenat,VB-S---3P-AA---,VERB,O,
cz-69,2,2,to,,ten,PDNS1----------,DET,O,
cz-69,2,3,komplikace,,komplikace,NNFP1-----A----,NOUN,O,
cz-69,2,4,pro,,pro,RR--4----------,ADP,O,
cz-69,2,5,více,,hodně,Dg-------2A----,ADV,O,
cz-69,2,6,42,,42,C=-------------,NUM,O,
cz-69,2,7,000,,000,C=-------------,NUM,O,
cz-69,2,8,lidí,,člověk,NNMP2-----A----,NOUN,O,
cz-69,2,9,.,,.,Z:-------------,PUNCT,O,
cz-69,3,1,Cestující,,cestující,AGMP1-----A----,ADJ,O,
cz-69,3,2,si,,se,P7-X3----------,PRON,O,
cz-69,3,3,mohli,,moci,VpMP---XR-AA---,VERB,O,
cz-69,3,4,rezervovat,,rezervovat,Vf--------A----,VERB,O,
cz-69,3,5,jiný,,jiný,AAIS4----1A----,ADJ,O,
cz-69,3,6,let,,rok,NNNS4-----A----,NOUN,O,
cz-69,3,7,",",,",",Z:-------------,PUNCT,O,
cz-69,3,8,nebo,,nebo,J^-------------,CCONJ,O,
