docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
cs-new-34,0,1,Belgii,Belgie,Belgie,NNFS4-----A----,PROPN,B-LOC,GPE-Belgium
cs-new-34,0,2,zasáhla,,zasáhnout,VpQW---XR-AA---,VERB,O,
cs-new-34,0,3,generální,,generální,AAFS1----1A----,ADJ,O,
cs-new-34,0,4,stávka,,stávka,NNFS1-----A----,NOUN,O,
cs-new-34,0,5,.,,.,Z:-------------,PUNCT,O,
cs-new-34,1,1,Letiště,,letiště,NNNS1-----A----,NOUN,O,
cs-new-34,1,2,byla,,být,VpQW---XR-AA---,AUX,O,
cs-new-34,1,3,zavřená,,zavřený,AAFS1----1A----,ADJ,O,
cs-new-34,1,4,",",,",",Z:-------------,PUNCT,O,
cs-new-34,1,5,v,,v,RR--6----------,ADP,O,
cs-new-34,1,6,dopravě,,doprava,NNFS6-----A----,NOUN,O,
cs-new-34,1,7,panoval,,panovat,VpYS---XR-AA---,VERB,O,
cs-new-34,1,8,chaos,,chaos,NNIS1-----A----,NOUN,O,
cs-new-34,2,1,BRUSEL,Brusel,Brusel,NNIS1-----A----,PROPN,B-LOC,GPE-Brussles
cs-new-34,2,2,Belgii,Belgie,Belgie,NNFS3-----A----,PROPN,B-LOC,GPE-Belgium
cs-new-34,2,3,ve,,v,RV--4----------,ADP,O,
cs-new-34,2,4,středu,,středa,NNFS4-----A----,NOUN,O,
cs-new-34,2,5,ochromila,,ochromit,VpQW---XR-AA---,VERB,O,
cs-new-34,2,6,jednodenní,,jednodenní,AAFS1----1A----,ADJ,O,
cs-new-34,2,7,generální,,generální,AAFS1----1A----,ADJ,O,
cs-new-34,2,8,stávka,,stávka,NNFS1-----A----,NOUN,O,
cs-new-34,2,9,",",,",",Z:-------------,PUNCT,O,
cs-new-34,2,10,kterou,,který,P4FS4----------,DET,O,
cs-new-34,2,11,za,,za,RR--4----------,ADP,O,
cs-new-34,2,12,zvýšení,,zvýšení,NNNS4-----A----,NOUN,O,
cs-new-34,2,13,mezd,,mzda,NNFP2-----A----,NOUN,O,
cs-new-34,2,14,svolaly,,svolat,VpTP---XR-AA---,VERB,O,
cs-new-34,2,15,tři,,tři,ClXP1----------,NUM,O,
cs-new-34,2,16,odborové,,odborový,AAIP1----1A----,ADJ,O,
cs-new-34,2,17,svazy,,svaz,NNIP1-----A----,NOUN,O,
cs-new-34,2,18,-,,-,Z:-------------,PUNCT,O,
cs-new-34,2,19,socialistický,,socialistický,AAIS1----1A----,ADJ,O,
cs-new-34,2,20,",",,",",Z:-------------,PUNCT,O,
cs-new-34,2,21,křesťanský,,křesťanský,AAIS1----1A----,ADJ,O,
cs-new-34,2,22,a,,a,J^-------------,CCONJ,O,
cs-new-34,2,23,liberální,,liberální,AAIS1----1A----,ADJ,O,
cs-new-34,2,24,.,,.,Z:-------------,PUNCT,O,
cs-new-34,3,1,Na,,na,RR--6----------,ADP,O,
cs-new-34,3,2,belgických,,belgický,AANP6----1A----,ADJ,O,
cs-new-34,3,3,letištích,,letiště,NNNP6-----A----,NOUN,O,
cs-new-34,3,4,od,,od,RR--2----------,ADP,O,
cs-new-34,3,5,úterního,,úterní,AAIS2----1A----,ADJ,O,
cs-new-34,3,6,večera,,večer,NNIS2-----A---1,NOUN,O,
cs-new-34,3,7,nepřistávají,,přistávat,VB-P---3P-NA---,VERB,O,
cs-new-34,3,8,",",,",",Z:-------------,PUNCT,O,
cs-new-34,3,9,ani,,ani,J^-------------,CCONJ,O,
cs-new-34,3,10,z,,z,RR--2----------,ADP,O,
cs-new-34,3,11,nich,,on,P5XP2--3-------,PRON,O,
cs-new-34,3,12,neodlétají,,odlétat,VB-P---3P-NA---,VERB,O,
cs-new-34,3,13,pravidelné,,pravidelný,AAFP1----1A----,ADJ,O,
cs-new-34,3,14,linky,,linka,NNFP1-----A----,NOUN,O,
cs-new-34,3,15,.,,.,Z:-------------,PUNCT,O,
cs-new-34,4,1,Ochromena,,Ochromena,AsQW------A----,ADJ,O,
