docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
pl-839,0,1,O'Leary,O'Leary,O'Leary,subst:sg:nom:m1,PROPN,B-PER,PER-Michael-O'Leary
pl-839,0,2,:,,:,interp,PUNCT,O,
pl-839,0,3,hard,,hard,adj:sg:nom:m3:pos,ADJ,O,
pl-839,0,4,brexit,brexit,brexit,subst:sg:nom:m3,NOUN,B-EVT,EVT-Brexit
pl-839,0,5,może,,móc,fin:sg:ter:imperf,VERB,O,
pl-839,0,6,uziemić,,uziemić,inf:perf,VERB,O,
pl-839,0,7,samoloty,,samolot,subst:pl:acc:m3,NOUN,O,
pl-839,0,8,Ryanair,Ryanair,Ryanair,subst:sg:gen:m3,PROPN,B-ORG,ORG-Ryanair
pl-839,0,9,nawet,,nawet,part,PART,O,
pl-839,0,10,na,,na,prep:acc,ADP,O,
pl-839,0,11,trzy,,trzy,num:pl:acc:m3:congr,NUM,O,
pl-839,0,12,tygodnie,,tydzień,subst:pl:acc:m3,NOUN,O,
pl-839,1,1,Tzw,,tak zwany,brev:pun,X,O,
pl-839,1,2,.,,.,interp,PUNCT,O,
pl-839,1,3,twardy,,twardy,adj:sg:nom:m3:pos,ADJ,O,
pl-839,1,4,brexit,brexit,brexit,subst:sg:nom:m3,NOUN,B-EVT,EVT-Brexit
pl-839,1,5,",",,",",interp,PUNCT,O,
pl-839,1,6,wyjście,,wyjść,subst:sg:nom:n:ncol,NOUN,O,
pl-839,1,7,Wlk,Wlk,Wlk,subst:sg:gen:f,PROPN,B-LOC,GPE-Great-Britain
pl-839,1,8,.,.,.,interp,PUNCT,I-LOC,GPE-Great-Britain
pl-839,2,1,Brytanii,Brytania,Brytania,subst:sg:gen:f,PROPN,I-LOC,GPE-Great-Britain
pl-839,2,2,z,,z,prep:gen:nwok,ADP,O,
pl-839,2,3,Unii,Unia,unia,subst:sg:gen:f,NOUN,B-ORG,ORG-European-Union
pl-839,2,4,Europejskiej,Europejska,europejski,adj:sg:gen:f:pos,ADJ,I-ORG,ORG-European-Union
pl-839,2,5,bez,,bez,prep:gen:nwok,ADP,O,
pl-839,2,6,umowy,,umowa,subst:sg:gen:f,NOUN,O,
pl-839,2,7,handlowo,,handlowy,adja,ADJ,O,
pl-839,2,8,-,,-,interp,PUNCT,O,
pl-839,2,9,politycznej,,polityczny,adj:sg:gen:f:pos,ADJ,O,
pl-839,2,10,",",,",",interp,PUNCT,O,
pl-839,2,11,mógłby,,móc by,praet:sg:m3:imperf:nagl part,VERB AUX,O,
pl-839,2,13,uziemić,,uziemić,inf:perf,VERB,O,
pl-839,2,14,samoloty,,samolot,subst:pl:acc:m3,NOUN,O,
pl-839,2,15,Ryanair,Ryanair,Ryanair,subst:sg:gen:m3,PROPN,B-ORG,ORG-Ryanair
pl-839,2,16,na,,na,prep:acc,ADP,O,
pl-839,2,17,okres,,okres,subst:sg:acc:m3,NOUN,O,
pl-839,2,18,do,,do,prep:gen,ADP,O,
pl-839,2,19,trzech,,trzy,num:pl:gen:m3:congr,NUM,O,
pl-839,2,20,tygodni,,tydzień,subst:pl:gen:m3,NOUN,O,
pl-839,2,21,",",,",",interp,PUNCT,O,
pl-839,2,22,ale,,ale,conj,CCONJ,O,
pl-839,2,23,byłby,,być by,praet:sg:m3:imperf part,AUX AUX,O,
pl-839,2,25,możliwy,,możliwy,adj:sg:nom:m3:pos,ADJ,O,
pl-839,2,26,do,,do,prep:gen,ADP,O,
pl-839,2,27,przeżycia,,przeżyć,ger:sg:gen:n:perf:aff,NOUN,O,
pl-839,2,28,dla,,dla,prep:gen,ADP,O,
pl-839,2,29,irlandzkiej,,irlandzki,adj:sg:gen:f:pos,ADJ,O,
pl-839,2,30,linii,,linia,subst:sg:gen:f,NOUN,O,
pl-839,2,31,budżetowej,,budżetowy,adj:sg:gen:f:pos,ADJ,O,
pl-839,2,32,",",,",",interp,PUNCT,O,
pl-839,2,33,stwierdził,,stwierdzić,praet:sg:m1:perf,VERB,O,
pl-839,2,34,dyrektor,,dyrektor,subst:sg:nom:m1,NOUN,O,
pl-839,2,35,generalny,,generalny,adj:sg:nom:m1:pos,ADJ,O,
pl-839,2,36,Michael,Michael,Michael,subst:sg:nom:m1,PROPN,B-PER,PER-Michael-O'Leary
pl-839,2,37,O'Leary,O'Leary,O'Leary,subst:sg:nom:m1,PROPN,I-PER,PER-Michael-O'Leary
