docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
ru-115,0,1,Пилоты,,пилот,,NOUN,O,
ru-115,0,2,и,,и,,CCONJ,O,
ru-115,0,3,бортпроводники,,бортпроводник,,NOUN,O,
ru-115,0,4,Ryanair,Ryanair,Ryanair,,PROPN,B-ORG,ORG-Ryanair
ru-115,0,5,объявили,,объявить,,VERB,O,
ru-115,0,6,новейшую,,новый,,ADJ,O,
ru-115,0,7,забастовку,,забастовка,,NOUN,O,
ru-115,1,1,Работники,,работник,,NOUN,O,
ru-115,1,2,ирландской,,ирландский,,ADJ,O,
ru-115,1,3,лоукост-авиакомпании,,лоукост-авиакомпания,,NOUN,O,
ru-115,1,4,Ryanair,Ryanair,Ryanair,,PROPN,B-ORG,ORG-Ryanair
ru-115,1,5,планируют,,планировать,,VERB,O,
ru-115,1,6,12,,12,,NUM,O,
ru-115,1,7,сентября,,сентябрь,,NOUN,O,
ru-115,1,8,провести,,провести,,VERB,O,
ru-115,1,9,забастовку,,забастовка,,NOUN,O,
ru-115,1,10,во,,в,,ADP,O,
ru-115,1,11,всех,,весь,,DET,O,
ru-115,1,12,немецких,,немецкий,,ADJ,O,
ru-115,1,13,аэропортах,,аэропорт,,NOUN,O,
ru-115,1,14,.,,.,,PUNCT,O,
ru-115,2,1,Об,,о,,ADP,O,
ru-115,2,2,этом,,это,,PRON,O,
ru-115,2,3,заявило,,заявить,,VERB,O,
ru-115,2,4,руководство,,руководство,,NOUN,O,
ru-115,2,5,профсоюза,,профсоюз,,NOUN,O,
ru-115,2,6,Ver.di,Ver.di,Ver.di,,PROPN,B-ORG,ORG-Ver.di-Trade-Union
ru-115,2,7,и,,и,,CCONJ,O,
ru-115,2,8,объединение,,объединение,,NOUN,O,
ru-115,2,9,пилотов,,пилот,,NOUN,O,
ru-115,2,10,Cockpit,Cockpit,Cockpit,,PROPN,B-ORG,ORG-Vereinigung-Cockpit
ru-115,2,11,",",,",",,PUNCT,O,
ru-115,2,12,передает,,передавать,,VERB,O,
ru-115,2,13,DW,DW,DW,,PROPN,B-PRO,PRO-Deutsche-Welle
ru-115,2,14,.,,.,,PUNCT,O,
ru-115,3,1,Предполагается,,предполагаться,,VERB,O,
ru-115,3,2,",",,",",,PUNCT,O,
ru-115,3,3,что,,что,,SCONJ,O,
ru-115,3,4,забастовка,,забастовка,,NOUN,O,
ru-115,3,5,коснется,,коснуться,,VERB,O,
ru-115,3,6,всех,,весь,,DET,O,
ru-115,3,7,рейсовых,,рейсовый,,ADJ,O,
ru-115,3,8,направлений,,направление,,NOUN,O,
ru-115,3,9,.,,.,,PUNCT,O,
ru-115,4,1,Также,,также,,ADV,O,
