docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
uk-122,0,1,Ryanair,Ryanair,Ryanair,X,X,B-ORG,ORG-Ryanair
uk-122,0,2,через,,через,Spsa,ADP,O,
uk-122,0,3,страйк,,страйк,Ncmsan,NOUN,O,
uk-122,0,4,скасував,,скасувати,Vmeis-sm,VERB,O,
uk-122,0,5,600,,600,Mlc-a,NUM,O,
uk-122,0,6,рейсів,,рейс,Ncmpgn,NOUN,O,
uk-122,0,7,у,,у,Spsl,ADP,O,
uk-122,0,8,Бельгії,Бельгія,Бельгія,Npfsln,PROPN,B-LOC,GPE-Belgium
uk-122,0,9,",",,",",U,PUNCT,O,
uk-122,0,10,Іспанії,Іспанія,Іспанія,Npfsln,PROPN,B-LOC,GPE-Spain
uk-122,0,11,",",,",",U,PUNCT,O,
uk-122,0,12,Італії,Італія,Італія,Npfsln,PROPN,B-LOC,GPE-Italy
uk-122,0,13,та,,та,Ccs,CCONJ,O,
uk-122,0,14,Португалії,Португалія,Португалія,Npfsln,PROPN,B-LOC,GPE-Portugal
uk-122,1,1,Ірландська,,ірландський,Ao-fsns,ADJ,O,
uk-122,1,2,авіакомпанія,,авіакомпанія,Ncfsnn,NOUN,O,
uk-122,1,3,Ryanair,Ryanair,Ryanair,X,X,B-ORG,ORG-Ryanair
uk-122,1,4,25,,25,Mlonsg,ADJ,O,
uk-122,1,5,та,,та,Ccs,CCONJ,O,
uk-122,1,6,26,,26,Mlonsg,ADJ,O,
uk-122,1,7,липня,,липень,Ncmsgn,NOUN,O,
uk-122,1,8,через,,через,Spsa,ADP,O,
uk-122,1,9,страйк,,страйк,Ncmsan,NOUN,O,
uk-122,1,10,співробітників,,співробітник,Ncmpgy,NOUN,O,
uk-122,1,11,скасувала,,скасувати,Vmpis-sf,VERB,O,
uk-122,1,12,600,,600,Mlc-a,NUM,O,
uk-122,1,13,рейсів,,рейс,Ncmpgn,NOUN,O,
uk-122,1,14,у,,у,Spsl,ADP,O,
uk-122,1,15,Бельгії,Бельгія,Бельгія,Npfsln,PROPN,B-LOC,GPE-Belgium
uk-122,1,16,",",,",",U,PUNCT,O,
uk-122,1,17,Іспанії,Іспанія,Іспанія,Npfsln,PROPN,B-LOC,GPE-Spain
uk-122,1,18,",",,",",U,PUNCT,O,
uk-122,1,19,Італії,Італія,Італія,Npfsln,PROPN,B-LOC,GPE-Italy
uk-122,1,20,та,,та,Ccs,CCONJ,O,
uk-122,1,21,Португалії,Португалія,Португалія,Npfsln,PROPN,B-LOC,GPE-Portugal
uk-122,1,22,.,,.,U,PUNCT,O,
uk-122,2,1,Про,,про,Spsa,ADP,O,
uk-122,2,2,це,,це,Pd--nnsan,PRON,O,
uk-122,2,3,пише,,писати,Vmpip3s,VERB,O,
uk-122,2,4,Associated,Associated,Associated,X,X,B-ORG,ORG-AP-The-Associated-Press
uk-122,2,5,Press,Press,Press,X,X,I-ORG,ORG-AP-The-Associated-Press
uk-122,2,6,",",,",",U,PUNCT,O,
uk-122,2,7,передає,,передавати,Vmpip3s,VERB,O,
uk-122,2,8,"""",,"""",U,PUNCT,O,
uk-122,2,9,Профспілки,,профспілка,Ncfpan,NOUN,O,
uk-122,2,10,у,,у,Spsl,ADP,O,
uk-122,2,11,цих,,цей,Pd----pla,DET,O,
uk-122,2,12,чотирьох,,чотири,Mlc-l,NUM,O,
uk-122,2,13,державах,,держава,Ncfpln,NOUN,O,
uk-122,2,14,стверджують,,стверджувати,Vmpip3p,VERB,O,
uk-122,2,15,",",,",",U,PUNCT,O,
uk-122,2,16,що,,що,Css,SCONJ,O,
uk-122,2,17,працівники,,працівник,Ncmpny,NOUN,O,
uk-122,2,18,Ryanair,Ryanair,Ryanair,X,X,B-ORG,ORG-Ryanair
uk-122,2,19,та,,та,Ccs,CCONJ,O,
uk-122,2,20,її,,її,Pps3--pna,DET,O,
uk-122,2,21,дочірніх,,дочірній,Ao--pgf,ADJ,O,
uk-122,2,22,компаній,,компанія,Ncfpgn,NOUN,O,
uk-122,2,23,найняті,,найнятий,Ap--pns-ep,ADJ,O,
uk-122,2,24,за,,за,Spsi,ADP,O,
uk-122,2,25,контрактами,,контракт,Ncmpin,NOUN,O,
uk-122,2,26,",",,",",U,PUNCT,O,
uk-122,2,27,що,,що,Css,SCONJ,O,
uk-122,2,28,управляються,,управлятися,Vmpip3p,VERB,O,
uk-122,2,29,країнами,,країна,Ncfpin,NOUN,O,
uk-122,2,30,",",,",",U,PUNCT,O,
uk-122,2,31,в,,в,Spsl,ADP,O,
uk-122,2,32,яких,,який,Pr----pla,DET,O,
uk-122,2,33,ті,,той,Pd----pna,DET,O,
uk-122,2,34,не,,не,Q,PART,O,
uk-122,2,35,базуються,,базуватися,Vmpip3p,VERB,O,
uk-122,2,36,.,,.,U,PUNCT,O,
uk-122,3,1,У,,у,Spsl,ADP,O,
uk-122,3,2,зв’язку,,зв’язок,Ncmsln,NOUN,O,
uk-122,3,3,з,,з,Spsi,ADP,O,
uk-122,3,4,цим,,це,Pd--nnsin,PRON,O,
uk-122,3,5,вони,,вони,Pp-3--pnn,PRON,O,
uk-122,3,6,отримують,,отримувати,Vmpip3p,VERB,O,
uk-122,3,7,менші,,менший,Afs-pasn,ADJ,O,
uk-122,3,8,відпускні,,відпускний,Ao--pasn,ADJ,O,
uk-122,3,9,",",,",",U,PUNCT,O,
uk-122,3,10,невідповідну,,невідповідний,Ao-fsas,ADJ,O,
uk-122,3,11,зарплатню,,зарплатній,Ao-fsas,ADJ,O,
uk-122,3,12,та,,та,Ccs,CCONJ,O,
uk-122,3,13,не,,не,Q,PART,O,
uk-122,3,14,мають,,мати,Vmpip3p,VERB,O,
uk-122,3,15,доступу,,доступ,Ncmsgn,NOUN,O,
uk-122,3,16,до,,до,Spsg,ADP,O,
uk-122,3,17,державних,,державний,Ao--pgf,ADJ,O,
uk-122,3,18,пільг,,пільг,Ncfpgn,NOUN,O,
uk-122,3,19,.,,.,U,PUNCT,O,
uk-122,4,1,У,,у,Spsa,ADP,O,
uk-122,4,2,відповідь,,відповідь,Ncfsan,NOUN,O,
uk-122,4,3,авіакомпанія,,авіакомпанія,Ncfsnn,NOUN,O,
uk-122,4,4,",",,",",U,PUNCT,O,
uk-122,4,5,розташована,,розташований,Ap-fsns-ep,ADJ,O,
uk-122,4,6,в,,в,Spsl,ADP,O,
uk-122,4,7,Дубліні,Дублін,Дублін,Npmsln,PROPN,B-LOC,GPE-Dublin
uk-122,4,8,",",,",",U,PUNCT,O,
uk-122,4,9,опублікувала,,опублікувати,Vmeis-sf,VERB,O,
uk-122,4,10,на,,на,Spsl,ADP,O,
uk-122,4,11,своєму,,свій,Pps-m-sla,DET,O,
uk-122,4,12,веб,,веб.,A,ADJ,O,
uk-122,4,13,-,,-,U,PUNCT,O,
uk-122,4,14,сайті,,сайт,Ncmsln,NOUN,O,
uk-122,4,15,документацію,,документація,Ncfsan,NOUN,O,
uk-122,4,16,щодо,,щодо,Spsg,ADP,O,
uk-122,4,17,виплат,,виплата,Ncfpgn,NOUN,O,
uk-122,4,18,заробітної,,заробітний,Ao-fsgf,ADJ,O,
uk-122,4,19,плати,,плата,Ncfsgn,NOUN,O,
uk-122,4,20,",",,",",U,PUNCT,O,
uk-122,4,21,стверджуючи,,стверджувати,Vmpgp,VERB,O,
uk-122,4,22,",",,",",U,PUNCT,O,
uk-122,4,23,що,,що,Css,SCONJ,O,
uk-122,4,24,пілоти,,пілота,Ncmpnn,NOUN,O,
uk-122,4,25,і,,і,Ccs,CCONJ,O,
uk-122,4,26,бортпровідники,,бортпровідник,Ncmpny,NOUN,O,
uk-122,4,27,отримують,,отримувати,Vmpip3p,VERB,O,
uk-122,4,28,справедливу,,справедливий,Afpfsas,ADJ,O,
uk-122,4,29,оплату,,оплата,Ncfsan,NOUN,O,
uk-122,4,30,праці,,праця,Ncfsgn,NOUN,O,
uk-122,4,31,.,,.,U,PUNCT,O,
uk-122,5,1,Компанія,,компанія,Ncfsnn,NOUN,O,
uk-122,5,2,також,,також,R,ADV,O,
uk-122,5,3,стверджує,,стверджувати,Vmpip3s,VERB,O,
uk-122,5,4,",",,",",U,PUNCT,O,
uk-122,5,5,що,,що,Css,SCONJ,O,
uk-122,5,6,всім,,весь,Pg----pda,DET,O,
uk-122,5,7,50,,50,Mlc-n,NUM,O,
uk-122,5,8,тисячам,,тисяча,Ncfpgn,NOUN,O,
uk-122,5,9,клієнтів,,клієнт,Ncmpgy,NOUN,O,
uk-122,5,10,",",,",",U,PUNCT,O,
uk-122,5,11,які,,який,Pr----pna,DET,O,
uk-122,5,12,постраждали,,постраждати,Vmeis-p,VERB,O,
uk-122,5,13,від,,від,Spsg,ADP,O,
uk-122,5,14,скасування,,скасування,Ncnsgn,NOUN,O,
uk-122,5,15,600,,600,Mlc-g,NUM,O,
uk-122,5,16,рейсів,,рейс,Ncmpgn,NOUN,O,
uk-122,5,17,в,,в,Spsl,ADP,O,
uk-122,5,18,середу,,серед,Ncmsln,NOUN,O,
uk-122,5,19,і,,і,Ccs,CCONJ,O,
uk-122,5,20,четвер,,четвер,Ncmsan,NOUN,O,
uk-122,5,21,",",,",",U,PUNCT,O,
uk-122,5,22,було,,бути,Vapis-sn,AUX,O,
uk-122,5,23,запропоновано,,запропонувати,Vmeo,VERB,O,
uk-122,5,24,альтернативні,,альтернативний,Ao--pasn,ADJ,O,
uk-122,5,25,рейси,,рейс,Ncmpan,NOUN,O,
uk-122,5,26,або,,або,Ccs,CCONJ,O,
uk-122,5,27,ж,,ж,Q,PART,O,
uk-122,5,28,повне,,повний,Afpnsns,ADJ,O,
uk-122,5,29,повернення,,повернення,Ncnsnn,NOUN,O,
uk-122,5,30,коштів,,кошти,Nc-pgn,NOUN,O,
uk-122,5,31,.,,.,U,PUNCT,O,
uk-122,6,1,Як,,як,Pr------r,ADV,O,
uk-122,6,2,повідомлялося,,повідомлятися,Vmpis-sn,VERB,O,
uk-122,6,3,раніше,,раніше,Rc,ADV,O,
uk-122,6,4,",",,",",U,PUNCT,O,
uk-122,6,5,в,,в,Spsl,ADP,O,
uk-122,6,6,Італії,Італія,Італія,Npfsln,PROPN,B-LOC,GPE-Italy
uk-122,6,7,бортпровідники,,бортпровідник,Ncmpny,NOUN,O,
uk-122,6,8,проведуть,,провести,Vmeif3p,VERB,O,
uk-122,6,9,24-годинний,,24-годинний,Ao-msafn,ADJ,O,
uk-122,6,10,страйк,,страйк,Ncmsan,NOUN,O,
uk-122,6,11,25,,25,Mlonsg,ADJ,O,
uk-122,6,12,липня,,липень,Ncmsgn,NOUN,O,
uk-122,6,13,",",,",",U,PUNCT,O,
uk-122,6,14,а,,а,Ccs,CCONJ,O,
uk-122,6,15,співробітники,,співробітник,Ncmpny,NOUN,O,
uk-122,6,16,компанії,,компанія,Ncfsgn,NOUN,O,
uk-122,6,17,в,,в,Spsl,ADP,O,
uk-122,6,18,Іспанії,Іспанія,Іспанія,Npfsln,PROPN,B-LOC,GPE-Spain
uk-122,6,19,",",,",",U,PUNCT,O,
uk-122,6,20,Португалії,Португалія,Португалія,Npfsln,PROPN,B-LOC,GPE-Portugal
uk-122,6,21,та,,та,Ccs,CCONJ,O,
uk-122,6,22,Бельгії,Бельгія,Бельгія,Npfsln,PROPN,B-LOC,GPE-Belgium
uk-122,6,23,страйкуватимуть,,страйкувати,Vmpif3p,VERB,O,
uk-122,6,24,48,,48,Mlc-a,NUM,O,
uk-122,6,25,годин,,година,Ncfpgn,NOUN,O,
uk-122,6,26,25,,25,Mlonsg,ADJ,O,
uk-122,6,27,-,,-,U,PUNCT,O,
uk-122,6,28,26,,26,Mlonsg,ADJ,O,
uk-122,6,29,липня,,липень,Ncmsgn,NOUN,O,
uk-122,6,30,.,,.,U,PUNCT,O,
uk-122,7,1,Матеріали,,матеріал,Ncmpnn,NOUN,O,
uk-122,7,2,",",,",",U,PUNCT,O,
uk-122,7,3,надруковані,,надрукований,Ap--pns-ep,ADJ,O,
uk-122,7,4,у,,у,Spsl,ADP,O,
uk-122,7,5,газеті,,газет,Ncfsln,NOUN,O,
uk-122,7,6,День,День,день,Ncmsnn,NOUN,B-ORG,ORG-Den-Newspaper
uk-122,7,7,",",,",",U,PUNCT,O,
uk-122,7,8,є,,бути,Vapip3s,AUX,O,
uk-122,7,9,власністю,,власність,Ncfsin,NOUN,O,
uk-122,7,10,видавця,,видавець,Ncmsgy,NOUN,O,
uk-122,7,11,",",,",",U,PUNCT,O,
uk-122,7,12,захищені,,захищений,Ap--pns-ep,ADJ,O,
uk-122,7,13,міжнародним,,міжнародний,Ao-nsif,ADJ,O,
uk-122,7,14,і,,і,Ccs,CCONJ,O,
uk-122,7,15,українським,,український,Ao-nsif,ADJ,O,
uk-122,7,16,законодавством,,законодавство,Ncnsin,NOUN,O,
uk-122,7,17,і,,і,Ccs,CCONJ,O,
uk-122,7,18,не,,не,Q,PART,O,
uk-122,7,19,можуть,,могти,Vmpip3p,VERB,O,
uk-122,7,20,бути,,бути,Vapn,AUX,O,
uk-122,7,21,відтворені,,відтворений,Ap--pns-ep,ADJ,O,
uk-122,7,22,у,,у,Spsl,ADP,O,
uk-122,7,23,будь-якій,,будь-який,Pi--f-sla,DET,O,
uk-122,7,24,формі,,форма,Ncfsln,NOUN,O,
uk-122,7,25,без,,без,Spsg,ADP,O,
uk-122,7,26,письмового,,письмовий,Ao-msgf,ADJ,O,
uk-122,7,27,дозволу,,дозвіл,Ncmsgn,NOUN,O,
uk-122,7,28,видавця,,видавець,Ncmsgy,NOUN,O,
uk-122,7,29,.,,.,U,PUNCT,O,
uk-122,8,1,При,,при,Spsl,ADP,O,
uk-122,8,2,використанні,,використання,Ncnsln,NOUN,O,
uk-122,8,3,наших,,наш,Pps1--pga,DET,O,
uk-122,8,4,публікацій,,публікація,Ncfpgn,NOUN,O,
uk-122,8,5,посилання,,посилання,Ncnpnn,NOUN,O,
uk-122,8,6,на,,на,Spsa,ADP,O,
uk-122,8,7,газету,,газета,Ncfsan,NOUN,O,
uk-122,8,8,обов'язкове,,обов’язковий,Ao-nsns,ADJ,O,
uk-122,8,9,.,,.,U,PUNCT,O,
uk-122,9,1,Всі,,весь,Pg----pna,DET,O,
uk-122,9,2,матеріали,,матеріал,Ncmpnn,NOUN,O,
uk-122,9,3,",",,",",U,PUNCT,O,
uk-122,9,4,розміщені,,розміщений,Ap--pns-ep,ADJ,O,
uk-122,9,5,на,,на,Spsl,ADP,O,
uk-122,9,6,цьому,,цей,Pd--m-sla,DET,O,
uk-122,9,7,сайті,,сайт,Ncmsln,NOUN,O,
uk-122,9,8,з,,з,Spsi,ADP,O,
uk-122,9,9,посиланням,,посилання,Ncnsin,NOUN,O,
uk-122,9,10,на,,на,Spsa,ADP,O,
uk-122,9,11,агентство,,агентство,Ncnsan,NOUN,O,
uk-122,9,12,«,Інтерфакс,«,U,PUNCT,B-ORG,ORG-Interfax-Ukraine
uk-122,9,13,Інтерфакс,-,Інтерфакс,Npmsnn,PROPN,I-ORG,ORG-Interfax-Ukraine
uk-122,9,14,-,Україна,-,U,PUNCT,I-ORG,ORG-Interfax-Ukraine
uk-122,9,15,Україна,PAD,Україна,Npfsnn,PROPN,I-ORG,ORG-Interfax-Ukraine
uk-122,9,16,»,PAD,»,U,PUNCT,I-ORG,ORG-Interfax-Ukraine
uk-122,9,17,",",,",",U,PUNCT,O,
uk-122,9,18,не,,не,Q,PART,O,
uk-122,9,19,підлягають,,підлягати,Vmpip3p,VERB,O,
uk-122,9,20,подальшому,,подальше,Ao-nsdf,ADJ,O,
uk-122,9,21,відтворенню,,відтворення,Ncnsdn,NOUN,O,
uk-122,9,22,та/чи,,такча,Ncfsgn,NOUN,O,
uk-122,9,23,розповсюдженню,,розповсюдження,Ncnsdn,NOUN,O,
uk-122,9,24,у,,у,Spsl,ADP,O,
uk-122,9,25,будь-якій,,будь-який,Pi--f-sla,DET,O,
uk-122,9,26,формі,,форма,Ncfsln,NOUN,O,
uk-122,9,27,",",,",",U,PUNCT,O,
uk-122,9,28,окрім,,окрім,Spsg,ADP,O,
uk-122,9,29,як,,як,Css,SCONJ,O,
uk-122,9,30,з,,з,Spsg,ADP,O,
uk-122,9,31,письмового,,письмовий,Ao-msgf,ADJ,O,
uk-122,9,32,дозволу,,дозвіл,Ncmsgn,NOUN,O,
uk-122,9,33,агентства,,агентство,Ncnsgn,NOUN,O,
uk-122,9,34,«,Інтерфакс,«,U,PUNCT,B-ORG,ORG-Interfax-Ukraine
uk-122,9,35,Інтерфакс,-,Інтерфакс,Npfsnn,PROPN,I-ORG,ORG-Interfax-Ukraine
uk-122,9,36,-,Україна,-,U,PUNCT,I-ORG,ORG-Interfax-Ukraine
uk-122,9,37,Україна,PAD,Україна,Npfsnn,PROPN,I-ORG,ORG-Interfax-Ukraine
uk-122,9,38,»,PAD,»,U,PUNCT,I-ORG,ORG-Interfax-Ukraine
uk-122,9,39,.,,.,U,PUNCT,O,
