docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
111,0,1,Jak,,jak,Db-------------,ADV,O,
111,0,2,Donald,donald,Donald,NNMS1-----A----,PROPN,B-PER,1
111,0,3,Trump,trump,Trump,NNMS1-----A----,PROPN,I-PER,1
111,0,4,vidí,,vidět,VB-S---3P-AA---,VERB,O,
111,0,5,vědu,,věda,NNFS4-----A----,NOUN,O,
111,0,6,?,,?,Z:-------------,PUNCT,O,
111,1,1,Koncept,,koncept,NNIS4-----A----,NOUN,O,
111,1,2,globálního,,globální,AANS2----1A----,ADJ,O,
111,1,3,oteplování,,oteplování,NNNS2-----A----,NOUN,O,
111,1,4,vytvořila,,vytvořit,VpQW---XR-AA---,VERB,O,
111,1,5,Čína,čína,Čína,NNFS1-----A----,PROPN,B-LOC,11
111,1,6,—,,—,Z:-------------,PUNCT,O,
111,1,7,ČT,,ČT,NNFXX-----A---8,PROPN,O,
111,1,8,24,,24,C=-------------,NUM,O,
111,1,9,—,,—,Z:-------------,PUNCT,O,
111,1,10,Česká,česká,český,AAFS1----1A----,ADJ,B-ORG,13
111,1,11,televize,televize,televize,NNFS1-----A----,NOUN,I-ORG,13
111,1,12,Souhrn,,souhrn,NNIS1-----A----,NOUN,O,
111,1,13,:,,:,Z:-------------,PUNCT,O,
111,1,14,Podle,,podle,RR--2----------,ADP,O,
111,1,15,posledních,,poslední,AANP2----1A----,ADJ,O,
111,1,16,vyjádření,,vyjádření,NNNP2-----A----,NOUN,O,
111,1,17,",",,",",Z:-------------,PUNCT,O,
111,1,18,která,,který,P4NP1----------,DET,O,
111,1,19,poskytl,,poskytnout,VpYS---XR-AA--1,VERB,O,
111,1,20,týden,,týden,NNIS4-----A----,NOUN,O,
111,1,21,před,,před,RR--7----------,ADP,O,
111,1,22,volbami,,volba,NNFP7-----A----,NOUN,O,
111,1,23,",",,",",Z:-------------,PUNCT,O,
111,1,24,by,,být,Vc-------------,AUX,O,
111,1,25,chtěl,,chtít,VpYS---XR-AA---,VERB,O,
111,1,26,Donald,donald,Donald,NNMS1-----A----,PROPN,B-PER,1
111,1,27,Trump,trump,Trump,NNMS1-----A----,PROPN,I-PER,1
111,1,28,ukončit,,ukončit,Vf--------A----,VERB,O,
111,1,29,všechny,,všechen,PLYP4----------,DET,O,
111,1,30,federální,,federální,AAIP4----1A----,ADJ,O,
111,1,31,programy,,program,NNIP4-----A----,NOUN,O,
111,1,32,věnované,,věnovaný,AAIP4----1A----,ADJ,O,
111,1,33,globálnímu,,globální,AANS3----1A----,ADJ,O,
111,1,34,oteplování,,oteplování,NNNS3-----A----,NOUN,O,
111,1,35,.,,.,Z:-------------,PUNCT,O,
111,2,1,Za,,za,RR--4----------,ADP,O,
111,2,2,dobu,,doba,NNFS4-----A----,NOUN,O,
111,2,3,svého,,svůj,P8ZS2----------,DET,O,
111,2,4,úřadu,,úřad,NNIS2-----A----,NOUN,O,
111,2,5,(,,(,Z:-------------,PUNCT,O,
111,2,6,počítá,,počítat,VB-S---3P-AA---,VERB,O,
111,2,7,se,,se,P7-X4----------,PRON,O,
111,2,8,dvojím,,dvojí,CrNS7----------,ADJ,O,
111,2,9,obdobím,,období,NNNS7-----A----,NOUN,O,
111,2,10,),,),Z:-------------,PUNCT,O,
111,2,11,by,,být,Vc-------------,AUX,O,
111,2,12,tak,,tak,Db-------------,ADV,O,
111,2,13,chtěl,,chtít,VpYS---XR-AA---,VERB,O,
111,2,14,ušetřit,,ušetřit,Vf--------A----,VERB,O,
111,2,15,asi,,asi,TT-------------,PART,O,
111,2,16,100,,100,C=-------------,NUM,O,
111,2,17,miliard,,miliarda,NNFP2-----A----,NOUN,O,
111,2,18,dolarů,,dolar,NNIP2-----A----,NOUN,O,
111,2,19,.,,.,Z:-------------,PUNCT,O,
111,3,1,Dopadlo,,dopadnout,VpNS---XR-AA--1,VERB,O,
111,3,2,by,,být,Vc-------------,AUX,O,
111,3,3,to,,ten,PDNS1----------,DET,O,
111,3,4,zřejmě,,zřejmě,Dg-------1A----,ADV,O,
111,3,5,i,,i,J^-------------,CCONJ,O,
111,3,6,na,,na,RR--6----------,ADP,O,
