docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
206,0,1,Donald,donald,Donald,Npmsn,PROPN,B-PER,1
206,0,2,Trump,trump,Trump,Npmsn,PROPN,I-PER,1
206,0,3,je,,biti,Var3s,AUX,O,
206,0,4,novi,,nov,Agpmsny,ADJ,O,
206,0,5,predsjednik,,predsjednik,Ncmsn,NOUN,O,
206,0,6,SAD-a,sad,SAD,Npmsg,PROPN,B-LOC,2
206,0,7,!,,!,Z,PUNCT,O,
206,1,1,Donald,donald,Donald,Npmsn,PROPN,B-PER,1
206,1,2,Trump,trump,Trump,Npmsn,PROPN,I-PER,1
206,1,3,je,,biti,Var3s,AUX,O,
206,1,4,novi,,nov,Agpmsny,ADJ,O,
206,1,5,predsjednik,,predsjednik,Ncmsn,NOUN,O,
206,1,6,SAD-a,sad,SAD,Npmsg,PROPN,B-LOC,2
206,1,7,!,,!,Z,PUNCT,O,
206,2,1,Republikanski,,republikanski,Agpmsny,ADJ,O,
206,2,2,kandidat,,kandidat,Ncmsn,NOUN,O,
206,2,3,ima,,imati,Vmr3s,VERB,O,
206,2,4,276,,276,Mdc,NUM,O,
206,2,5,elektora,,elektor,Ncmpg,NOUN,O,
206,2,6,",",,",",Z,PUNCT,O,
206,2,7,a,,a,Cc,CCONJ,O,
206,2,8,za,,za,Sa,ADP,O,
206,2,9,pobjedu,,pobjeda,Ncfsa,NOUN,O,
206,2,10,mu,,on,Pp3msd,PRON,O,
206,2,11,je,,biti,Var3s,AUX,O,
206,2,12,bilo,,biti,Vap-sn,AUX,O,
206,2,13,potrebno,,potreban,Agpnsny,ADJ,O,
206,2,14,270,,270,Mdc,NUM,O,
206,2,15,.,,.,Z,PUNCT,O,
206,3,1,Republikanski,,republikanski,Agpmsny,ADJ,O,
206,3,2,kandidat,,kandidat,Ncmsn,NOUN,O,
206,3,3,Donald,donald,Donald,Npmsn,PROPN,B-PER,1
206,3,4,Trump,trump,Trump,Npmsn,PROPN,I-PER,1
206,3,5,pobijedio,,pobijediti,Vmp-sm,VERB,O,
206,3,6,je,,biti,Var3s,AUX,O,
206,3,7,Hillary,hillary,Hillary,Npmsa,PROPN,B-PER,3
206,3,8,Clinton,clinton,Clinton,Npmsn,PROPN,I-PER,3
206,3,9,na,,na,Sl,ADP,O,
206,3,10,predsjedničkim,,predsjednički,Agpmply,ADJ,O,
206,3,11,izborima,,izbor,Ncmpl,NOUN,O,
206,3,12,u,,u,Sl,ADP,O,
206,3,13,Americi,amerika,Amerika,Npfsl,PROPN,B-LOC,2
206,3,14,!,,!,Z,PUNCT,O,
206,4,1,U,,u,Sl,ADP,O,
206,4,2,ovom,,ovaj,Pd-msl,DET,O,
206,4,3,trenutku,,trenutak,Ncmsl,NOUN,O,
206,4,4,",",,",",Z,PUNCT,O,
206,4,5,prema,,prema,Sl,ADP,O,
206,4,6,prvim,,prvi,Mlompl,ADJ,O,
206,4,7,rezultatima,,rezultat,Ncmpl,NOUN,O,
206,4,8,",",,",",Z,PUNCT,O,
206,4,9,Trump,trump,Trump,Npmsn,PROPN,B-PER,1
206,4,10,ima,,imati,Vmr3s,VERB,O,
206,4,11,276,,276,Mdc,NUM,O,
206,4,12,elektora,,elektor,Ncmpg,NOUN,O,
206,4,13,",",,",",Z,PUNCT,O,
206,4,14,a,,a,Cc,CCONJ,O,
206,4,15,za,,za,Sa,ADP,O,
206,4,16,trijumf,,trijumf,Ncmsan,NOUN,O,
206,4,17,mu,,on,Pp3msd,PRON,O,
206,4,18,je,,biti,Var3s,AUX,O,
206,4,19,bilo,,biti,Vap-sn,AUX,O,
206,4,20,potrebno,,potreban,Agpnsny,ADJ,O,
206,4,21,270.,,270.,Mdo,ADJ,O,
206,4,22,Hillary,hillary,Hillary,Npmsn,PROPN,B-PER,3
206,4,23,Clinton,clinton,Clinton,Npmsn,PROPN,I-PER,3
206,4,24,pak,,pak,Qo,PART,O,
206,4,25,ima,,imati,Vmr3s,VERB,O,
206,4,26,218,,218,Mdc,NUM,O,
206,4,27,elektora,,elektor,Ncmpg,NOUN,O,
206,4,28,.,,.,Z,PUNCT,O,
206,5,1,Ranije,,rano,Rgc,ADV,O,
206,5,2,objavljeno,,objaviti,Appnsny,ADJ,O,
206,5,3,:,,:,Z,PUNCT,O,
206,5,4,Rano,,ran,Rgp,ADV,O,
206,5,5,jutros,,jutros,Rgp,ADV,O,
206,5,6,se,,sebe,Px--sa,PRON,O,
206,5,7,čini,,činiti,Vmr3s,VERB,O,
206,5,8,da,,da,Cs,SCONJ,O,
206,5,9,će,,htjeti,Var3s,AUX,O,
206,5,10,Donald,donald,Donald,Npmsn,PROPN,B-PER,1
206,5,11,Trump,trump,Trump,Npmsn,PROPN,I-PER,1
206,5,12,postati,,postati,Vmn,VERB,O,
206,5,13,novi,,nov,Agpmsny,ADJ,O,
206,5,14,predsjednik,,predsjednik,Ncmsn,NOUN,O,
206,5,15,SAD-a,sad,SAD,Npmsg,PROPN,B-LOC,2
206,5,16,!,,!,Z,PUNCT,O,
206,6,1,Naime,,naime,Rgp,ADV,O,
206,6,2,",",,",",Z,PUNCT,O,
206,6,3,prema,,prema,Sl,ADP,O,
206,6,4,najnovijoj,,nov,Agsfsly,ADJ,O,
206,6,5,projekciji,,projekcija,Ncfsl,NOUN,O,
206,6,6,CNN-a,cnn,CNN,Npmsg,PROPN,B-ORG,385
206,6,7,Donald,donald,Donald,Npmsn,PROPN,B-PER,1
206,6,8,Trump,trump,Trump,Npmsn,PROPN,I-PER,1
206,6,9,ima,,imati,Vmr3s,VERB,O,
206,6,10,244,,244,Mdc,NUM,O,
206,6,11,",",,",",Z,PUNCT,O,
206,6,12,a,,a,Cc,CCONJ,O,
206,6,13,Hillary,hillary,Hillary,Npmsn,PROPN,B-PER,3
206,6,14,Clinton,clinton,Clinton,Npmsn,PROPN,I-PER,3
206,6,15,215,,215,Mdc,NUM,O,
206,6,16,elektorskih,,elektorski,Agpmpgy,ADJ,O,
206,6,17,glasova,,glas,Ncmpg,NOUN,O,
206,6,18,",",,",",Z,PUNCT,O,
206,6,19,a,,a,Cc,CCONJ,O,
