docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
243,0,1,Обнаженка,,обнаженка,,NOUN,O,
243,0,2,",",,",",,PUNCT,O,
243,0,3,Дональд,дональд,Дональд,,PROPN,B-PER,1
243,0,4,Трамп,трамп,Трамп,,PROPN,I-PER,1
243,0,5,и,,и,,CCONJ,O,
243,0,6,«,,«,,NOUN,O,
243,0,7,Манекен,«манекен,манекен,,NOUN,B-MISC,10102
243,0,8,челендж»,челендж»,челендж»,,NOUN,I-MISC,10102
243,0,9,в,,в,,ADP,O,
243,0,10,новом,,новый,,ADJ,O,
243,0,11,клипе,,клипа,,NOUN,O,
243,0,12,SEREBRO,serebro,SEREBRO,,PROPN,B-ORG,10059
243,0,13,-,,-,,PUNCT,O,
243,0,14,Культура,,культура,,PROPN,O,
243,0,15,|,,|,,PUNCT,O,
243,0,16,Караван,,Караван,,PROPN,O,
243,0,17,В,,в,,ADP,O,
243,0,18,ролике,,ролик,,NOUN,O,
243,0,19,",",,",",,PUNCT,O,
243,0,20,как,,как,,SCONJ,O,
243,0,21,всегда,,всегда,,ADV,O,
243,0,22,",",,",",,PUNCT,O,
243,0,23,много,,много,,ADV,O,
243,0,24,обнаженного,,обнажить,,VERB,O,
243,0,25,тела,,тело,,NOUN,O,
243,0,26,",",,",",,PUNCT,O,
243,0,27,танцы,,танец,,NOUN,O,
243,0,28,и,,и,,CCONJ,O,
243,0,29,зажигательная,,зажигательный,,ADJ,O,
243,0,30,мелодия,,мелодия,,NOUN,O,
243,0,31,.,,.,,PUNCT,O,
243,1,1,По,,по,,ADP,O,
243,1,2,сюжету,,сюжет,,NOUN,O,
243,1,3,солистки,,солистка,,NOUN,O,
243,1,4,поют,,петь,,VERB,O,
243,1,5,на,,на,,ADP,O,
243,1,6,сцене,,сцена,,NOUN,O,
243,1,7,в,,в,,ADP,O,
243,1,8,спортивном,,спортивный,,ADJ,O,
243,1,9,зале,,зал,,NOUN,O,
