docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
297,0,1,www.pozitivke.net,,www.pozitivke.net,Npmsn,PROPN,O,
297,0,2,-,,-,Z,PUNCT,O,
297,0,3,Kaj,,kaj,Pq-nsa,PRON,O,
297,0,4,imajo,,imeti,Vmpr3p-n,VERB,O,
297,0,5,skupnega,,skupen,Agpmsa,ADJ,O,
297,0,6,Donald,donald,Donald,Npmsn,PROPN,B-PER,1
297,0,7,Trump,trump,Trump,Npmsn,PROPN,I-PER,1
297,0,8,",",,",",Z,PUNCT,O,
297,0,9,prevarantski,,prevarantski,Agpmsny,ADJ,O,
297,0,10,guru,,guru,Ncmsn,NOUN,O,
297,0,11,in,,in,Cc,CCONJ,O,
297,0,12,Hitler,hitlerji,Hitler,Npmsn,PROPN,B-PER,20608
297,0,13,?,,?,Z,PUNCT,O,
297,1,1,Ampak,,ampak,Cc,CCONJ,O,
297,1,2,ne,,ne,Q,PART,O,
297,1,3,bomo,,biti,Va-f1p-n,AUX,O,
297,1,4,se,,se,Px------y,PRON,O,
297,1,5,zadovoljili,,zadovoljiti,Vmep-pm,VERB,O,
297,1,6,s,,z,Si,ADP,O,
297,1,7,takim,,tak,Pd-msi,DET,O,
297,1,8,kratkim,,kratek,Agpmsi,ADJ,O,
297,1,9,odgovorom,,odgovor,Ncmsi,NOUN,O,
297,1,10,.,,.,Z,PUNCT,O,
297,2,1,Moramo,,morati,Vmpr1p,VERB,O,
297,2,2,biti,,biti,Va-n,AUX,O,
297,2,3,malce,,malce,Rgp,ADV,O,
297,2,4,bolj,,bolj,Rgc,ADV,O,
297,2,5,metodični,,metodičen,Agpmpn,ADJ,O,
297,2,6,in,,in,Cc,CCONJ,O,
297,2,7,svoje,,svoj,Px-fpa,DET,O,
297,2,8,trditve,,trditev,Ncfpa,NOUN,O,
297,2,9,podpreti,,podpreti,Vmen,VERB,O,
297,2,10,s,,z,Si,ADP,O,
297,2,11,konkretnimi,,konkreten,Agpfpi,ADJ,O,
297,2,12,zadevami,,zadeva,Ncfpi,NOUN,O,
297,2,13,.,,.,Z,PUNCT,O,
297,3,1,Začnimo,,začeti,Vmem1p,VERB,O,
297,3,2,z,,z,Si,ADP,O,
297,3,3,Donaldom,donald,Donald,Npmsi,PROPN,B-PER,1
297,3,4,Trumpom,trump,Trump,Npmsi,PROPN,I-PER,1
297,3,5,.,,.,Z,PUNCT,O,
297,4,1,Koga,,kdo,Pq-msa,PRON,O,
297,4,2,skuša,,skušati,Vmpr3s,VERB,O,
297,4,3,prevarati,,prevarati,Vmen,VERB,O,
297,4,4,?,,?,Z,PUNCT,O,
297,5,1,Ameriški,,ameriški,Agpmsny,ADJ,O,
297,5,2,narod,,narod,Ncmsn,NOUN,O,
297,5,3,.,,.,Z,PUNCT,O,
297,6,1,Kako,,kako,Rgp,ADV,O,
297,6,2,skuša,,skušati,Vmpr3s,VERB,O,
297,6,3,prevarati,,prevarati,Vmen,VERB,O,
297,6,4,svoje,,svoj,Px-mpa,DET,O,
297,6,5,sodržavljane,,sodržavljan,Ncmpa,NOUN,O,
297,6,6,?,,?,Z,PUNCT,O,
297,7,1,Tako,,tako,Rgp,ADV,O,
297,7,2,",",,",",Z,PUNCT,O,
297,7,3,da,,da,Cs,SCONJ,O,
297,7,4,jim,,on,Pp3mpd--y,PRON,O,
297,7,5,obljublja,,obljubljati,Vmpr3s,VERB,O,
297,7,6,stvari,,stvar,Ncfpa,NOUN,O,
297,7,7,",",,",",Z,PUNCT,O,
297,7,8,ki,,ki,Cs,SCONJ,O,
297,7,9,jih,,on,Pp3mpa--y,PRON,O,
297,7,10,nikoli,,nikoli,Rgp,ADV,O,
297,7,11,ne,,ne,Q,PART,O,
297,7,12,bo,,biti,Va-f3s-n,AUX,O,
297,7,13,realiziral,,realizirati,Vmbp-sm,VERB,O,
297,7,14,",",,",",Z,PUNCT,O,
297,7,15,če,,če,Cs,SCONJ,O,
