docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
404,0,1,Трамп,трампа,Трамп,Npmsny,PROPN,B-PER,1
404,0,2,оголосив,,оголосити,Vmeis-sm,VERB,O,
404,0,3,свої,,свій,Pps--npaa,DET,O,
404,0,4,плани,,план,Ncmpan,NOUN,O,
404,0,5,на,,на,Spsa,ADP,O,
404,0,6,перші,,перший,Mlo-pan,ADJ,O,
404,0,7,100,,100,Mlc-a,NUM,O,
404,0,8,днів,,день,Ncmpgn,NOUN,O,
404,0,9,президентства,,президентство,Ncnsgn,NOUN,O,
404,0,10,|,,|,U,PUNCT,O,
404,0,11,Європейська,,європейський,Ao-fsns,ADJ,O,
404,0,12,правда,,правда,Ncfsnn,NOUN,O,
404,0,13,Новообраний,,новообраний,Ap-msnf-ep,ADJ,O,
404,0,14,президент,,президент,Ncmsny,NOUN,O,
404,0,15,США,сша,США,Np-pgn,PROPN,B-LOC,2
404,0,16,Дональд,дональд,Дональд,Npmsny,PROPN,B-PER,1
404,0,17,Трамп,трамп,Трамп,Npmsny,PROPN,I-PER,1
404,0,18,оголосив,,оголосити,Vmeis-sm,VERB,O,
404,0,19,про,,про,Spsa,ADP,O,
404,0,20,свої,,свій,Pps--npaa,DET,O,
404,0,21,плани,,план,Ncmpan,NOUN,O,
404,0,22,на,,на,Spsa,ADP,O,
404,0,23,перші,,перший,Mlo-pan,ADJ,O,
404,0,24,100,,100,Mlc-a,NUM,O,
404,0,25,днів,,день,Ncmpgn,NOUN,O,
404,0,26,президентства,,президентство,Ncnsgn,NOUN,O,
404,0,27,.,,.,U,PUNCT,O,
404,1,1,У,,у,Spsl,ADP,O,
404,1,2,своєму,,свій,Pps-n-sla,DET,O,
404,1,3,відеозверненні,,відеозвернення,Ncnsln,NOUN,O,
404,1,4,Трамп,трампа,Трамп,Npmsny,PROPN,B-PER,1
404,1,5,розповів,,розповісти,Vmeis-sm,VERB,O,
404,1,6,про,,про,Spsa,ADP,O,
404,1,7,реформи,,реформа,Ncfpan,NOUN,O,
404,1,8,",",,",",U,PUNCT,O,
404,1,9,які,,який,Pr----pna,DET,O,
404,1,10,майже,,майже,R,ADV,O,
404,1,11,повністю,,повністю,R,ADV,O,
404,1,12,повторюють,,повторювати,Vmpip3p,VERB,O,
404,1,13,основні,,основний,Ao--pasn,ADJ,O,
404,1,14,пункти,,пункт,Ncmpan,NOUN,O,
404,1,15,його,,його,Pps3f-sga,DET,O,
404,1,16,передвиборчої,,передвиборчий,Ao-fsgf,ADJ,O,
404,1,17,програми,,програма,Ncfsgn,NOUN,O,
404,1,18,і,,і,Ccs,CCONJ,O,
404,1,19,стосуються,,стосуватися,Vmpip3p,VERB,O,
404,1,20,торгових,,торговий,Ao--pgf,ADJ,O,
404,1,21,угод,,угода,Ncfpgn,NOUN,O,
404,1,22,",",,",",U,PUNCT,O,
404,1,23,енергетики,,енергетика,Ncfsgn,NOUN,O,
404,1,24,",",,",",U,PUNCT,O,
404,1,25,міграції,,міграція,Ncfsgn,NOUN,O,
404,1,26,",",,",",U,PUNCT,O,
404,1,27,національної,,національний,Ao-fsgf,ADJ,O,
404,1,28,безпеки,,безпека,Ncfsgn,NOUN,O,
404,1,29,і,,і,Ccs,CCONJ,O,
404,1,30,держуправління,,держуправління,Ncnsgn,NOUN,O,
404,1,31,",",,",",U,PUNCT,O,
404,1,32,повідомляє,,повідомляти,Vmpip3s,VERB,O,
404,1,33,Зокрема,,зокрема,R,ADV,O,
404,1,34,",",,",",U,PUNCT,O,
404,1,35,за,,за,Spsi,ADP,O,
404,1,36,словами,,слово,Ncnpin,NOUN,O,
404,1,37,Трампа,трампа,Трамп,Npmsgy,PROPN,B-PER,1
404,1,38,",",,",",U,PUNCT,O,
404,1,39,у,,у,Spsa,ADP,O,
404,1,40,перший,,перший,Mlomsan,ADJ,O,
404,1,41,же,,же,Q,PART,O,
404,1,42,день,,день,Ncmsan,NOUN,O,
404,1,43,він,,він,Pp-3m-snn,PRON,O,
404,1,44,планує,,планувати,Vmpip3s,VERB,O,
404,1,45,повідомити,,повідомити,Vmen,VERB,O,
404,1,46,про,,про,Spsa,ADP,O,
404,1,47,намір,,намір,Ncmsan,NOUN,O,
404,1,48,вийти,,вийти,Vmen,VERB,O,
404,1,49,з,,з,Spsg,ADP,O,
404,1,50,угоди,,угода,Ncfsgn,NOUN,O,
404,1,51,про,,про,Spsa,ADP,O,
