docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
237,0,1,Ъ-Новости,,п-новость,,NOUN,O,
237,0,2,-,,-,,PUNCT,O,
237,0,3,Дональд,дональд,Дональд,,PROPN,B-PER,1.0
237,0,4,Трамп,трамп,Трамп,,PROPN,I-PER,1.0
237,0,5,осудил,,осудить,,VERB,O,
237,0,6,убийство,,убийство,,NOUN,O,
237,0,7,российского,,российский,,ADJ,O,
237,0,8,посла,,посол,,NOUN,O,
237,0,9,в,,в,,ADP,O,
237,0,10,Турции,турция,Турция,,PROPN,B-LOC,10038.0
237,0,11,Избранный,,избрать,,VERB,O,
237,0,12,президент,,президент,,NOUN,O,
237,0,13,США,сша,США,,PROPN,B-LOC,2.0
237,0,14,Дональд,дональд,Дональд,,PROPN,B-PER,1.0
237,0,15,Трамп,трамп,Трамп,,PROPN,I-PER,1.0
237,0,16,осудил,,осудить,,VERB,O,
237,0,17,убийство,,убийство,,NOUN,O,
237,0,18,российского,,российский,,ADJ,O,
237,0,19,посла,,посол,,NOUN,O,
237,0,20,в,,в,,ADP,O,
237,0,21,Анкаре,анкара,Анкара,,PROPN,B-LOC,324.0
237,0,22,Андрея,андрей,Андрей,,PROPN,B-PER,10040.0
237,0,23,Карлова,карлов,Карлов,,PROPN,I-PER,10040.0
237,0,24,.,,.,,PUNCT,O,
237,1,1,«,,«,,PUNCT,O,
237,1,2,Сегодня,,сегодня,,ADV,O,
237,1,3,мы,,мы,,PRON,O,
237,1,4,выражаем,,выражать,,VERB,O,
237,1,5,наши,,наш,,DET,O,
237,1,6,соболезнования,,соболезнование,,NOUN,O,
237,1,7,семье,,семья,,NOUN,O,
237,1,8,и,,и,,CCONJ,O,
237,1,9,близким,,близкий,,ADJ,O,
237,1,10,российского,,российский,,ADJ,O,
237,1,11,посла,,посол,,NOUN,O,
237,1,12,в,,в,,ADP,O,
237,1,13,Турции,турция,Турция,,PROPN,B-LOC,10038.0
237,1,14,Андрея,андрей,Андрей,,PROPN,B-PER,10040.0
237,1,15,Карлова,карлов,Карлов,,PROPN,I-PER,10040.0
237,1,16,",",,",",,PUNCT,O,
237,1,17,который,,который,,PRON,O,
237,1,18,был,,быть,,AUX,O,
237,1,19,убит,,убить,,VERB,O,
237,1,20,радикальным,,радикальный,,ADJ,O,
237,1,21,исламистским,,исламистский,,ADJ,O,
237,1,22,террористом,,террорист,,NOUN,O,
237,1,23,.,,.,,PUNCT,O,
237,2,1,Убийство,,убийство,,NOUN,O,
237,2,2,посла,,посол,,NOUN,O,
237,2,3,является,,являться,,VERB,O,
237,2,4,нарушением,,нарушение,,NOUN,O,
237,2,5,всех,,весь,,DET,O,
237,2,6,правил,,правило,,NOUN,O,
237,2,7,жизни,,жизнь,,NOUN,O,
237,2,8,в,,в,,ADP,O,
237,2,9,цивилизованном,,цивилизованный,,VERB,O,
237,2,10,мире,,мир,,NOUN,O,
237,2,11,и,,и,,CCONJ,O,
237,2,12,должно,,должен,,ADJ,O,
237,2,13,быть,,быть,,AUX,O,
