docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
101,0,1,Evropská,evropská,evropský,AAFS1----1A----,ADJ,B-ORG,1
101,0,2,komise,komise,komise,NNFS1-----A----,NOUN,I-ORG,1
101,0,3,chce,,chtít,VB-S---3P-AA---,VERB,O,
101,0,4,regulovat,,regulovat,Vf--------A----,VERB,O,
101,0,5,chatovací,,chatovací,AAFP4----1A----,ADJ,O,
101,0,6,aplikace,,aplikace,NNFP4-----A----,NOUN,O,
101,0,7,jako,,jako,"J,-------------",SCONJ,O,
101,0,8,operátory,,operátor,NNIP4-----A----,NOUN,O,
101,0,9,-,,-,Z:-------------,PUNCT,O,
101,0,10,Lupa,lupa,lupa,NNFS1-----A----,NOUN,B-ORG,79
101,0,11,.,.,.,Z:-------------,PUNCT,I-ORG,79
101,1,1,cz,cz,cz,NNIS1-----A----,NOUN,I-ORG,79
101,1,2,Komise,,komise,NNFS1-----A----,NOUN,O,
101,1,3,se,,se,P7-X4----------,PRON,O,
101,1,4,tak,,tak,Db-------------,ADV,O,
101,1,5,podle,,podle,RR--2----------,ADP,O,
101,1,6,a,,a,J^-------------,CCONJ,O,
101,1,7,Reuters,,Reuters,NNMS1-----A----,PROPN,O,
101,1,8,chystá,,chystat,VB-S---3P-AA---,VERB,O,
101,1,9,rozšířit,,rozšířit,Vf--------A----,VERB,O,
101,1,10,povinnost,,povinnost,NNFS4-----A----,NOUN,O,
101,1,11,dodržovat,,dodržovat,Vf--------A----,VERB,O,
101,1,12,některá,,některý,PZNP4----------,DET,O,
101,1,13,pravidla,,pravidlo,NNNP4-----A----,NOUN,O,
101,1,14,i,,i,J^-------------,CCONJ,O,
101,1,15,na,,na,RR--4----------,ADP,O,
101,1,16,poskytovatele,,poskytovatel,NNMP4-----A----,NOUN,O,
101,1,17,těchto,,tento,PDXP2----------,DET,O,
101,1,18,služeb,,služba,NNFP2-----A----,NOUN,O,
101,1,19,.,,.,Z:-------------,PUNCT,O,
101,2,1,Jak,,jak,Db-------------,ADV,O,
101,2,2,konkrétně,,konkrétně,Dg-------1A----,ADV,O,
101,2,3,",",,",",Z:-------------,PUNCT,O,
101,2,4,to,,ten,PDNS4----------,DET,O,
101,2,5,mají,,mít,VB-P---3P-AA---,VERB,O,
101,2,6,úředníci,,úředník,NNMP1-----A----,NOUN,O,
101,2,7,odhalit,,odhalit,Vf--------A----,VERB,O,
101,2,8,v,,v,RR--6----------,ADP,O,
101,2,9,průběhu,,průběh,NNIS6-----A----,NOUN,O,
101,2,10,září,,září,NNNS2-----A----,NOUN,O,
101,2,11,.,,.,Z:-------------,PUNCT,O,
101,3,1,Hlavní,,hlavní,AAFP1----1A----,ADJ,O,
101,3,2,změny,,změna,NNFP1-----A----,NOUN,O,
101,3,3,by,,být,Vc-------------,AUX,O,
101,3,4,měly,,mít,VpTP---XR-AA---,VERB,O,
101,3,5,spočívat,,spočívat,Vf--------A----,VERB,O,
101,3,6,v,,v,RR--6----------,ADP,O,
101,3,7,tom,,ten,PDZS6----------,DET,O,
101,3,8,",",,",",Z:-------------,PUNCT,O,
101,3,9,že,,že,"J,-------------",SCONJ,O,
101,3,10,by,,být,Vc-------------,AUX,O,
101,3,11,aplikace,,aplikace,NNFP1-----A----,NOUN,O,
101,3,12,–,,–,Z:-------------,PUNCT,O,
101,3,13,podobně,,podobně,Dg-------1A----,ADV,O,
101,3,14,jako,,jako,"J,-------------",SCONJ,O,
101,3,15,telekomunikační,,telekomunikační,AAFP1----1A----,ADJ,O,
101,3,16,firmy,,firma,NNFP1-----A----,NOUN,O,
101,3,17,–,,–,Z:-------------,PUNCT,O,
101,3,18,musely,,muset,VpTP---XR-AA---,VERB,O,
101,3,19,umožnit,,umožnit,Vf--------A----,VERB,O,
101,3,20,přístup,,přístup,NNIS4-----A----,NOUN,O,
101,3,21,ke,,k,RV--3----------,ADP,O,
101,3,22,komunikaci,,komunikace,NNFS3-----A----,NOUN,O,
101,3,23,bezpečnostním,,bezpečnostní,AAFP3----1A----,ADJ,O,
101,3,24,složkám,,složka,NNFP3-----A----,NOUN,O,
101,3,25,.,,.,Z:-------------,PUNCT,O,
101,4,1,Změnit,,změnit,Vf--------A----,VERB,O,
101,4,2,by,,být,Vc-------------,AUX,O,
101,4,3,se,,se,P7-X4----------,PRON,O,
101,4,4,ale,,ale,J^-------------,CCONJ,O,
101,4,5,mělo,,mít,VpNS---XR-AA---,VERB,O,
101,4,6,i,,i,J^-------------,CCONJ,O,
101,4,7,to,,ten,PDNS1----------,DET,O,
101,4,8,",",,",",Z:-------------,PUNCT,O,
101,4,9,jakým,,jaký,P4ZS7----------,DET,O,
101,4,10,způsobem,,způsob,NNIS7-----A----,NOUN,O,
101,4,11,mohou,,moci,VB-P---3P-AA--1,VERB,O,
101,4,12,využívat,,využívat,Vf--------A----,VERB,O,
101,4,13,data,,data,NNNP4-----A----,NOUN,O,
101,4,14,o,,o,RR--6----------,ADP,O,
101,4,15,uživatelích,,uživatel,NNMP6-----A----,NOUN,O,
101,4,16,pro,,pro,RR--4----------,ADP,O,
101,4,17,komerční,,komerční,AAIP4----1A----,ADJ,O,
101,4,18,účely,,účel,NNIP4-----A----,NOUN,O,
101,4,19,.,,.,Z:-------------,PUNCT,O,
101,5,1,V,,v,RR--6----------,ADP,O,
101,5,2,tomto,,tento,PDZS6----------,DET,O,
101,5,3,ohledu,,ohled,NNIS6-----A----,NOUN,O,
101,5,4,jsou,,být,VB-P---3P-AA---,AUX,O,
101,5,5,operátoři,,operátor,NNMP1-----A----,NOUN,O,
101,5,6,mnohem,,mnohem,Db-------------,ADV,O,
101,5,7,více,,hodně,Dg-------2A----,ADV,O,
101,5,8,omezení,,omezení,NNNP2-----A----,NOUN,O,
101,5,9,.,,.,Z:-------------,PUNCT,O,
101,6,1,Na,,na,RR--4----------,ADP,O,
101,6,2,snahu,,snaha,NNFS4-----A----,NOUN,O,
101,6,3,Komise,,komise,NNFS2-----A----,NOUN,O,
101,6,4,se,,se,P7-X4----------,PRON,O,
101,6,5,lze,,lze,VB-S---3P-AA---,VERB,O,
101,6,6,dívat,,dívat,Vf--------A----,VERB,O,
101,6,7,z,,z,RR--2----------,ADP,O,
101,6,8,několika,,několik,Ca--2----------,DET,O,
101,6,9,pohledů,,pohled,NNIP2-----A----,NOUN,O,
101,6,10,.,,.,Z:-------------,PUNCT,O,
101,7,1,Tím,,ten,PDZS7----------,DET,O,
101,7,2,jedním,,jeden,ClZS7----------,NUM,O,
101,7,3,je,,být,VB-S---3P-AA---,AUX,O,
101,7,4,otázka,,otázka,NNFS1-----A----,NOUN,O,
101,7,5,soukromí,,soukromí,NNNS2-----A----,NOUN,O,
101,7,6,a,,a,J^-------------,CCONJ,O,
101,7,7,argumentace,,argumentace,NNFS2-----A----,NOUN,O,
101,7,8,„bojem,,vboj,NNIS7-----A----,NOUN,O,
101,7,9,proti,,proti,RR--3----------,ADP,O,
101,7,10,terorismu“,,terorismu“,NNIS3-----A----,NOUN,O,
101,7,11,k,,k,RR--3----------,ADP,O,
101,7,12,dalším,,další,AAFP3----1A----,ADJ,O,
101,7,13,a,,a,J^-------------,CCONJ,O,
101,7,14,dalším,,další,AAFP3----1A----,ADJ,O,
101,7,15,změnám,,změna,NNFP3-----A----,NOUN,O,
101,7,16,k,,k,RR--3----------,ADP,O,
101,7,17,horšímu,,špatný,AANS3----2A----,ADJ,O,
101,7,18,.,,.,Z:-------------,PUNCT,O,
101,8,1,Druhý,,druhý,CrIS1----------,ADJ,O,
101,8,2,pohled,,pohled,NNIS1-----A----,NOUN,O,
101,8,3,",",,",",Z:-------------,PUNCT,O,
101,8,4,v,,v,RR--6----------,ADP,O,
101,8,5,tomto,,tento,PDZS6----------,DET,O,
101,8,6,případě,,případ,NNIS6-----A----,NOUN,O,
101,8,7,také,,také,Db-------------,ADV,O,
101,8,8,hodně,,hodně,Dg-------1A----,ADV,O,
101,8,9,pravděpodobný,,pravděpodobný,AAIS1----1A----,ADJ,O,
101,8,10,",",,",",Z:-------------,PUNCT,O,
101,8,11,je,,být,VB-S---3P-AA---,AUX,O,
101,8,12,vítězství,,vítězství,NNNS1-----A----,NOUN,O,
101,8,13,lobby,,lobby,NNFXX-----A----,NOUN,O,
101,8,14,telco,,telco,NNIS1-----A----,NOUN,O,
101,8,15,operátorů,,operátor,NNMP2-----A----,NOUN,O,
101,8,16,",",,",",Z:-------------,PUNCT,O,
101,8,17,kterým,,který,P4XP3----------,DET,O,
101,8,18,chatovací,,chatovací,AAFP1----1A----,ADJ,O,
101,8,19,aplikace,,aplikace,NNFP1-----A----,NOUN,O,
101,8,20,už,,už,Db-------------,ADV,O,
101,8,21,delší,,dlouhý,AAFS4----2A----,ADJ,O,
101,8,22,dobu,,doba,NNFS4-----A----,NOUN,O,
101,8,23,likvidují,,likvidovat,VB-P---3P-AA---,VERB,O,
101,8,24,doposud,,doposud,Db-------------,ADV,O,
101,8,25,poměrně,,poměrně,Dg-------1A----,ADV,O,
101,8,26,zajímavý,,zajímavý,AAIS4----1A----,ADJ,O,
