docId,sentenceId,tokenId,text,lemma,ner,clID
121,0,1,Evropská,evropská,B-ORG,1
121,0,2,komise,komise,I-ORG,1
121,0,3,Microsoftu,microsoft,B-ORG,25
121,0,4,schválila,,O,
121,0,5,převzetí,,O,
121,0,6,sítě,,O,
121,0,7,LinkedIn,linkedin,B-ORG,26
121,0,8,|,,O,
121,0,9,ČeskéNoviny,českénoviny,B-ORG,27
121,0,10,.,.,I-ORG,27
121,1,1,cz,cz,I-ORG,27
121,1,2,Brusel,brusel,B-LOC,28
121,1,3,-,,O,
121,2,1,Evropská,,O,
121,2,2,komise,,O,
121,2,3,schválila,,O,
121,2,4,americké,,O,
121,2,5,softwarové,,O,
121,2,6,společnosti,,O,
121,2,7,Microsoft,,O,
121,2,8,záměr,,O,
121,2,9,koupit,,O,
121,2,10,za,,O,
121,2,11,26,,O,
121,2,12,miliard,,O,
121,2,13,dolarů,,O,
121,2,14,(,,O,
121,2,15,655,,O,
121,2,16,miliard,,O,
121,2,17,Kč,,O,
121,2,18,),,O,
121,2,19,internetovou,,O,
121,2,20,sociální,,O,
121,2,21,síť,,O,
121,2,22,LinkedIn,,O,
121,2,23,.,,O,
121,3,1,V,,O,
121,3,2,dnešním,,O,
121,3,3,sdělení,,O,
121,3,4,komise,,O,
121,3,5,uvedla,,O,
121,3,6,",",,O,
121,3,7,že,,O,
121,3,8,její,,O,
121,3,9,souhlas,,O,
121,3,10,je,,O,
121,3,11,podmíněn,,O,
121,3,12,několika,,O,
121,3,13,požadavky,,O,
121,3,14,",",,O,
121,3,15,jejichž,,O,
121,3,16,splnění,,O,
121,3,17,by,,O,
121,3,18,mělo,,O,
121,3,19,zachovat,,O,
121,3,20,konkurenci,,O,
121,3,21,na,,O,
121,3,22,poli,,O,
121,3,23,sociálních,,O,
121,3,24,sítí,,O,
121,3,25,pro,,O,
121,3,26,odborné,,O,
121,3,27,pracovníky,,O,
121,3,28,v,,O,
121,3,29,Evropě,evropa,B-LOC,9
121,3,30,.,,O,
121,4,1,Pro,,O,
121,4,2,Microsoft,,O,
121,4,3,je,,O,
121,4,4,převzetí,,O,
121,4,5,sítě,,O,
121,4,6,Linked,,O,
121,5,1,In,,O,
121,5,2,zdaleka,,O,
121,5,3,největší,,O,
121,5,4,akvizicí,,O,
121,5,5,v,,O,
121,5,6,jeho,,O,
121,5,7,dosavadní,,O,
121,5,8,historii,,O,
121,5,9,.,,O,
121,6,1,Transakci,,O,
121,6,2,již,,O,
121,6,3,schválily,,O,
121,6,4,antimonopolní,,O,
121,6,5,úřady,,O,
121,6,6,v,,O,
121,6,7,USA,usa,B-LOC,11
121,6,8,",",,O,
121,6,9,Kanadě,kanada,B-LOC,29
121,6,10,",",,O,
121,6,11,Brazílii,brazílie,B-LOC,30
121,6,12,a,,O,
121,6,13,Jihoafrické,jihoafrická,B-LOC,31
121,6,14,republice,republika,I-LOC,31
121,6,15,.,,O,
121,7,1,Microsoft,,O,
121,7,2,ve,,O,
121,7,3,snaze,,O,
121,7,4,získat,,O,
121,7,5,souhlas,,O,
121,7,6,Bruselu,,O,
121,7,7,nabídl,,O,
121,7,8,několik,,O,
121,7,9,ústupků,,O,
121,7,10,.,,O,
121,8,1,Zejména,,O,
121,8,2,slíbil,,O,
121,8,3,",",,O,
121,8,4,že,,O,
121,8,5,výrobci,,O,
121,8,6,a,,O,
121,8,7,distributoři,,O,
121,8,8,osobních,,O,
121,8,9,počítačů,,O,
121,8,10,nebudou,,O,
121,8,11,muset,,O,
121,8,12,do,,O,
121,8,13,počítačů,,O,
121,8,14,s,,O,
121,8,15,operačním,,O,
121,8,16,systémem,,O,
121,8,17,Windows,windows,B-MISC,32
121,8,18,instalovat,,O,
121,8,19,servis,,O,
121,8,20,LinkedIn,,O,
121,8,21,.,,O,
121,9,1,Také,,O,
121,9,2,umožní,,O,
121,9,3,konkurentům,,O,
121,9,4,LinkedIn,,O,
121,9,5,udržet,,O,
121,9,6,současnou,,O,
121,9,7,úroveň,,O,
121,9,8,interoperability,,O,
121,9,9,s,,O,
121,9,10,kancelářským,,O,
121,9,11,balíkem,,O,
121,9,12,Microsoft,microsoft,B-MISC,33
121,9,13,Office,office,I-MISC,33
121,9,14,",",,O,
121,9,15,uvedla,,O,
121,9,16,komise,,O,
121,9,17,.,,O,
121,10,1,"""",,O,
121,10,2,Dnešní,,O,
121,10,3,rozhodnutí,,O,
121,10,4,zajistí,,O,
121,10,5,",",,O,
121,10,6,že,,O,
121,10,7,Evropané,evropané,B-PER,34
121,10,8,budou,,O,
121,10,9,mít,,O,
121,10,10,nadále,,O,
121,10,11,svobodu,,O,
121,10,12,volby,,O,
121,10,13,mezi,,O,
121,10,14,profesionálními,,O,
121,10,15,sociálními,,O,
121,10,16,sítěmi,,O,
121,10,17,",",,O,
121,10,18,"""",,O,
121,10,19,uvedla,,O,
121,10,20,komisařka,,O,
121,10,21,pro,,O,
121,10,22,hospodářskou,,O,
121,10,23,soutěž,,O,
121,10,24,Margrethe,margrethe,B-PER,35
121,10,25,Vestagerová,vestagerová,I-PER,35
121,10,26,.,,O,
121,11,1,LinkedIn,,O,
121,11,2,se,,O,
121,11,3,zaměřuje,,O,
121,11,4,na,,O,
121,11,5,odborně,,O,
121,11,6,kvalifikované,,O,
121,11,7,pracovníky,,O,
121,11,8,a,,O,
121,11,9,uchazeče,,O,
121,11,10,o,,O,
121,11,11,práci,,O,
121,11,12,.,,O,
121,12,1,Microsoft,,O,
121,12,2,očekává,,O,
121,12,3,",",,O,
121,12,4,že,,O,
121,12,5,akvizice,,O,
121,12,6,přinese,,O,
121,12,7,nové,,O,
121,12,8,příležitosti,,O,
121,12,9,jak,,O,
121,12,10,pro,,O,
121,12,11,LinkedIn,,O,
121,12,12,",",,O,
121,12,13,tak,,O,
121,12,14,i,,O,
121,12,15,pro,,O,
121,12,16,Microsoft,,O,
121,12,17,",",,O,
121,12,18,například,,O,
121,12,19,pro,,O,
121,12,20,jeho,,O,
121,12,21,kancelářský,,O,
121,12,22,software,,O,
121,12,23,Office,,O,
121,12,24,.,,O,
121,13,1,Microsoft,,O,
121,13,2,je,,O,
121,13,3,největším,,O,
121,13,4,výrobcem,,O,
121,13,5,softwaru,,O,
121,13,6,na,,O,
121,13,7,světě,,O,
121,13,8,a,,O,
121,13,9,jeho,,O,
121,13,10,operační,,O,
121,13,11,systém,,O,
121,13,12,Windows,,O,
121,13,13,používá,,O,
121,13,14,většina,,O,
121,13,15,osobních,,O,
121,13,16,počítačů,,O,
121,13,17,.,,O,
121,14,1,Firma,,O,
121,14,2,se,,O,
121,14,3,ale,,O,
121,14,4,potýká,,O,
121,14,5,s,,O,
121,14,6,negativními,,O,
121,14,7,dopady,,O,
121,14,8,poklesu,,O,
121,14,9,prodeje,,O,
121,14,10,osobních,,O,
121,14,11,počítačů,,O,
121,14,12,.,,O,
