docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
180,0,1,EUROPSKA,europska,eUroPski,Agpfsny,ADJ,B-ORG,1
180,0,2,KOMISIJA,komisija,komisija,Ncfsn,NOUN,I-ORG,1
180,0,3,O,,o,Sl,ADP,O,
180,0,4,TUŽBI,,tužba,Ncfsl,NOUN,O,
180,0,5,BANKE,,banka,Ncfsg,NOUN,O,
180,0,6,PROTIV,,protiv,Sg,ADP,O,
180,0,7,HRVATSKE,hrvatska,Hrvatska,Npfsg,PROPN,B-LOC,41
180,0,8,:,,:,Z,PUNCT,O,
180,1,1,‘,,‘,Agpmsny,ADJ,O,
180,1,2,Arbitražni,,arbitražni,Agpmsny,ADJ,O,
180,1,3,sud,,sud,Ncmsn,NOUN,O,
180,1,4,u,,u,Sl,ADP,O,
180,1,5,Washingtonu,washington,Washington,Npmsl,PROPN,B-LOC,51001
180,1,6,će,,htjeti,Var3s,AUX,O,
180,1,7,to,,taj,Pd-nsa,DET,O,
180,1,8,odbaciti,,odbaciti,Vmn,VERB,O,
180,1,9,!,,!,Z,PUNCT,O,
180,1,10,’,,’,Xf,X,O,
180,1,11,–,,-,Z,PUNCT,O,
180,1,12,Net.hr,net.hr,net.hr,Y,NOUN,B-ORG,50424
180,1,13,Iako,,iako,Cs,SCONJ,O,
180,1,14,je,,biti,Var3s,AUX,O,
180,1,15,stisnula,,stisnuti,Vmp-sf,VERB,O,
180,1,16,Hrvatsku,hrvatska,Hrvatska,Npfsa,PROPN,B-LOC,41
180,1,17,da,,da,Cs,SCONJ,O,
180,1,18,pronađe,,pronaći,Vmr3s,VERB,O,
180,1,19,rješenje,,rješenje,Ncnsa,NOUN,O,
180,1,20,s,,sa,Si,ADP,O,
180,1,21,bankama,,banka,Ncfpi,NOUN,O,
180,1,22,oko,,oko,Sg,ADP,O,
180,1,23,konverzije,,konverzija,Ncfsg,NOUN,O,
180,1,24,",",,",",Z,PUNCT,O,
180,1,25,Europska,europska,europski,Agpfsny,ADJ,B-ORG,1
180,1,26,komisija,komisija,komisija,Ncfsn,NOUN,I-ORG,1
180,1,27,smatra,,smatrati,Vmr3s,VERB,O,
180,1,28,da,,da,Cs,SCONJ,O,
180,1,29,tužba,,tužba,Ncfsn,NOUN,O,
180,1,30,banke,,banka,Ncfsg,NOUN,O,
180,1,31,Unicredit,unicredit,Unicredit,Npmsn,PROPN,B-ORG,50425
180,1,32,na,,na,Sl,ADP,O,
180,1,33,arbitražnom,,arbitražni,Agpmsly,ADJ,O,
