docId,sentenceId,tokenId,text,lemma,ner,clID
194,0,1,Europska,europska,B-ORG,1
194,0,2,komisija,komisija,I-ORG,1
194,0,3,:,,O,
194,0,4,dekan,,O,
194,0,5,akademik,,O,
194,1,1,Šlaus,šlaus,B-PER,50457
194,1,2,imenovan,,O,
194,1,3,u,,O,
194,1,4,RISE,rise,B-ORG,50458
194,1,5,-,,O,
194,1,6,Novosti,,O,
194,1,7,-,,O,
194,1,8,Visoka,visoka,B-ORG,50459
194,1,9,škola,škola,I-ORG,50459
194,1,10,međunarodnih,međunarodnih,I-ORG,50459
194,1,11,odnosa,odnosa,I-ORG,50459
194,1,12,i,i,I-ORG,50459
194,1,13,diplomacije,diplomacije,I-ORG,50459
194,1,14,Dag,dag,I-ORG,50459
194,1,15,Hammarskjöld,hammarskjöld,I-ORG,50459
194,1,16,Europska,,O,
194,1,17,Komisija,,O,
194,1,18,imenovala,,O,
194,1,19,je,,O,
194,1,20,dekana,,O,
194,1,21,VŠMOD,všmod,B-ORG,50459
194,1,22,DH,dh,I-ORG,50459
194,1,23,akademika,,O,
194,1,24,Ivu,ivo,B-PER,50457
194,1,25,Šlausa,šlaus,I-PER,50457
194,1,26,za,,O,
194,1,27,člana,,O,
194,1,28,Research,research,B-ORG,50458
194,1,29,",",",",I-ORG,50458
194,1,30,Innovation,innovation,I-ORG,50458
194,1,31,and,and,I-ORG,50458
194,1,32,Science,science,I-ORG,50458
194,1,33,Policy,policy,I-ORG,50458
194,1,34,Experts,experts,I-ORG,50458
194,1,35,(,,O,
194,1,36,RISE,,O,
194,1,37,),,O,
194,1,38,High,high,B-ORG,50460
194,1,39,Level,level,I-ORG,50460
194,1,40,Advisory,advisory,I-ORG,50460
194,1,41,Body,body,I-ORG,50460
194,1,42,(,,O,
194,1,43,HLAB,hlab,B-ORG,50460
194,1,44,),,O,
194,1,45,.,,O,
194,2,1,RISE,,O,
194,2,2,HLAB,,O,
194,2,3,se,,O,
194,2,4,sastoji,,O,
194,2,5,od,,O,
194,2,6,četiri,,O,
194,2,7,grupe,,O,
194,2,8,:,,O,
194,2,9,Otvorena,otvorena,B-ORG,163
194,2,10,znanost,znanost,I-ORG,163
194,2,11,",",,O,
194,2,12,Otvorene,otvorene,B-ORG,50462
194,2,13,inovacije,inovacije,I-ORG,50462
194,2,14,",",,O,
194,2,15,Otvoreno,otvoreno,B-ORG,50463
194,2,16,prema,prema,I-ORG,50463
194,2,17,svijetu,svijetu,I-ORG,50463
194,2,18,i,,O,
194,2,19,Ekonomija,ekonomija,B-ORG,50464
194,2,20,otvorena,otvorena,I-ORG,50464
194,2,21,prema,prema,I-ORG,50464
194,2,22,znanosti,znanosti,I-ORG,50464
194,2,23,i,i,I-ORG,50464
194,2,24,tržištu,tržištu,I-ORG,50464
194,2,25,.,,O,
194,3,1,Ivo,ivo,B-PER,50457
194,3,2,Šlaus,šlaus,I-PER,50457
194,3,3,imenovan,,O,
194,3,4,je,,O,
194,3,5,predsjednikom,,O,
194,3,6,grupe,,O,
194,3,7,Otvoreno,,O,
194,3,8,prema,,O,
194,3,9,svijetu,,O,
194,3,10,.,,O,
194,4,1,Zadatak,,O,
194,4,2,RISE,,O,
194,4,3,HLAB,,O,
194,4,4,",",,O,
194,4,5,posebno,,O,
194,4,6,grupe,,O,
194,4,7,Otvoreno,,O,
194,4,8,prema,,O,
194,4,9,svijetu,,O,
194,4,10,je,,O,
194,4,11,strateško,,O,
194,4,12,savjetovanje,,O,
194,4,13,i,,O,
194,4,14,podrška,,O,
194,4,15,Europskom,,O,
194,4,16,povjereniku,,O,
194,4,17,za,,O,
194,4,18,istraživanje,,O,
194,4,19,",",,O,
194,4,20,znanost,,O,
194,4,21,i,,O,
194,4,22,inovacije,,O,
194,4,23,",",,O,
194,4,24,gospodinu,,O,
194,4,25,Carlosu,carlos,B-PER,188
194,4,26,Moedasu,moedas,I-PER,188
194,4,27,",",,O,
194,4,28,ali,,O,
194,4,29,i,,O,
194,4,30,potpredsjednici,,O,
194,4,31,Komisije,komisija,B-ORG,50466
194,4,32,za,za,I-ORG,50466
194,4,33,vanjsku,vanjsku,I-ORG,50466
194,4,34,politiku,politiku,I-ORG,50466
194,4,35,gospođi,,O,
194,4,36,Federica,federica,B-PER,50467
194,4,37,Mogherini,mogherini,I-PER,50467
194,4,38,.,,O,
194,5,1,RISE,,O,
194,5,2,HLAB,,O,
194,5,3,će,,O,
194,5,4,osigurati,,O,
194,5,5,da,,O,
194,5,6,istraživanje,,O,
194,5,7,i,,O,
194,5,8,inovacije,,O,
194,5,9,doprinesu,,O,
194,5,10,održivom,,O,
194,5,11,i,,O,
194,5,12,socijalno,,O,
194,5,13,inkluzivnom,,O,
194,5,14,ekonomskom,,O,
194,5,15,razvoju,,O,
194,5,16,EU,eu,B-LOC,6
194,5,17,i,,O,
194,5,18,asociranih,,O,
194,5,19,država,,O,
194,5,20,u,,O,
194,5,21,globalnom,,O,
194,5,22,svijetu,,O,
194,5,23,.,,O,
