docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
59,0,1,Rozmawialiśmy,,rozmawiać być,praet:pl:m1:imperf aglt:pl:pri:imperf:nwok,VERB AUX,O,
59,0,3,z,,z,prep:inst:nwok,ADP,O,
59,0,4,Komisją,komisja,komisja,subst:sg:inst:f,NOUN,B-ORG,1
59,0,5,Europejską,europejska,europejski,adj:sg:inst:f:pos,ADJ,I-ORG,1
59,0,6,W,,w,prep:loc:nwok,ADP,O,
59,0,7,Modlinie,modlin,Modlin,subst:sg:loc:m3,PROPN,B-LOC,20250
59,0,8,pod,,pod,prep:inst:nwok,ADP,O,
59,0,9,Warszawą,warszawa,Warszawa,subst:sg:inst:f,PROPN,B-LOC,20008
59,0,10,odbyło,,odbyć,praet:sg:n:perf,VERB,O,
59,0,11,się,,się,part,PRON,O,
59,0,12,dwudniowe,,dwudniowy,adj:sg:nom:n:pos,ADJ,O,
59,0,13,(,,(,interp,PUNCT,O,
59,0,14,5,,5,dig,X,O,
59,0,15,i,,i,conj,CCONJ,O,
59,0,16,6,,6,adj:sg:gen:m3:pos,ADJ,O,
59,0,17,grudnia,,grudzień,subst:sg:gen:m3,NOUN,O,
59,0,18,),,),interp,PUNCT,O,
59,0,19,doroczne,,doroczny,adj:sg:nom:n:pos,ADJ,O,
59,0,20,spotkanie,,spotkanie,subst:sg:nom:n:ncol,NOUN,O,
59,0,21,przedstawicieli,,przedstawiciel,subst:pl:gen:m1,NOUN,O,
59,0,22,instytucji,,instytucja,subst:pl:gen:f,NOUN,O,
59,0,23,zarządzających,,zarządzać,pact:pl:gen:f:imperf:aff,ADJ,O,
59,0,24,szesnastoma,,szesnasta,subst:pl:inst:m3,NOUN,O,
59,0,25,polskimi,polska,polski,adj:pl:inst:m3:pos,ADJ,B-LOC,20002
59,0,26,regionalnymi,,regionalny,adj:pl:inst:m3:pos,ADJ,O,
59,0,27,programami,,program,subst:pl:inst:m3,NOUN,O,
59,0,28,operacyjnymi,,operacyjny,adj:pl:inst:m3:pos,ADJ,O,
59,0,29,z,,z,prep:inst:nwok,ADP,O,
59,0,30,reprezentantami,,reprezentant,subst:pl:inst:m1,NOUN,O,
59,0,31,Komisji,komisja,komisja,subst:sg:gen:f,NOUN,B-ORG,1
59,0,32,Europejskiej,europejska,europejski,adj:sg:gen:f:pos,ADJ,I-ORG,1
59,0,33,",",,",",interp,PUNCT,O,
59,0,34,podczas,,podczas,prep:gen,ADP,O,
59,0,35,którego,,który,adj:sg:gen:m3:pos,DET,O,
59,0,36,omawiany,,omawiać,ppas:sg:nom:m3:imperf:aff,ADJ,O,
59,0,37,był,,być,praet:sg:m3:imperf,AUX,O,
59,0,38,stan,,stan,subst:sg:nom:m3,NOUN,O,
59,0,39,wdrażania,,wdrażać,ger:sg:gen:n:imperf:aff,NOUN,O,
59,0,40,programów,,program,subst:pl:gen:m3,NOUN,O,
59,0,41,perspektywy,perspektywy,perspektywa,subst:sg:gen:f,NOUN,B-MISC,20251
59,0,42,2016,2016,2016,dig,X,I-MISC,20251
59,0,43,-,-,-,interp,PUNCT,I-MISC,20251
59,0,44,2020,2020,2020,dig,X,I-MISC,20251
59,0,45,w,,w,prep:loc:nwok,ADP,O,
59,0,46,poszczególnych,,poszczególny,adj:pl:loc:n:pos,ADJ,O,
59,0,47,województwach,,województwo,subst:pl:loc:n:ncol,NOUN,O,
59,0,48,.,,.,interp,PUNCT,O,
59,1,1,Uczestniczył,,uczestniczyć,praet:sg:m1:imperf,VERB,O,
59,1,2,w,,w,prep:loc:nwok,ADP,O,
59,1,3,nim,,on,ppron3:sg:loc:m1:ter:akc:praep,PRON,O,
59,1,4,marszałek,,marszałek,subst:sg:nom:m1,NOUN,O,
59,1,5,Piotr,piotr,Piotr,subst:sg:nom:m1,PROPN,B-PER,20252
59,1,6,Całbecki,całbecki,Całbecki,subst:sg:nom:m1,PROPN,I-PER,20252
59,1,7,.,,.,interp,PUNCT,O,
59,2,1,5,,5,adj:sg:gen:m3:pos,ADJ,O,
59,2,2,grudnia,,grudzień,subst:sg:gen:m3,NOUN,O,
59,2,3,",",,",",interp,PUNCT,O,
59,2,4,po,,po,prep:loc,ADP,O,
59,2,5,plenarnej,,plenarny,adj:sg:loc:f:pos,ADJ,O,
59,2,6,części,,część,subst:sg:loc:f,NOUN,O,
59,2,7,spotkania,,spotkanie,subst:sg:gen:n:ncol,NOUN,O,
59,2,8,",",,",",interp,PUNCT,O,
59,2,9,delegacja,,delegacja,subst:sg:nom:f,NOUN,O,
59,2,10,naszego,,nasz,adj:sg:gen:m3:pos,DET,O,
59,2,11,regionu,,region,subst:sg:gen:m3,NOUN,O,
59,2,12,rozmawiała,,rozmawiać,praet:sg:f:imperf,VERB,O,
59,2,13,z,,z,prep:inst:nwok,ADP,O,
59,2,14,przedstawicielami,,przedstawiciel,subst:pl:inst:m1,NOUN,O,
59,2,15,Dyrekcji,dyrekcja,dyrekcja,subst:sg:gen:f,NOUN,B-ORG,108
59,2,16,Generalnej,generalna,generalny,adj:sg:gen:f:pos,ADJ,I-ORG,108
59,2,17,ds,ds,do spraw,brev:pun,X,I-ORG,108
59,2,18,.,.,.,interp,PUNCT,I-ORG,108
59,2,19,Zatrudnienia,zatrudnienia,zatrudnienie,subst:sg:gen:n:ncol,NOUN,I-ORG,108
59,2,20,",",",",",",interp,PUNCT,I-ORG,108
59,2,21,Polityki,polityki,polityka,subst:sg:gen:f,NOUN,I-ORG,108
59,2,22,Społecznej,społecznej,społeczny,adj:sg:gen:f:pos,ADJ,I-ORG,108
59,2,23,i,i,i,conj,CCONJ,I-ORG,108
59,2,24,Włączenia,włączenia,włączyć,ger:sg:gen:n:perf:aff,NOUN,I-ORG,108
59,2,25,Społecznego,społecznego,społeczny,adj:sg:gen:n:pos,ADJ,I-ORG,108
59,2,26,(,(,(,interp,PUNCT,I-ORG,108
59,2,27,DG,dg,DG,subst:sg:nom:m3,PROPN,I-ORG,108
59,2,28,EMPL,empl,EMPL,subst:sg:nom:m3,PROPN,I-ORG,108
59,2,29,),),),interp,PUNCT,I-ORG,108
59,3,1,Komisji,komisji,komisja,subst:sg:gen:f,NOUN,I-ORG,108
59,3,2,Europejskiej,europejskiej,europejski,adj:sg:gen:f:pos,ADJ,I-ORG,108
59,3,3,pod,,pod,prep:inst:nwok,ADP,O,
59,3,4,przewodnictwem,,przewodnictwo,subst:sg:inst:n:ncol,NOUN,O,
59,3,5,dyrektor,,dyrektor,subst:sg:nom:m1,NOUN,O,
59,3,6,wydziału,,wydział,subst:sg:gen:m3,NOUN,O,
59,3,7,ds,,do spraw,brev:pun,X,O,
59,3,8,.,,.,interp,PUNCT,O,
59,3,9,Polski,polska,Polska,subst:sg:gen:f,PROPN,B-LOC,20002
59,3,10,",",,",",interp,PUNCT,O,
59,3,11,Czech,czechy,Czechy,subst:sg:gen:n:pt,PROPN,B-LOC,20
59,3,12,i,,i,conj,CCONJ,O,
59,3,13,Słowacji,słowacja,Słowacja,subst:sg:gen:f,PROPN,B-LOC,125
59,3,14,Wallis,wallis,Wallis,subst:sg:nom:f,PROPN,B-PER,20256
59,3,15,Goelen,goelen,Goelen,subst:sg:nom:f,PROPN,I-PER,20256
59,3,16,.,,.,interp,PUNCT,O,
59,4,1,Zasadniczym,,zasadniczy,adj:sg:inst:m3:pos,ADJ,O,
59,4,2,tematem,,temat,subst:sg:inst:m3,NOUN,O,
