docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
246,0,1,Европейская,европейская,европейский,,ADJ,B-ORG,1
246,0,2,комиссия,комиссия,комиссия,,NOUN,I-ORG,1
246,0,3,:,,:,,PUNCT,O,
246,0,4,Турция,турция,Турция,,PROPN,B-LOC,149
246,0,5,открыто,,открыто,,ADV,O,
246,0,6,поддержала,,поддержать,,VERB,O,
246,0,7,Азербайджан,азербайджан,Азербайджан,,PROPN,B-LOC,10093
246,0,8,во,,в,,ADP,O,
246,0,9,время,,время,,NOUN,O,
246,0,10,апрельских,,апрельский,,ADJ,O,
246,0,11,событий,,событие,,NOUN,O,
246,0,12,в,,в,,ADP,O,
246,0,13,Карабахе,карабах,Карабах,,PROPN,B-LOC,10091
246,0,14,-,,-,,PUNCT,O,
246,0,15,PanARMENIAN.Net,,PanARMENIAN.Net,,PROPN,O,
246,0,16,PanARMENIAN.Net,,PanARMENIAN.Net,,PROPN,O,
246,0,17,-,,-,,PUNCT,O,
246,0,18,Европейская,европейская,Европейская,,PROPN,B-ORG,1
246,0,19,комиссия,комиссия,комиссия,,NOUN,I-ORG,1
246,0,20,констатировала,,констатировать,,VERB,O,
246,0,21,регресс,,регресс,,NOUN,O,
246,0,22,в,,в,,ADP,O,
246,0,23,Турции,турция,Турция,,PROPN,B-LOC,149
246,0,24,в,,в,,ADP,O,
246,0,25,сфере,,сфера,,NOUN,O,
246,0,26,правосудия,,правосудие,,NOUN,O,
246,0,27,",",,",",,PUNCT,O,
246,0,28,прав,,право,,NOUN,O,
246,0,29,человека,,человек,,NOUN,O,
246,0,30,",",,",",,PUNCT,O,
246,0,31,свободы,,свобода,,NOUN,O,
246,0,32,слова,,слово,,NOUN,O,
246,0,33,и,,и,,CCONJ,O,
246,0,34,прессы,,пресса,,NOUN,O,
246,0,35,",",,",",,PUNCT,O,
246,0,36,а,,а,,CCONJ,O,
246,0,37,также,,также,,PART,O,
246,0,38,в,,в,,ADP,O,
246,0,39,ряде,,ряд,,NOUN,O,
246,0,40,других,,другой,,ADJ,O,
