docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
459,0,1,Úrad,úrad,úrad,SSis1,NOUN,B-ORG,282
459,0,2,vlády,vlády,vláda,SSfs2,NOUN,I-ORG,282
459,0,3,SR,sr,sr,W,PROPN,I-ORG,282
459,0,4,a,,a,O,CCONJ,O,
459,0,5,Európska,európska,európsky,AAfs1x:r,ADJ,B-ORG,1
459,0,6,komisia,komisia,komisie,SSfs1,NOUN,I-ORG,1
459,0,7,pripravujú,,pripravovať,VKepc+,VERB,O,
459,0,8,5,,5,0,NUM,O,
459,0,9,.,,.,Z,PUNCT,O,
459,0,10,výročné,,výročný,AAns4x,ADJ,O,
459,0,11,fórum,,fórum,SSns4,NOUN,O,
459,0,12,Stratégie,stratégia,stratégia,SSfs2:r,PROPN,B-MISC,283
459,0,13,EÚ,eú,eú,W,PROPN,I-MISC,283
459,0,14,pre,pre,pre,Eu4,ADP,I-MISC,283
459,0,15,dunajský,dunajský,dunajský,AAis4x,ADJ,I-MISC,283
459,0,16,región,región,región,SSis4,NOUN,I-MISC,283
459,0,17,|,,|,Z,PUNCT,O,
459,0,18,Úrad,úrad,úrad,SSis4,NOUN,B-ORG,282
459,0,19,vlády,vlády,vláda,SSfs2,NOUN,I-ORG,282
459,0,20,SR,sr,sr,W,PROPN,I-ORG,282
459,1,1,V,,v,Eu6,ADP,O,
459,1,2,dňoch,,deň,SSip6,NOUN,O,
459,1,3,3,,3,0,NUM,O,
459,1,4,.,,.,Z,PUNCT,O,
459,1,5,-,,-,Z,PUNCT,O,
459,1,6,4,,4,0,NUM,O,
459,1,7,.,,.,Z,PUNCT,O,
459,1,8,novembra,,november,SSis2,NOUN,O,
459,1,9,2016,,2016,0,NUM,O,
459,1,10,v,,v,Eu6,ADP,O,
459,1,11,Bratislave,,bratislava,SSfs6:r,PROPN,O,
459,1,12,sa,,sa,R,PRON,O,
459,1,13,v,,v,Eu6,ADP,O,
459,1,14,priestoroch,,priestor,SSip6,NOUN,O,
459,1,15,nového,,nový,AAns2x,ADJ,O,
459,1,16,Slovenského,slovensko,slovenský,AAns2x,ADJ,B-LOC,125
459,1,17,národného,,národný,AAns2x,ADJ,O,
459,1,18,divadla,,divadlo,SSns2,NOUN,O,
459,1,19,uskutoční,,uskutočniť,VKdsc+,VERB,O,
459,1,20,5,,5,0,NUM,O,
459,1,21,.,,.,Z,PUNCT,O,
459,1,22,výročné,,výročný,AAns1x,ADJ,O,
459,1,23,fórum,,fórum,SSns1,NOUN,O,
459,1,24,Stratégie,stratégia,stratégia,SSfs2:r,PROPN,B-MISC,283
459,1,25,EÚ,eú,eú,W,PROPN,I-MISC,283
459,1,26,pre,pre,pre,Eu4,ADP,I-MISC,283
459,1,27,dunajský,dunajský,dunajský,AAis4x,ADJ,I-MISC,283
459,1,28,región,región,región,SSis4,NOUN,I-MISC,283
459,1,29,.,,.,Z,PUNCT,O,
459,2,1,Organizuje,,organizovať,VKesc+,VERB,O,
459,2,2,ho,,on,PFms4,PRON,O,
459,2,3,Slovenská,slovenská,slovenský,AAfs1x:r,ADJ,B-LOC,125
459,2,4,republika,republika,republika,SSfs1,NOUN,I-LOC,125
459,2,5,ako,,ako,O,SCONJ,O,
459,2,6,predsedajúca,,predsedajúci,Gkfs1x,ADJ,O,
459,2,7,krajina,ukrajina,krajina,SSfs1,NOUN,B-LOC,150
459,2,8,tejto,,táto,PFfs2,DET,O,
459,2,9,formy,,forma,SSfs2,NOUN,O,
459,2,10,spolupráce,,spolupráca,SSfs2,NOUN,O,
459,2,11,prostredníctvom,,prostredníctvom,Eu2,ADP,O,
459,2,12,Úradu,úrad,úrad,SSis2,NOUN,B-ORG,282
459,2,13,vlády,vlády,vláda,SSfs2,NOUN,I-ORG,282
459,2,14,SR,sr,sr,W,PROPN,I-ORG,282
459,2,15,ako,,ako,O,SCONJ,O,
459,2,16,národného,,národný,AAms2x,ADJ,O,
459,2,17,koordinátora,,koordinátor,SSms2,NOUN,O,
459,2,18,stratégie,,stratégia,SSfs2,NOUN,O,
459,2,19,spolu,,spolu,Dx,ADV,O,
459,2,20,s,,s,Eu7,ADP,O,
459,2,21,Európskou,európska,európsky,AFfs7x:r,ADJ,B-ORG,1
459,2,22,komisiou,komisia,komisia,SSfs7,NOUN,I-ORG,1
459,2,23,.,,.,Z,PUNCT,O,
459,2,24,Účasť,,účasť,SSfs1,NOUN,O,
459,2,25,na,,na,Eu6,ADP,O,
459,2,26,fóre,,fóra,SSis6,NOUN,O,
459,2,27,prisľúbili,,prisľúbiť,VLdpcm+,VERB,O,
459,2,28,:,,:,Z,PUNCT,O,
459,2,29,predseda,,predseda,SSms1,NOUN,O,
459,2,30,vlády,vláda,vláda,SSfs2,NOUN,B-ORG,282
459,2,31,SR,sr,sr,W,PROPN,I-ORG,282
459,2,32,Robert,robert,robert,SSms1:r,PROPN,B-PER,218
459,2,33,Fico,fico,fico,SSms1:r,PROPN,I-PER,218
459,2,34,",",,",",Z,PUNCT,O,
459,2,35,podpredseda,,podpredseda,SSms1,NOUN,O,
459,2,36,Európskej,európska,európsky,AAfs2x:r,ADJ,B-ORG,1
459,2,37,komisie,komisia,komisie,SSfs2,NOUN,I-ORG,1
459,2,38,pre,,pre,Eu4,ADP,O,
459,2,39,Energetickú,,energetický,AAfs4x,ADJ,O,
459,2,40,úniu,,únia,SSfs4,NOUN,O,
459,2,41,Maroš,maroš,maroš,SSms1:r,PROPN,B-PER,86
459,2,42,Šefčovič,šefčovič,šefčovič,SSms1:r,PROPN,I-PER,86
459,2,43,",",,",",Z,PUNCT,O,
459,2,44,eurokomisár,,eurokomisár,SSms1,NOUN,O,
459,2,45,pre,,pre,Eu4,ADP,O,
459,2,46,vzdelávanie,,vzdelávanie,SSns4,NOUN,O,
459,2,47,",",,",",Z,PUNCT,O,
459,2,48,kultúru,,kultúra,SSfs4,NOUN,O,
459,2,49,",",,",",Z,PUNCT,O,
459,2,50,mládež,,mládež,SSfs4,NOUN,O,
459,2,51,a,,a,O,CCONJ,O,
459,2,52,šport,,šport,SSis4,NOUN,O,
459,2,53,Tibor,tibor,tibor,SSms1:r,PROPN,B-PER,284
459,2,54,Navracsics,navracsics,navracsics,SSms1:r,PROPN,I-PER,284
459,2,55,a,,a,O,CCONJ,O,
459,2,56,ďalší,,ďalší,AAmp4x,ADJ,O,
459,2,57,hostia,,hostie,SSmp1,NOUN,O,
459,2,58,.,,.,Z,PUNCT,O,
459,3,1,Okrem,,okrem,Eu2,ADP,O,
459,3,2,nich,,on,PFmp2,PRON,O,
459,3,3,sa,,sa,R,PRON,O,
459,3,4,očakáva,,očakávať,VKesc+,VERB,O,
459,3,5,účasť,,účasť,SSfs1,NOUN,O,
