docId,sentenceId,tokenId,text,lemma,ner,clID
486,0,1,Európska,európska,B-ORG,1
486,0,2,komisia,komisia,I-ORG,1
486,0,3,navrhuje,,O,
486,0,4,zásadnú,,O,
486,0,5,zmenu,,O,
486,0,6,zdaňovania,,O,
486,0,7,firiem,,O,
486,0,8,-,,O,
486,0,9,Ekonomika,,O,
486,0,10,-,,O,
486,0,11,Webnoviny,webnoviny,B-ORG,274
486,0,12,.sk,.sk,I-ORG,274
486,1,1,BRATISLAVA,bratislava,B-LOC,226
486,1,2,25,,O,
486,1,3,.,,O,
486,1,4,októbra,,O,
486,1,5,(,,O,
486,1,6,WebNoviny,,O,
486,1,7,.sk,,O,
486,1,8,),,O,
486,1,9,-,,O,
486,1,10,Európska,,O,
486,1,11,komisia,,O,
486,1,12,(,,O,
486,1,13,EK,ek,B-ORG,1
486,1,14,),,O,
486,1,15,v,,O,
486,1,16,utorok,,O,
486,1,17,predstavila,,O,
486,1,18,plán,,O,
486,1,19,zmeny,,O,
486,1,20,systému,,O,
486,1,21,zdaňovania,,O,
486,1,22,spoločností,,O,
486,1,23,v,,O,
486,1,24,rámci,,O,
486,1,25,jednotného,,O,
486,1,26,trhu,,O,
486,1,27,EÚ,eú,B-LOC,6
486,1,28,.,,O,
486,2,1,Cieľom,,O,
486,2,2,je,,O,
486,2,3,",",,O,
486,2,4,aby,,O,
486,2,5,zdaňovanie,,O,
486,2,6,príjmov,,O,
486,2,7,právnických,,O,
486,2,8,osôb,,O,
486,2,9,bolo,,O,
486,2,10,spravodlivé,,O,
486,2,11,a,,O,
486,2,12,v,,O,
486,2,13,prospech,,O,
486,2,14,hospodárskeho,,O,
486,2,15,rastu,,O,
486,2,16,",",,O,
486,2,17,uviedla,,O,
486,2,18,komisia,,O,
486,2,19,vo,,O,
486,2,20,vyhlásení,,O,
486,2,21,.,,O,
486,3,1,Takzvaný,,O,
486,3,2,Spoločný,spoločný,B-MISC,275
486,3,3,konsolidovaný,konsolidovaný,I-MISC,275
486,3,4,základ,základ,I-MISC,275
486,3,5,dane,dane,I-MISC,275
486,3,6,z,z,I-MISC,275
486,3,7,príjmov,príjmov,I-MISC,275
486,3,8,právnických,právnických,I-MISC,275
486,3,9,osôb,osôb,I-MISC,275
486,3,10,(,,O,
486,3,11,Common,common,B-MISC,275
486,3,12,Consolidated,consolidated,I-MISC,275
486,3,13,Corporate,corporate,I-MISC,275
486,3,14,Tax,tax,I-MISC,275
486,3,15,Base,base,I-MISC,275
486,3,16,-,,O,
