docId,sentenceId,tokenId,text,lemma,ner,clID
330,0,1,Evropska,evropska,B-ORG,1
330,0,2,komisija,komisija,I-ORG,1
330,1,1,Evropski,,O,
330,1,2,komisiji,,O,
330,1,3,včasih,,O,
330,1,4,rečejo,,O,
330,1,5,motor,,O,
330,1,6,Evropske,evropska,B-LOC,6
330,1,7,unije,unija,I-LOC,6
330,1,8,",",,O,
330,1,9,saj,,O,
330,1,10,je,,O,
330,1,11,njena,,O,
330,1,12,glavna,,O,
330,1,13,naloga,,O,
330,1,14,oblikovanje,,O,
330,1,15,predlogov,,O,
330,1,16,za,,O,
330,1,17,novo,,O,
330,1,18,evropsko,,O,
330,1,19,zakonodajo,,O,
330,1,20,",",,O,
330,1,21,ki,,O,
330,1,22,jih,,O,
330,1,23,nato,,O,
330,1,24,predloži,,O,
330,1,25,v,,O,
330,1,26,obravnavo,,O,
330,1,27,in,,O,
330,1,28,sprejem,,O,
330,1,29,Evropskemu,evropski,B-ORG,14
330,1,30,parlamentu,parlament,I-ORG,14
330,1,31,in,,O,
330,1,32,Evropskemu,evropski,B-ORG,42
330,1,33,svetu,svet,I-ORG,42
330,1,34,.,,O,
330,2,1,Evropska,,O,
330,2,2,komisija,,O,
330,2,3,ima,,O,
330,2,4,v,,O,
330,2,5,EU,eu,B-LOC,6
330,2,6,izključno,,O,
330,2,7,pristojnost,,O,
330,2,8,zakonodajne,,O,
330,2,9,pobude,,O,
330,2,10,.,,O,
330,3,1,Evropska,,O,
330,3,2,komisija,,O,
330,3,3,tudi,,O,
330,3,4,preverja,,O,
330,3,5,",",,O,
330,3,6,če,,O,
330,3,7,se,,O,
330,3,8,zakonodaja,,O,
330,3,9,pravilno,,O,
330,3,10,izvaja,,O,
330,3,11,v,,O,
330,3,12,državah,,O,
330,3,13,članicah,,O,
330,3,14,",",,O,
330,3,15,in,,O,
330,3,16,nadzoruje,,O,
330,3,17,porabo,,O,
330,3,18,evropskih,,O,
330,3,19,sredstev,,O,
330,3,20,.,,O,
330,4,1,Proti,,O,
330,4,2,kršiteljicam,,O,
330,4,3,evropske,,O,
330,4,4,zakonodaje,,O,
330,4,5,lahko,,O,
330,4,6,sproži,,O,
330,4,7,postopek,,O,
330,4,8,pred,,O,
330,4,9,Sodiščem,sodišče,B-ORG,239
330,4,10,EU,eu,I-ORG,239
330,4,11,.,,O,
330,5,1,Evropska,,O,
330,5,2,komisija,,O,
330,5,3,poleg,,O,
330,5,4,tega,,O,
330,5,5,še,,O,
330,5,6,zastopa,,O,
330,5,7,Evropsko,evropska,B-LOC,6
330,5,8,unijo,unija,I-LOC,6
330,5,9,pri,,O,
330,5,10,mednarodnih,,O,
330,5,11,organizacijah,,O,
330,5,12,in,,O,
330,5,13,pri,,O,
330,5,14,pogajanjih,,O,
330,5,15,s,,O,
330,5,16,tretjimi,,O,
330,5,17,državami,,O,
330,5,18,.,,O,
330,6,1,Evropsko,,O,
330,6,2,komisijo,,O,
330,6,3,sestavlja,,O,
330,6,4,28,,O,
330,6,5,članov,,O,
330,6,6,",",,O,
330,6,7,torej,,O,
330,6,8,iz,,O,
330,6,9,vsake,,O,
330,6,10,države,,O,
330,6,11,članice,,O,
330,6,12,po,,O,
330,6,13,eden,,O,
330,6,14,.,,O,
330,7,1,Evropska,,O,
330,7,2,komisarka,,O,
330,7,3,iz,,O,
330,7,4,Slovenije,slovenija,B-LOC,295
330,7,5,je,,O,
330,7,6,Violeta,violeta,B-PER,40044
330,7,7,Bulc,bulc,I-PER,40044
330,7,8,.,,O,
330,8,1,SPBR,spbr,B-ORG,40045
330,8,2,spremlja,,O,
330,8,3,delo,,O,
330,8,4,Evropske,,O,
330,8,5,komisije,,O,
330,8,6,in,,O,
330,8,7,je,,O,
330,8,8,z,,O,
330,8,9,njo,,O,
330,8,10,v,,O,
330,8,11,stikih,,O,
330,8,12,",",,O,
330,8,13,tako,,O,
330,8,14,na,,O,
330,8,15,formalni,,O,
330,8,16,in,,O,
330,8,17,neformalni,,O,
330,8,18,ravni,,O,
330,8,19,.,,O,
330,9,1,Povezavi,,O,
330,9,2,:,,O,
330,10,1,Stalno,stalno,B-ORG,40045
330,10,2,predstavništvo,predstavništvo,I-ORG,40045
330,10,3,RS,rs,I-ORG,40045
330,10,4,pri,pri,I-ORG,40045
330,10,5,EU,eu,I-ORG,40045
330,10,6,(,,O,
330,10,7,SPBR,,O,
330,10,8,),,O,
330,10,9,Rue,rue,B-LOC,40046
330,10,10,du,du,I-LOC,40046
330,10,11,Commerce,commerce,I-LOC,40046
330,10,12,44,,O,
330,10,13,1000,,O,
330,10,14,Bruselj,bruselj,B-LOC,28
330,10,15,.,,O,
330,11,1,T,,O,
330,11,2,:,,O,
330,11,3,(+),,O,
330,11,4,32,,O,
330,11,5,2,,O,
330,11,6,213,,O,
330,11,7,6300,,O,
330,11,8,F,,O,
330,11,9,:,,O,
330,11,10,(+),,O,
330,11,11,32,,O,
330,11,12,2,,O,
330,11,13,213,,O,
330,11,14,6301,,O,
330,11,15,E,,O,
330,11,16,:,,O,
330,11,17,spbr,,O,
330,11,18,(,,O,
330,11,19,at,,O,
330,11,20,),,O,
330,11,21,gov.si,,O,
330,11,22,©,,O,
330,11,23,2015,,O,
330,11,24,Ministrstvo,ministrstvo,B-ORG,40047
330,11,25,za,za,I-ORG,40047
330,11,26,zunanje,zunanje,I-ORG,40047
330,11,27,zadeve,zadeve,I-ORG,40047
330,11,28,republike,republike,I-ORG,40047
330,11,29,Slovenije,slovenije,I-ORG,40047
330,11,30,.,,O,
330,12,1,Vse,,O,
330,12,2,pravice,,O,
330,12,3,pridržane,,O,
330,12,4,!,,O,
