docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
364,0,1,Evropska,evropska,evropski,Agpfsn,ADJ,B-ORG,1
364,0,2,komisija,komisija,komisija,Ncfsn,NOUN,I-ORG,1
364,0,3,odobrila,,odobriti,Vmep-sf,VERB,O,
364,0,4,spremembe,,sprememba,Ncfpa,NOUN,O,
364,0,5,podporne,,podporen,Agpfsg,ADJ,O,
364,0,6,sheme,,shema,Ncfsg,NOUN,O,
364,0,7,-,,-,Z,PUNCT,O,
364,0,8,Borzen,borzen,Borzen,Npmsn,PROPN,B-ORG,40125
364,0,9,",",",",",",Z,PUNCT,I-ORG,40125
364,0,10,d.o.o.,d.o.o.,d.o.o.,Mdc,NUM,I-ORG,40125
364,1,1,Evropska,evropska,evropski,Agpfsn,ADJ,B-ORG,1
364,1,2,komisija,komisija,komisija,Ncfsn,NOUN,I-ORG,1
364,1,3,je,,biti,Va-r3s-n,AUX,O,
364,1,4,odobrila,,odobriti,Vmep-sf,VERB,O,
364,1,5,spremembe,,sprememba,Ncfpa,NOUN,O,
364,1,6,slovenske,,slovenski,Agpfsg,ADJ,O,
364,1,7,podporne,,podporen,Agpfsg,ADJ,O,
364,1,8,sheme,,shema,Ncfsg,NOUN,O,
364,1,9,za,,za,Sa,ADP,O,
364,1,10,OVE,,OVE,Npfsa,PROPN,O,
364,1,11,in,,in,Cc,CCONJ,O,
364,1,12,SPTE,,SPTE,Npmsn,PROPN,O,
364,1,13,.,,.,Z,PUNCT,O,
364,2,1,Po,,po,Sl,ADP,O,
364,2,2,navedbah,,navedba,Ncfpl,NOUN,O,
364,2,3,Agencije,agencija,agencija,Ncfsg,NOUN,B-ORG,40126
364,2,4,za,za,za,Sa,ADP,I-ORG,40126
364,2,5,energijo,energijo,energija,Ncfsa,NOUN,I-ORG,40126
364,2,6,naj,,naj,Q,PART,O,
364,2,7,bi,,biti,Va-c,AUX,O,
364,2,8,bil,,biti,Va-p-sm,AUX,O,
364,2,9,razpis,,razpis,Ncmsn,NOUN,O,
364,2,10,za,,za,Sa,ADP,O,
364,2,11,nove,,nov,Agpfpa,ADJ,O,
364,2,12,naprave,,naprava,Ncfpa,NOUN,O,
364,2,13,objavljen,,objavljen,Appmsnn,ADJ,O,
364,2,14,že,,že,Q,PART,O,
364,2,15,letos,,letos,Rgp,ADV,O,
364,2,16,",",,",",Z,PUNCT,O,
364,2,17,še,,še,Q,PART,O,
364,2,18,pred,,pred,Si,ADP,O,
364,2,19,tem,,ta,Pd-nsi,DET,O,
364,2,20,pa,,pa,Cc,CCONJ,O,
364,2,21,mora,,morati,Vmpr3s,VERB,O,
364,2,22,biti,,biti,Va-n,AUX,O,
364,2,23,uveljavljena,,uveljavljen,Appfsn,ADJ,O,
364,2,24,nova,,nov,Agpfsn,ADJ,O,
364,2,25,Uredba,uredba,uredba,Ncfsn,NOUN,B-MISC,40127
364,2,26,o,o,o,Sl,ADP,I-MISC,40127
364,2,27,podporah,podporah,podpora,Ncfpl,NOUN,I-MISC,40127
364,2,28,električni,električni,električen,Agpfsd,ADJ,I-MISC,40127
364,2,29,energiji,energiji,energija,Ncfsl,NOUN,I-MISC,40127
364,2,30,",",,",",Z,PUNCT,O,
364,2,31,proizvedeni,,proizveden,Appfsl,ADJ,O,
