docId,sentenceId,tokenId,text,lemma,ner,clID
394,0,1,Європейська,європейська,B-ORG,1
394,0,2,комісія,комісія,I-ORG,1
394,0,3,запропонує,,O,
394,0,4,ввести,,O,
394,0,5,безвізовий,,O,
394,0,6,режим,,O,
394,0,7,з,,O,
394,0,8,Україною,україна,B-LOC,150
394,0,9,вже,,O,
394,0,10,цього,,O,
394,0,11,місяця,,O,
394,0,12,-,,O,
394,0,13,ЗМІ,,O,
394,0,14,|,,O,
394,0,15,Новини,,O,
394,0,16,на,,O,
394,0,17,Gazeta,,O,
394,0,18,.ua,,O,
394,0,19,Всі,,O,
394,0,20,права,,O,
394,0,21,на,,O,
394,0,22,матеріали,,O,
394,0,23,",",,O,
394,0,24,які,,O,
394,0,25,містить,,O,
394,0,26,цей,,O,
394,0,27,сайт,,O,
394,0,28,",",,O,
394,0,29,охороняються,,O,
394,0,30,у,,O,
394,0,31,відповідності,,O,
394,0,32,із,,O,
394,0,33,законодавством,,O,
394,0,34,України,україна,B-LOC,150
394,0,35,",",,O,
394,0,36,в,,O,
394,0,37,тому,,O,
394,0,38,числі,,O,
394,0,39,",",,O,
394,0,40,про,,O,
394,0,41,авторське,,O,
394,0,42,право,,O,
394,0,43,і,,O,
394,0,44,суміжні,,O,
394,0,45,права,,O,
394,0,46,.,,O,
394,1,1,Використання,,O,
394,1,2,матерiалiв,,O,
394,1,3,Gazeta.ua,,O,
394,1,4,для,,O,
394,1,5,друкованих,,O,
394,1,6,видань,,O,
394,1,7,дозволяється,,O,
394,1,8,лише,,O,
394,1,9,з,,O,
394,1,10,письмової,,O,
394,1,11,згоди,,O,
394,1,12,редакції,,O,
394,1,13,сайту,,O,
394,1,14,.,,O,
394,2,1,Для,,O,
394,2,2,iнтернет,,O,
394,2,3,-,,O,
394,2,4,видань,,O,
394,2,5,обов'язковим,,O,
394,2,6,є,,O,
394,2,7,гiперпосилання,,O,
394,2,8,на,,O,
394,2,9,Gazeta.ua,,O,
394,2,10,",",,O,
394,2,11,відкрите,,O,
394,2,12,для,,O,
394,2,13,пошукових,,O,
394,2,14,систем,,O,
394,2,15,.,,O,
394,3,1,Посилання,,O,
394,3,2,та,,O,
394,3,3,гіперпосилання,,O,
394,3,4,повинні,,O,
394,3,5,міститися,,O,
394,3,6,виключно,,O,
394,3,7,в,,O,
394,3,8,першому,,O,
394,3,9,чи,,O,
394,3,10,в,,O,
394,3,11,другому,,O,
394,3,12,абзаці,,O,
394,3,13,тексту,,O,
394,3,14,.,,O,
394,4,1,Передрук,,O,
394,4,2,",",,O,
394,4,3,копiювання,,O,
394,4,4,або,,O,
394,4,5,вiдтворення,,O,
394,4,6,iнформацiї,,O,
394,4,7,",",,O,
394,4,8,що,,O,
394,4,9,мiстить,,O,
394,4,10,посилання,,O,
394,4,11,на,,O,
394,4,12,агентства,,O,
394,4,13,"""",,O,
394,4,14,Iнтерфакс,iнтерфакс,B-ORG,30016
394,4,15,-,-,I-ORG,30016
394,4,16,Україна,україна,I-ORG,30016
394,4,17,"""",,O,
394,4,18,",",,O,
394,4,19,PHL,,O,
394,4,20,та,,O,
394,4,21,Reuters,,O,
394,4,22,у,,O,
394,4,23,будь-якiй,,O,
394,4,24,формi,,O,
394,4,25,суворо,,O,
394,4,26,забороняється,,O,
394,4,27,.,,O,
394,5,1,Матеріали,,O,
394,5,2,з,,O,
394,5,3,позначкою,,O,
394,5,4,(,,O,
394,5,5,PR,,O,
394,5,6,),,O,
394,5,7,друкуються,,O,
394,5,8,на,,O,
394,5,9,правах,,O,
394,5,10,реклами,,O,
394,5,11,.,,O,
394,6,1,Редакція,,O,
394,6,2,Gazeta,,O,
394,6,3,.ua,,O,
394,6,4,може,,O,
394,6,5,не,,O,
394,6,6,розділяти,,O,
394,6,7,позицію,,O,
394,6,8,авторів,,O,
394,6,9,розділу,,O,
394,6,10,“,,O,
394,6,11,Погляди,,O,
394,6,12,”,,O,
394,6,13,та,,O,
394,6,14,не,,O,
394,6,15,несе,,O,
394,6,16,відповідальність,,O,
394,6,17,за,,O,
394,6,18,матеріали,,O,
394,6,19,авторів,,O,
394,6,20,та,,O,
394,6,21,читачів,,O,
394,6,22,розділу,,O,
394,6,23,“,,O,
394,6,24,Блоги,,O,
394,6,25,”,,O,
394,6,26,.,,O,
