docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
441,0,1,Комісія,комісія,комісія,Ncfsnn,NOUN,B-ORG,1
441,0,2,Європейського,європейського,європейський,Ao-msgf,ADJ,I-ORG,1
441,0,3,Союзу,союзу,союз,Ncmsgn,NOUN,I-ORG,1
441,0,4,Однак,,однак,R,ADV,O,
441,0,5,в,,в,Spsl,ADP,O,
441,0,6,чинній,,чинний,Ao-fslf,ADJ,O,
441,0,7,системі,,система,Ncfsln,NOUN,O,
441,0,8,присутній,,присутній,Ao-msnf,ADJ,O,
441,0,9,серйозний,,серйозний,Afpmsnf,ADJ,O,
441,0,10,«,,«,U,PUNCT,O,
441,0,11,дефект,,дефект,Ncmsnn,NOUN,O,
441,0,12,»,,»,U,PUNCT,O,
441,0,13,",",,",",U,PUNCT,O,
441,0,14,негативне,,негативний,Afpnsns,ADJ,O,
441,0,15,значення,,значення,Ncnsnn,NOUN,O,
441,0,16,якого,,який,Pr--m-sga,DET,O,
441,0,17,зростає,,зростати,Vmpip3s,VERB,O,
441,0,18,в,,в,Spsa,ADP,O,
441,0,19,міру,,міра,Ncfsan,NOUN,O,
441,0,20,розширення,,розширення,Ncnsgn,NOUN,O,
441,0,21,Європейського,європейський,європейський,Ao-msgf,ADJ,B-ORG,6
441,0,22,Союзу,союз,союз,Ncmsgn,NOUN,I-ORG,6
441,0,23,.,,.,U,PUNCT,O,
441,1,1,Правом,,право,Ncnsin,NOUN,O,
441,1,2,вето,,вето,Ncmsnn,NOUN,O,
441,1,3,при,,при,Spsl,ADP,O,
441,1,4,формуванні,,формування,Ncnsln,NOUN,O,
441,1,5,Комісії,комісія,комісія,Ncfsgn,NOUN,B-ORG,1
441,1,6,мають,,мати,Vmpip3p,VERB,O,
441,1,7,нині,,нині,R,ADV,O,
441,1,8,не,,не,Q,PART,O,
441,1,9,тільки,,тільки,Q,PART,O,
441,1,10,Європарламент,європарламент,європарламент,Ncmsnn,NOUN,B-ORG,14
441,1,11,і,,і,Ccs,CCONJ,O,
441,1,12,національні,,національний,Ao--pns,ADJ,O,
441,1,13,уряди,,уряд,Ncmpnn,NOUN,O,
441,1,14,",",,",",U,PUNCT,O,
441,1,15,разом,,разом,R,ADV,O,
441,1,16,узяті,,узятий,Ap--pns-ep,ADJ,O,
441,1,17,",",,",",U,PUNCT,O,
441,1,18,але,,але,Ccs,CCONJ,O,
441,1,19,і,,і,Q,PART,O,
441,1,20,кожна,,кожний,Pg--f-sna,DET,O,
441,1,21,держава,,держава,Ncfsnn,NOUN,O,
441,1,22,-,,-,U,PUNCT,O,
441,1,23,член,,член,Ncmsny,NOUN,O,
441,1,24,окремо,,окремо,R,ADV,O,
441,1,25,.,,.,U,PUNCT,O,
441,2,1,Вимога,,вимога,Ncfsnn,NOUN,O,
441,2,2,«,,«,U,PUNCT,O,
441,2,3,загального,,загальний,Afpmsgf,ADJ,O,
441,2,4,згоди,,згода,Ncfsgn,NOUN,O,
441,2,5,»,,»,U,PUNCT,O,
441,2,6,при,,при,Spsl,ADP,O,
441,2,7,висуванні,,висування,Ncnsln,NOUN,O,
441,2,8,кандидатів,,кандидат,Ncmpgy,NOUN,O,
441,2,9,у,,у,Spsa,ADP,O,
441,2,10,члени,,член,Ncmpay,NOUN,O,
441,2,11,Комісії,комісія,комісія,Ncfsgn,NOUN,B-ORG,1
441,2,12,передбачає,,передбачати,Vmpip3s,VERB,O,
441,2,13,",",,",",U,PUNCT,O,
441,2,14,що,,що,Css,SCONJ,O,
441,2,15,будь-яка,,будь-який,Pi--f-sna,DET,O,
441,2,16,держава,,держава,Ncfsnn,NOUN,O,
441,2,17,ЄС,єс,ЄС,Y,PROPN,B-ORG,6
