docId,sentenceId,tokenId,text,lemma,ner,clID
118,0,1,Evropská,evropská,B-ORG,1.0
118,0,2,komise,komise,I-ORG,1.0
118,0,3,hodlá,,O,
118,0,4,omezit,,O,
118,0,5,některé,,O,
118,0,6,praktiky,,O,
118,0,7,Googlu,google,B-ORG,2.0
118,0,8,|,,O,
118,0,9,Computerworld,,O,
118,0,10,.,,O,
118,1,1,cz,,O,
118,1,2,EU,eu,B-LOC,6.0
118,1,3,vyplnila,,O,
118,1,4,stížnost,,O,
118,1,5,proti,,O,
118,1,6,Googlu,google,B-ORG,2.0
118,1,7,již,,O,
118,1,8,v,,O,
118,1,9,dubnu,,O,
118,1,10,",",,O,
118,1,11,kdy,,O,
118,1,12,jej,,O,
118,1,13,obvinila,,O,
118,1,14,z,,O,
118,1,15,nucení,,O,
118,1,16,výrobců,,O,
118,1,17,k,,O,
118,1,18,exkluzivnímu,,O,
118,1,19,využívání,,O,
118,1,20,jeho,,O,
118,1,21,vyhledávače,,O,
118,1,22,",",,O,
118,1,23,pokud,,O,
118,1,24,chtějí,,O,
118,1,25,získat,,O,
118,1,26,přístup,,O,
118,1,27,k,,O,
118,1,28,obchodu,,O,
118,1,29,Play,play,B-MISC,36.0
118,1,30,Store,store,I-MISC,36.0
118,1,31,",",,O,
118,1,32,skrze,,O,
118,1,33,nějž,,O,
118,1,34,uživatelé,,O,
118,1,35,kupují,,O,
118,1,36,a,,O,
118,1,37,stahují,,O,
118,1,38,přídavné,,O,
118,1,39,aplikace,,O,
118,1,40,.,,O,
118,2,1,Komise,,O,
118,2,2,nyní,,O,
118,2,3,odeslala,,O,
118,2,4,upravenou,,O,
118,2,5,kopii,,O,
118,2,6,svých,,O,
118,2,7,výhrad,,O,
118,2,8,žalobcům,,O,
118,2,9,",",,O,
118,2,10,napsala,,O,
118,2,11,agentura,,O,
118,2,12,Reuters,reuters,B-ORG,13.0
118,2,13,poté,,O,
118,2,14,",",,O,
118,2,15,co,,O,
118,2,16,dokument,,O,
118,2,17,viděla,,O,
118,2,18,.,,O,
118,3,1,Plánem,,O,
118,3,2,komise,,O,
118,3,3,je,,O,
118,3,4,zakázat,,O,
118,3,5,Googlu,google,B-ORG,2.0
118,3,6,nabízení,,O,
118,3,7,plateb,,O,
118,3,8,či,,O,
118,3,9,slev,,O,
118,3,10,pro,,O,
118,3,11,výrobce,,O,
118,3,12,chytrých,,O,
118,3,13,mobilů,,O,
118,3,14,za,,O,
118,3,15,vložení,,O,
118,3,16,svého,,O,
118,3,17,vyhledávače,,O,
118,3,18,a,,O,
118,3,19,obchodu,,O,
118,3,20,s,,O,
118,3,21,aplikacemi,,O,
118,3,22,do,,O,
118,3,23,jejich,,O,
118,3,24,systémů,,O,
118,3,25,",",,O,
118,3,26,založených,,O,
118,3,27,na,,O,
118,3,28,Androidu,android,B-MISC,3.0
118,3,29,.,,O,
118,4,1,Pokud,,O,
118,4,2,Google,google,B-ORG,2.0
118,4,3,se,,O,
118,4,4,svými,,O,
118,4,5,praktiky,,O,
118,4,6,nepřestane,,O,
118,4,7,",",,O,
118,4,8,bude,,O,
118,4,9,čelit,,O,
118,4,10,pokutě,,O,
118,4,11,na,,O,
118,4,12,úrovni,,O,
118,4,13,",",,O,
118,4,14,která,,O,
118,4,15,postačí,,O,
118,4,16,k,,O,
118,4,17,zajitění,,O,
118,4,18,dodržování,,O,
118,4,19,zákazu,,O,
118,4,20,",",,O,
118,4,21,“,,O,
118,4,22,cituje,,O,
118,4,23,Reuters,reuters,B-ORG,13.0
118,4,24,dokument,,O,
118,4,25,.,,O,
118,5,1,Částka,,O,
118,5,2,bude,,O,
118,5,3,vyčíslena,,O,
118,5,4,pomocí,,O,
118,5,5,doby,,O,
118,5,6,trvání,,O,
118,5,7,neférových,,O,
118,5,8,soutěžních,,O,
118,5,9,praktik,,O,
118,5,10,tedy,,O,
118,5,11,od,,O,
118,5,12,ledna,,O,
118,5,13,2011,,O,
118,5,14,do,,O,
118,5,15,současnosti,,O,
118,5,16,a,,O,
118,5,17,obratem,,O,
118,5,18,",",,O,
118,5,19,který,,O,
118,5,20,generují,,O,
118,5,21,",",,O,
118,5,22,včetně,,O,
118,5,23,toho,,O,
118,5,24,z,,O,
118,5,25,kliknutí,,O,
118,5,26,na,,O,
118,5,27,AdWords,adwords,B-MISC,37.0
118,5,28,od,,O,
118,5,29,evropských,,O,
118,5,30,uživatelů,,O,
118,5,31,",",,O,
118,5,32,reklamních,,O,
118,5,33,výsledků,,O,
118,5,34,vyhledávání,,O,
118,5,35,Google,google,B-MISC,4.0
118,5,36,Search,search,I-MISC,4.0
118,5,37,",",,O,
118,5,38,zakoupených,,O,
118,5,39,aplikací,,O,
118,5,40,z,,O,
118,5,41,Play,play,B-MISC,36.0
118,5,42,Storu,store,I-MISC,36.0
118,5,43,a,,O,
118,5,44,AdMob,admob,B-MISC,38.0
118,5,45,reklam,,O,
118,5,46,z,,O,
118,5,47,aplikací,,O,
118,5,48,",",,O,
118,5,49,píe,,O,
118,5,50,se,,O,
118,5,51,v,,O,
118,5,52,dokumentu,,O,
118,5,53,rozeslaném,,O,
118,5,54,žalobcům,,O,
118,5,55,.,,O,
118,6,1,Mluvčí,,O,
118,6,2,pro,,O,
118,6,3,Fairsearch,fairsearch,B-ORG,39.0
118,6,4,",",,O,
118,6,5,skupiny,,O,
118,6,6,lobující,,O,
118,6,7,za,,O,
118,6,8,rovnou,,O,
118,6,9,soutěž,,O,
118,6,10,v,,O,
118,6,11,online,,O,
118,6,12,a,,O,
118,6,13,mobilním,,O,
118,6,14,vyhledávání,,O,
118,6,15,",",,O,
118,6,16,sdělil,,O,
118,6,17,",",,O,
118,6,18,že,,O,
118,6,19,společnost,,O,
118,6,20,v,,O,
118,6,21,současnosti,,O,
118,6,22,nemá,,O,
118,6,23,žádné,,O,
118,6,24,vyjádření,,O,
118,6,25,k,,O,
118,6,26,publikaci,,O,
118,6,27,.,,O,
118,7,1,Google,google,B-ORG,2.0
118,7,2,ani,,O,
118,7,3,Evropská,evropská,B-ORG,1.0
118,7,4,komise,komise,I-ORG,1.0
118,7,5,prozatím,,O,
118,7,6,na,,O,
118,7,7,žádost,,O,
118,7,8,o,,O,
118,7,9,komentář,,O,
118,7,10,neodpověděli,,O,
118,7,11,.,,O,
118,8,1,Komisařka,,O,
118,8,2,pro,,O,
118,8,3,hospodářskou,,O,
118,8,4,soutěž,,O,
118,8,5,Margrethe,margrethe,B-PER,35.0
118,8,6,Vestagerová,vestagerová,I-PER,35.0
118,8,7,v,,O,
118,8,8,dubnu,,O,
118,8,9,prohlásila,,O,
118,8,10,",",,O,
118,8,11,že,,O,
118,8,12,se,,O,
118,8,13,obává,,O,
118,8,14,toho,,O,
118,8,15,",",,O,
118,8,16,že,,O,
118,8,17,Google,google,B-ORG,2.0
118,8,18,odstřihuje,,O,
118,8,19,svou,,O,
118,8,20,konkurenci,,O,
118,8,21,od,,O,
118,8,22,jedné,,O,
118,8,23,z,,O,
118,8,24,nejdůležitějích,,O,
118,8,25,metod,,O,
118,8,26,získávání,,O,
118,8,27,zákazníků,,O,
118,8,28,:,,O,
118,8,29,předinstalováním,,O,
118,8,30,softwaru,,O,
118,8,31,na,,O,
118,8,32,chytré,,O,
118,8,33,telefony,,O,
118,8,34,.,,O,
129,0,1,Evropská,evropská,B-ORG,1.0
129,0,2,komise,komise,I-ORG,1.0
129,0,3,potvrdila,,O,
129,0,4,",",,O,
129,0,5,že,,O,
129,0,6,podpora,,O,
129,0,7,obnovitelných,,O,
129,0,8,zdrojů,,O,
129,0,9,energie,,O,
129,0,10,v,,O,
129,0,11,ČR,čr,B-LOC,20.0
129,0,12,je,,O,
129,0,13,slučitelná,,O,
129,0,14,s,,O,
129,0,15,vnitřním,,O,
129,0,16,trhem,,O,
129,0,17,EU,eu,B-LOC,6.0
129,0,18,.,,O,
129,1,1,Nic,,O,
129,1,2,proto,,O,
129,1,3,nestojí,,O,
129,1,4,v,,O,
129,1,5,cestě,,O,
129,1,6,tomu,,O,
129,1,7,",",,O,
129,1,8,,,O,
129,1,9,ERÚ,erú,B-ORG,52.0
129,1,10,vypsal,,O,
129,1,11,podporu,,O,
129,1,12,pro,,O,
129,1,13,rok,,O,
129,1,14,2017,,O,
129,1,15,-,,O,
129,1,16,Eur,,O,
129,2,1,Activ,,O,
129,2,2,.,,O,
129,3,1,cz,,O,
129,3,2,Komora,,O,
129,3,3,obnovitelných,,O,
129,3,4,zdrojů,,O,
129,3,5,energie,,O,
129,3,6,vítá,,O,
129,3,7,rozhodnutí,,O,
129,3,8,Evropské,evropská,B-ORG,1.0
129,3,9,komise,komise,I-ORG,1.0
129,3,10,ve,,O,
129,3,11,věci,,O,
129,3,12,tzv,,O,
129,3,13,.,,O,
129,3,14,notifikace,,O,
129,3,15,podpory,,O,
129,3,16,OZE,oze,B-MISC,172.0
129,3,17,",",,O,
129,3,18,uvedených,,O,
129,3,19,do,,O,
129,3,20,provozu,,O,
129,3,21,před,,O,
129,3,22,rokem,,O,
129,3,23,2013,,O,
129,3,24,.,,O,
129,4,1,Rozhodnutí,,O,
129,4,2,Komise,,O,
129,4,3,je,,O,
129,4,4,významné,,O,
129,4,5,také,,O,
129,4,6,proto,,O,
129,4,7,",",,O,
129,4,8,že,,O,
129,4,9,se,,O,
129,4,10,týká,,O,
129,4,11,více,,O,
129,4,12,než,,O,
129,4,13,90,,O,
129,4,14,%,,O,
129,4,15,všech,,O,
129,4,16,obnovitelných,,O,
129,4,17,zdrojů,,O,
129,4,18,provozovaných,,O,
129,4,19,v,,O,
129,4,20,České,česká,B-LOC,20.0
129,4,21,republice,republika,I-LOC,20.0
129,4,22,.,,O,
129,5,1,Obnovitelné,,O,
129,5,2,zdroje,,O,
129,5,3,přispívají,,O,
129,5,4,ke,,O,
129,5,5,zlepšovaní,,O,
129,5,6,životního,,O,
129,5,7,prostředí,,O,
129,5,8,včetně,,O,
129,5,9,zdraví,,O,
129,5,10,obyvatel,,O,
129,5,11,",",,O,
129,5,12,zaměstnanosti,,O,
129,5,13,",",,O,
129,5,14,vyrábějí,,O,
129,5,15,celých,,O,
129,5,16,14,,O,
129,5,17,%,,O,
129,5,18,hrubé,,O,
129,5,19,domácí,,O,
129,5,20,spotřeby,,O,
129,5,21,elektřiny,,O,
129,5,22,v,,O,
129,5,23,ČR,čr,B-LOC,20.0
129,5,24,a,,O,
129,5,25,zajišťují,,O,
129,5,26,tak,,O,
129,5,27,také,,O,
129,5,28,plnění,,O,
129,5,29,mezinárodních,,O,
129,5,30,závazků,,O,
129,5,31,ČR,čr,B-LOC,20.0
129,5,32,nejen,,O,
129,5,33,ve,,O,
129,5,34,výrobě,,O,
129,5,35,čisté,,O,
129,5,36,ekologické,,O,
129,5,37,energie,,O,
129,5,38,",",,O,
129,5,39,ale,,O,
129,5,40,i,,O,
129,5,41,ochraně,,O,
129,5,42,klimatu,,O,
129,5,43,.,,O,
129,6,1,Rozhodnutí,,O,
129,6,2,Evropské,evropská,B-ORG,1.0
129,6,3,komise,komise,I-ORG,1.0
129,6,4,je,,O,
129,6,5,důležité,,O,
129,6,6,také,,O,
129,6,7,proto,,O,
129,6,8,",",,O,
129,6,9,že,,O,
