docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
113,0,1,Trump,trump,Trump,NNMS1-----A----,PROPN,B-PER,1
113,0,2,má,,mít,VB-S---3P-AA---,VERB,O,
113,0,3,zvolení,,zvolení,NNNP4-----A----,NOUN,O,
113,0,4,jisté,,jistý,AANP4----1A----,ADJ,O,
113,0,5,",",,",",Z:-------------,PUNCT,O,
113,0,6,republikánští,,republikánský,AAMP1----1A----,ADJ,O,
113,0,7,volitelé,,volitel,NNMP1-----A----,NOUN,O,
113,0,8,mu,,on,PHZS3--3-------,PRON,O,
113,0,9,dají,,dát,VB-P---3P-AA---,VERB,O,
113,0,10,hlas,,hlas,NNIS4-----A----,NOUN,O,
113,0,11,|,,|,Z:-------------,PUNCT,O,
113,0,12,Týden,týden,týden,NNIS4-----A----,NOUN,B-ORG,40
113,0,13,.,.,.,Z:-------------,PUNCT,I-ORG,40
113,1,1,cz,cz,cz,NNIS1-----A----,NOUN,I-ORG,40
113,1,2,Volitelský,,volitelský,AAIS1----1A----,ADJ,O,
113,1,3,sbor,,sbor,NNIS1-----A----,NOUN,O,
113,1,4,má,,mít,VB-S---3P-AA---,VERB,O,
113,1,5,538,,538,C=-------------,NUM,O,
113,1,6,členů,,člen,NNMP2-----A----,NOUN,O,
113,1,7,a,,a,J^-------------,CCONJ,O,
113,1,8,Trumpovi,trump,Trumpe,NNMS3-----A----,PROPN,B-PER,1
113,1,9,ke,,k,RV--3----------,ADP,O,
113,1,10,zvolení,,zvolení,NNNS3-----A----,NOUN,O,
113,1,11,stačí,,stačit,VB-S---3P-AA---,VERB,O,
113,1,12,270,,270,C=-------------,NUM,O,
113,1,13,hlasů,,hlas,NNIP2-----A----,NOUN,O,
113,1,14,.,,.,Z:-------------,PUNCT,O,
113,2,1,V,,v,RR--6----------,ADP,O,
113,2,2,listopadových,,listopadový,AAFP6----1A----,ADJ,O,
113,2,3,volbách,,volba,NNFP6-----A----,NOUN,O,
113,2,4,si,,se,P7-X3----------,PRON,O,
113,2,5,zajistil,,zajistit,VpYS---XR-AA---,VERB,O,
113,2,6,hlasy,,hlas,NNIP4-----A----,NOUN,O,
113,2,7,306,,306,C=-------------,NUM,O,
113,2,8,volitelů,,volitel,NNMP2-----A----,NOUN,O,
113,2,9,",",,",",Z:-------------,PUNCT,O,
113,2,10,což,,což,PE--1----------,PRON,O,
113,2,11,mu,,on,PHZS3--3-------,PRON,O,
113,2,12,k,,k,RR--3----------,ADP,O,
113,2,13,převzetí,,převzetí,NNNS3-----A----,NOUN,O,
113,2,14,úřadu,,úřad,NNIS2-----A----,NOUN,O,
113,2,15,bohatě,,bohatě,Dg-------1A----,ADV,O,
113,2,16,stačí,,stačit,VB-S---3P-AA---,VERB,O,
113,2,17,.,,.,Z:-------------,PUNCT,O,
113,3,1,Snahy,,snaha,NNFP1-----A----,NOUN,O,
113,3,2,přesvědčit,,přesvědčit,Vf--------A----,VERB,O,
113,3,3,republikánské,,republikánský,AAMP4----1A----,ADJ,O,
113,3,4,volitele,,volitel,NNMP4-----A----,NOUN,O,
113,3,5,",",,",",Z:-------------,PUNCT,O,
113,3,6,abyby,,aby být,"J,------------- Vc-------------",SCONJ AUX,O,
113,3,8,hlasovali,,hlasovat,VpMP---XR-AA---,VERB,O,
113,3,9,v,,v,RR--6----------,ADP,O,
113,3,10,rozporu,,rozpor,NNIS6-----A----,NOUN,O,
113,3,11,s,,s,RR--7----------,ADP,O,
113,3,12,mandátem,,mandát,NNIS7-----A----,NOUN,O,
113,3,13,a,,a,J^-------------,CCONJ,O,
113,3,14,míněním,,mínění,NNNS7-----A----,NOUN,O,
113,3,15,svých,,svůj,P8XP2----------,DET,O,
113,3,16,voličů,,volič,NNMP2-----A----,NOUN,O,
113,3,17,",",,",",Z:-------------,PUNCT,O,
113,3,18,nemají,,mít,VB-P---3P-NA---,VERB,O,
113,3,19,velký,,velký,AAIS4----1A----,ADJ,O,
113,3,20,ohlas,,ohlas,NNIS4-----A----,NOUN,O,
113,3,21,.,,.,Z:-------------,PUNCT,O,
113,4,1,Trumpovo,trump,Trumpův,AUNS1M---------,ADJ,B-PER,1
113,4,2,zvolení,,zvolení,NNNS1-----A----,NOUN,O,
113,4,3,je,,být,VB-S---3P-AA---,AUX,O,
113,4,4,tedy,,tedy,Db-------------,ADV,O,
113,4,5,prakticky,,prakticky,Dg-------1A----,ADV,O,
113,4,6,jisté,,jistý,AANS1----1A----,ADJ,O,
113,4,7,.,,.,Z:-------------,PUNCT,O,
113,5,1,Platí,,platit,VB-S---3P-AA---,VERB,O,
113,5,2,to,,ten,PDNS1----------,DET,O,
113,5,3,přesto,,přesto,Dg-------1A----,ADV,O,
113,5,4,",",,",",Z:-------------,PUNCT,O,
113,5,5,že,,že,"J,-------------",SCONJ,O,
113,5,6,e,,e,NNNXX-----A----,NOUN,O,
113,5,7,-,,-,Z:-------------,PUNCT,O,
113,5,8,mailové,,mailový,AAFP1----1A----,ADJ,O,
113,5,9,schránky,,schránka,NNFP1-----A----,NOUN,O,
113,5,10,některých,,některý,PZXP2----------,DET,O,
113,5,11,volitelů,,volitel,NNMP2-----A----,NOUN,O,
113,5,12,jsou,,být,VB-P---3P-AA---,AUX,O,
113,5,13,prý,,prý,TT-------------,PART,O,
113,5,14,přeplněny,,přeplněný,VsTP---XX-AP---,ADJ,O,
113,5,15,úpěnlivými,,úpěnlivý,AAFP7----1A----,ADJ,O,
113,5,16,prosbami,,prosba,NNFP7-----A----,NOUN,O,
113,5,17,pisatelů,,pisatel,NNMP2-----A----,NOUN,O,
113,5,18,o,,o,RR--4----------,ADP,O,
113,5,19,zablokování,,zablokování,NNNS4-----A----,NOUN,O,
113,5,20,Trumpova,trump,Trumpův,AUNS2M---------,ADJ,B-PER,1
113,5,21,vítězného,,vítězný,AANS2----1A----,ADJ,O,
113,5,22,tažení,,tažení,NNNS2-----A----,NOUN,O,
113,5,23,.,,.,Z:-------------,PUNCT,O,
113,6,1,"""",,"""",Z:-------------,PUNCT,O,
113,6,2,Dopisy,,dopis,NNIP1-----A----,NOUN,O,
113,6,3,jsou,,být,VB-P---3P-AA---,AUX,O,
113,6,4,to,,ten,PDNS1----------,DET,O,
113,6,5,vlastně,,vlastně,Db-------------,ADV,O,
113,6,6,smutné,,smutný,AAIP1----1A----,ADJ,O,
113,6,7,",",,",",Z:-------------,PUNCT,O,
113,6,8,"""",,"""",Z:-------------,PUNCT,O,
113,6,9,řekl,,říci,VpYS---XR-AA---,VERB,O,
113,6,10,republikánský,,republikánský,AAMS1----1A----,ADJ,O,
113,6,11,volitel,,volitel,NNMS1-----A----,NOUN,O,
113,6,12,Lee,lee,Lee,NNMS1-----A----,PROPN,B-PER,41
113,6,13,Green,green,Green,NNMS1-----A----,PROPN,I-PER,41
