docId,sentenceId,tokenId,text,lemma,ner,clID
144,0,1,Jak,,O,
144,0,2,si,,O,
144,0,3,dnes,,O,
144,0,4,stojí,,O,
144,0,5,Donald,donald,B-PER,1
144,0,6,Trump,trump,B-PER,1
144,0,7,?,,O,
144,1,1,V,,O,
144,1,2,pondělí,,O,
144,1,3,vystoupil,,O,
144,1,4,Donald,,O,
144,1,5,Trump,,O,
144,1,6,na,,O,
144,1,7,shromáždění,,O,
144,1,8,v,,O,
144,1,9,Detroitu,detroit,B-LOC,159
144,1,10,s,,O,
144,1,11,nástinem,,O,
144,1,12,ekonomického,,O,
144,1,13,plánu,,O,
144,1,14,.,,O,
144,2,1,Nejdříve,,O,
144,2,2,připomněl,,O,
144,2,3,nedávnou,,O,
144,2,4,historii,,O,
144,2,5,Detroitu,,O,
144,2,6,",",,O,
144,2,7,kdysi,,O,
144,2,8,automobilového,,O,
144,2,9,srdce,,O,
144,2,10,Ameriky,amerika,B-LOC,2
144,2,11,",",,O,
144,2,12,dnes,,O,
144,2,13,polorozpadlého,,O,
144,2,14,města,,O,
144,2,15,",",,O,
144,2,16,jehož,,O,
144,2,17,populace,,O,
144,2,18,klesla,,O,
144,2,19,za,,O,
144,2,20,dvacet,,O,
144,2,21,let,,O,
144,2,22,z,,O,
144,2,23,milionu,,O,
144,2,24,a,,O,
144,2,25,půl,,O,
144,2,26,na,,O,
144,2,27,700,,O,
144,2,28,000,,O,
144,2,29,obyvatel,,O,
144,2,30,",",,O,
144,2,31,a,,O,
144,2,32,kde,,O,
144,2,33,se,,O,
144,2,34,v,,O,
144,2,35,bývalých,,O,
144,2,36,montážních,,O,
144,2,37,halách,,O,
144,2,38,automobilek,,O,
144,2,39,prohání,,O,
144,2,40,leda,,O,
144,2,41,průvan,,O,
144,2,42,.,,O,
144,3,1,„,,O,
144,3,2,Detroit,,O,
144,3,3,je,,O,
144,3,4,živým,,O,
144,3,5,",",,O,
144,3,6,dýchajícím,,O,
144,3,7,důkazem,,O,
144,3,8,neúspěšné,,O,
144,3,9,ekonomické,,O,
144,3,10,politiky,,O,
144,3,11,",",,O,
144,3,12,kterou,,O,
144,3,13,zastává,,O,
144,3,14,moje,,O,
144,3,15,oponentka,,O,
144,3,16,.,,O,
144,4,1,Každá,,O,
144,4,2,politika,,O,
144,4,3,",",,O,
144,4,4,každý,,O,
144,4,5,zásah,,O,
144,4,6,",",,O,
144,4,7,a,,O,
144,4,8,mnoho,,O,
144,4,9,dalších,,O,
144,4,10,pokusů,,O,
144,4,11,",",,O,
144,4,12,které,,O,
144,4,13,tady,,O,
144,4,14,selhaly,,O,
144,4,15,",",,O,
144,4,16,jsou,,O,
144,4,17,podporovány,,O,
144,4,18,Hillary,hillary,B-PER,3
144,4,19,Clintonovou,clintonová,I-PER,3
144,4,20,.,,O,
144,4,21,“,,O,
144,4,22,—,,O,
144,4,23,řekl,,O,
144,4,24,Trump,,O,
144,4,25,.,,O,
144,5,1,Trumpův,trump,B-PER,1
144,5,2,nástin,,O,
144,5,3,ekonomických,,O,
144,5,4,změn,,O,
144,5,5,je,,O,
144,5,6,jednoduchý,,O,
144,5,7,a,,O,
144,5,8,dá,,O,
144,5,9,se,,O,
144,5,10,shrnout,,O,
144,5,11,do,,O,
144,5,12,několika,,O,
144,5,13,bodů,,O,
144,5,14,pod,,O,
144,5,15,hlavičkou,,O,
144,5,16,„,,O,
144,5,17,America,amerika,B-LOC,2
144,5,18,first“,,O,
144,5,19,.,,O,
144,6,1,Po,,O,
144,6,2,zkušenostech,,O,
144,6,3,s,,O,
144,6,4,komplikovanými,,O,
144,6,5,plány,,O,
144,6,6,předchozích,,O,
144,6,7,vlád,,O,
144,6,8,",",,O,
144,6,9,například,,O,
144,6,10,Obamova,obama,B-PER,16
144,6,11,zdravotní,,O,
144,6,12,reforma,,O,
144,6,13,",",,O,
144,6,14,která,,O,
144,6,15,vyšla,,O,
144,6,16,na,,O,
144,6,17,2600,,O,
144,6,18,stránkách,,O,
144,6,19,",",,O,
144,6,20,je,,O,
144,6,21,jednoduchost,,O,
144,6,22,tou,,O,
144,6,23,jedinou,,O,
144,6,24,zárukou,,O,
144,6,25,",",,O,
144,6,26,že,,O,
144,6,27,se,,O,
144,6,28,něco,,O,
144,6,29,pohne,,O,
144,6,30,kupředu,,O,
144,6,31,.,,O,
144,7,1,Trump,,O,
144,7,2,navrhuje,,O,
144,7,3,zjednodušení,,O,
144,7,4,daňového,,O,
144,7,5,kódu,,O,
144,7,6,",",,O,
144,7,7,jenž,,O,
144,7,8,je,,O,
144,7,9,tak,,O,
144,7,10,komplikovaný,,O,
144,7,11,",",,O,
144,7,12,že,,O,
144,7,13,se,,O,
144,7,14,v,,O,
144,7,15,něm,,O,
144,7,16,nevyznají,,O,
144,7,17,ani,,O,
144,7,18,zákonodárci,,O,
144,7,19,",",,O,
144,7,20,kteří,,O,
144,7,21,jej,,O,
144,7,22,schvalují,,O,
144,7,23,.,,O,
144,8,1,Místo,,O,
144,8,2,dnešních,,O,
144,8,3,sedmi,,O,
144,8,4,daňových,,O,
144,8,5,kategorií,,O,
144,8,6,navrhuje,,O,
144,8,7,Trump,,O,
144,8,8,3,,O,
144,8,9,:,,O,
144,8,10,12,,O,
144,8,11,%,,O,
144,8,12,",",,O,
144,8,13,25,,O,
144,8,14,%,,O,
144,8,15,a,,O,
144,8,16,33,,O,
144,8,17,%,,O,
144,8,18,.,,O,
144,9,1,„,,O,
144,9,2,Podle,,O,
144,9,3,mého,,O,
144,9,4,plánu,,O,
