docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
161,0,1,Donald,donald,Donald,Npmsn,PROPN,B-PER,1
161,0,2,Trump,trump,Trump,Npmsn,PROPN,I-PER,1
161,0,3,je,,biti,Var3s,AUX,O,
161,0,4,novi,,nov,Agpmsny,ADJ,O,
161,0,5,predsjednik,,predsjednik,Ncmsn,NOUN,O,
161,0,6,SAD-a,sad,SAD,Npmsg,PROPN,B-LOC,2
161,0,7,Donald,donald,Donald,Npmsn,PROPN,B-PER,1
161,0,8,Trump,trump,Trump,Npmsn,PROPN,I-PER,1
161,0,9,novi,,nov,Agpmsny,ADJ,O,
161,0,10,je,,biti,Var3s,AUX,O,
161,0,11,predsjednik,,predsjednik,Ncmsn,NOUN,O,
161,0,12,SAD-a,sad,SAD,Npmsg,PROPN,B-LOC,2
161,0,13,.,,.,Z,PUNCT,O,
161,1,1,Sa,,sa,Si,ADP,O,
161,1,2,288,,288,Mdc,NUM,O,
161,1,3,potvrđenih,,potvrditi,Agpmpgy,ADJ,O,
161,1,4,elektorskih,,elektorski,Agpmpgy,ADJ,O,
161,1,5,glasova,,glas,Ncmpg,NOUN,O,
161,1,6,poznati,,poznat,Agpmsny,ADJ,O,
161,1,7,poduzetnik,,poduzetnik,Ncmsn,NOUN,O,
161,1,8,Trump,trump,Trump,Npmsn,PROPN,B-PER,1
161,1,9,vladat,,vladati,Vmn,VERB,O,
161,1,10,će,,htjeti,Var3s,AUX,O,
161,1,11,SAD-om,sad,SAD,Npmsi,PROPN,B-LOC,2
161,1,12,iduće,,idući,Agpfsgy,ADJ,O,
161,1,13,četiri,,četiri,Mlc,NUM,O,
161,1,14,godine,,godina,Ncfpn,NOUN,O,
161,1,15,.,,.,Z,PUNCT,O,
161,2,1,Poraz,,poraz,Ncmsnn,NOUN,O,
161,2,2,je,,biti,Var3s,AUX,O,
161,2,3,javno,,javno,Rgp,ADV,O,
161,2,4,priznala,,priznati,Vmp-sf,VERB,O,
161,2,5,demokratska,,demokratski,Agpfsny,ADJ,O,
161,2,6,kandidatkinja,,kandidatkinja,Ncfsn,NOUN,O,
161,2,7,Hilary,hillary,Hilary,Npfsn,PROPN,B-PER,3
161,2,8,Clinton,clinton,Clinton,Npfsn,PROPN,I-PER,3
161,2,9,.,,.,Z,PUNCT,O,
161,3,1,Kad,,kad,Rgp,ADV,O,
161,3,2,je,,biti,Var3s,AUX,O,
161,3,3,postalo,,postati,Vmp-sn,VERB,O,
161,3,4,jasno,,jasno,Rgp,ADV,O,
161,3,5,kako,,kako,Cs,SCONJ,O,
161,3,6,je,,biti,Var3s,AUX,O,
161,3,7,on,,on,Pp3msn,PRON,O,
161,3,8,novoizabrani,,novoizabran,Agpmsny,ADJ,O,
161,3,9,predsjednik,,predsjednik,Ncmsn,NOUN,O,
161,3,10,",",,",",Z,PUNCT,O,
161,3,11,stanovnicima,,stanovnik,Ncmpd,NOUN,O,
161,3,12,SAD-a,sad,SAD,Npmsg,PROPN,B-LOC,2
161,3,13,Trump,trump,Trump,Npmsn,PROPN,B-PER,1
161,3,14,je,,biti,Var3s,AUX,O,
161,3,15,obećao,,obećati,Vmp-sm,VERB,O,
161,3,16,kako,,kako,Cs,SCONJ,O,
161,3,17,ih,,oni,Pp3-pa,PRON,O,
161,3,18,neće,,htjeti,Var3s,AUX,O,
161,3,19,iznevjeriti,,iznevjeriti,Vmn,VERB,O,
161,3,20,.,,.,Z,PUNCT,O,
161,4,1,Pozvao,,pozvati,Vmp-sm,VERB,O,
161,4,2,je,,biti,Var3s,AUX,O,
161,4,3,građane,,građanin,Ncmpa,NOUN,O,
161,4,4,da,,da,Cs,SCONJ,O,
161,4,5,se,,sebe,Px--sa,PRON,O,
161,4,6,ujedine,,ujediniti,Vmr3p,VERB,O,
161,4,7,.,,.,Z,PUNCT,O,
161,5,1,Dodatnu,,dodatan,Agpfsay,ADJ,O,
161,5,2,pljusku,,pljusak,Ncfsa,NOUN,O,
161,5,3,demokratima,,demokrat,Ncmpd,NOUN,O,
161,5,4,zadala,,zadati,Vmp-sf,VERB,O,
161,5,5,je,,biti,Var3s,AUX,O,
161,5,6,činjenica,,činjenica,Ncfsn,NOUN,O,
161,5,7,kako,,kako,Cs,SCONJ,O,
161,5,8,će,,htjeti,Var3s,AUX,O,
161,5,9,vlas,,vlas,Ncfsn,NOUN,O,
161,5,10,u,,u,Sl,ADP,O,
161,5,11,rukama,,ruka,Ncfpl,NOUN,O,
161,5,12,republikanaca,,republikanac,Ncmpg,NOUN,O,
161,5,13,biti,,biti,Van,AUX,O,
161,5,14,i,,i,Cc,CCONJ,O,
161,5,15,u,,u,Sl,ADP,O,
161,5,16,oba,,oba,Mlcm-l,NUM,O,
161,5,17,doma,,dom,Ncmsg,NOUN,O,
161,5,18,Kongresa,kongres,kongres,Npmsg,PROPN,B-ORG,55
161,5,19,-,,-,Z,PUNCT,O,
161,5,20,Senatu,senat,Senat,Npmsl,PROPN,B-ORG,256
161,5,21,i,,i,Cc,CCONJ,O,
161,5,22,Zastupničkom,zastupnički,zastupnički,Agpmsly,ADJ,B-ORG,50083
161,5,23,domu,dom,dom,Ncmsl,NOUN,I-ORG,50083
161,5,24,",",,",",Z,PUNCT,O,
161,5,25,te,,te,Cc,CCONJ,O,
161,5,26,će,,htjeti,Var3s,AUX,O,
161,5,27,tim,,taj,Pd-nsi,DET,O,
161,5,28,izravno,,izravno,Rgp,ADV,O,
161,5,29,utjecati,,utjecati,Vmn,VERB,O,
161,5,30,na,,na,Sa,ADP,O,
