docId,sentenceId,tokenId,text,lemma,ner,clID
25,0,1,Donald,donald,B-PER,1
25,0,2,Trump,trump,B-PER,1
25,0,3,chce,,O,
25,0,4,odbierać,,O,
25,0,5,obywatelstwo,,O,
25,0,6,za,,O,
25,0,7,spalenie,,O,
25,0,8,flagi,,O,
25,0,9,USA,usa,B-LOC,2
25,0,10,-,,O,
25,0,11,tvp.info,tvp.info,B-ORG,20010
25,0,12,Prezydent,,O,
25,0,13,elekt,,O,
25,0,14,Donald,,O,
25,0,15,Trump,,O,
25,0,16,wywołał,,O,
25,0,17,we,,O,
25,0,18,wtorek,,O,
25,0,19,sporo,,O,
25,0,20,kontrowersji,,O,
25,0,21,",",,O,
25,0,22,pisząc,,O,
25,0,23,na,,O,
25,0,24,Twitterze,twitter,B-MISC,90
25,0,25,",",,O,
25,0,26,że,,O,
25,0,27,za,,O,
25,0,28,spalenie,,O,
25,0,29,flagi,,O,
25,0,30,amerykańskiej,,O,
25,0,31,,,O,
25,0,32,karać,,O,
25,0,33,utratą,,O,
25,0,34,obywatelstwa,,O,
25,0,35,",",,O,
25,0,36,lub,,O,
25,0,37,więzieniem,,O,
25,0,38,.,,O,
25,1,1,Komentatorzy,,O,
25,1,2,wskazują,,O,
25,1,3,",",,O,
25,1,4,że,,O,
25,1,5,jest,,O,
25,1,6,to,,O,
25,1,7,sprzeczne,,O,
25,1,8,z,,O,
25,1,9,konstytucją,,O,
25,1,10,USA,,O,
25,1,11,i,,O,
25,1,12,wyrokiem,,O,
25,1,13,Sądu,sąd,B-ORG,20514
25,1,14,Najwyższego,najwyższy,I-ORG,20514
25,1,15,.,,O,
25,2,1,„,,O,
25,2,2,Nikomu,,O,
25,2,3,nie,,O,
25,2,4,powinno,,O,
25,2,5,być,,O,
25,2,6,wolno,,O,
25,2,7,spalić,,O,
25,2,8,amerykańskiej,,O,
25,2,9,flagi,,O,
25,2,10,.,,O,
25,3,1,A,,O,
25,3,2,jeśli,,O,
25,3,3,to,,O,
25,3,4,zrobi,,O,
25,3,5,",",,O,
25,3,6,to,,O,
25,3,7,muszą,,O,
25,3,8,być,,O,
25,3,9,konsekwencje,,O,
25,3,10,-,,O,
25,3,11,może,,O,
25,3,12,utrata,,O,
25,3,13,obywatelstwa,,O,
25,3,14,",",,O,
25,3,15,lub,,O,
25,3,16,rok,,O,
25,3,17,więzienia,,O,
25,3,18,”,,O,
25,3,19,–,,O,
25,3,20,napisał,,O,
25,3,21,Trump,,O,
25,3,22,we,,O,
25,3,23,wtorek,,O,
25,3,24,na,,O,
25,3,25,Twitterze,,O,
25,3,26,.,,O,
25,4,1,Trump,,O,
25,4,2,zareagował,,O,
25,4,3,w,,O,
25,4,4,ten,,O,
25,4,5,sposób,,O,
25,4,6,na,,O,
25,4,7,reportaż,,O,
25,4,8,w,,O,
25,4,9,telewizji,,O,
25,4,10,Fox,fox,B-ORG,145
25,4,11,News,news,I-ORG,145
25,4,12,o,,O,
25,4,13,studencie,,O,
25,4,14,",",,O,
25,4,15,który,,O,
25,4,16,spalił,,O,
25,4,17,amerykańską,,O,
25,4,18,flagę,,O,
25,4,19,.,,O,
25,5,1,Niemniej,,O,
25,5,2,jak,,O,
25,5,3,przypomnieli,,O,
25,5,4,komentatorzy,,O,
25,5,5,",",,O,
25,5,6,deklaracja,,O,
25,5,7,Trumpa,,O,
25,5,8,jest,,O,
25,5,9,sprzeczna,,O,
25,5,10,z,,O,
25,5,11,konstytucją,,O,
25,5,12,USA,,O,
25,5,13,",",,O,
25,5,14,która,,O,
25,5,15,zakazuje,,O,
25,5,16,rządowi,,O,
25,5,17,odbierania,,O,
25,5,18,obywatelstwa,,O,
25,5,19,USA,,O,
25,5,20,komukolwiek,,O,
25,5,21,",",,O,
25,5,22,wbrew,,O,
25,5,23,jego,,O,
25,5,24,woli,,O,
25,5,25,.,,O,
25,6,1,Ponadto,,O,
25,6,2,amerykański,,O,
25,6,3,Sąd,sąd,B-ORG,20514
25,6,4,Najwyższy,najwyższy,I-ORG,20514
25,6,5,uznał,,O,
25,6,6,już,,O,
25,6,7,w,,O,
25,6,8,1989,,O,
25,6,9,roku,,O,
25,6,10,",",,O,
25,6,11,że,,O,
25,6,12,spalenie,,O,
25,6,13,flagi,,O,
25,6,14,jest,,O,
25,6,15,formą,,O,
25,6,16,wypowiedzi,,O,
25,6,17,",",,O,
25,6,18,chronioną,,O,
25,6,19,pierwszą,,O,
25,6,20,poprawką,,O,
25,6,21,do,,O,
25,6,22,konstytucji,,O,
25,6,23,.,,O,
25,7,1,Nobody,,O,
25,7,2,should,,O,
25,7,3,be,,O,
25,7,4,allowed,,O,
25,7,5,to,,O,
25,7,6,burn,,O,
25,7,7,the,,O,
25,7,8,American,,O,
25,7,9,flag,,O,
25,7,10,-,,O,
25,7,11,if,,O,
25,7,12,they,,O,
25,7,13,do,,O,
25,7,14,",",,O,
25,7,15,there,,O,
